scenario,experiment,hazard_train,lang_train,train_1,train_0,hazard_test,lang_test,test_1,test_0,features,train_auc,train_f1,train_f1_macro,test_auc,test_prec,test_top_prec,test_th_prec,test_rec,test_top_rec,test_th_rec,test_f1,test_top_f1,test_th_top_f1,test_prec_macro,test_top_prec_macro,test_th_prec_macro,test_rec_macro,test_top_rec_macro,test_th_rec_macro,test_f1_macro,test_top_f1_macro,test_th_top_f1_macro,test_prec_micro,test_top_prec_micro,test_th_prec_micro,test_rec_micro,test_top_rec_micro,test_th_rec_micro,test_f1_micro,test_top_f1_micro,test_th_top_f1_micro,test_kappa,test_top_kappa,test_th_kappa,test_youden,prec_0,prec_1,rec_0,rec_1,f1_0,f1_1,f1_macro,accuracy,prec_kappa_0,prec_kappa_1,rec_kappa_0,rec_kappa_1,f1_kappa_0,f1_kappa_1,f1_kappa_macro,accuracy_kappa,prec_youden_0,prec_youden_1,rec_youden_0,rec_youden_1,f1_youden_0,f1_youden_1,f1_youden_macro,accuracy_youden,prec_dummy_0,prec_dummy_1,rec_dummy_0,rec_dummy_1,f1_dummy_0,f1_dummy_1,f1_dummy_macro,accuracy_dummy
(a) Monolingual and Mono-Domain,EN_flood,flood,en,5173,5173,flood,en,8272,8272,BERT,1.0,1.0,1.0,0.937138697194329,0.8350655219159512,1.0,1.0,0.8936170212765957,1.0,0.0,0.8633496846531183,0.8638227553705856,0.55,0.8603304728664519,0.8657347770695756,0.55,0.858558994197292,0.8655101547388782,0.55,0.8583849400464288,0.8654895017524012,0.55,0.8585589941972921,0.8655101547388782,0.55,0.8585589941972921,0.8655101547388782,0.55,0.8585589941972921,0.8655101547388782,0.55,0.7171179883945842,0.7310203094777563,0.55,0.55,0.8855954238169527,0.8350655219159512,0.8235009671179884,0.8936170212765957,0.8534201954397393,0.8633496846531183,0.8583849400464288,0.8585589941972921,0.8566709920962605,0.8747985620428907,0.8779013539651838,0.8531189555125726,0.8671562481342169,0.8638227553705856,0.8654895017524012,0.8655101547388782,0.8566709920962605,0.8747985620428907,0.8779013539651838,0.8531189555125726,0.8671562481342169,0.8638227553705856,0.8654895017524012,0.8655101547388782,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
(a) Monolingual and Mono-Domain,EN_quake,earthquake,en,5607,5607,earthquake,en,8611,8611,BERT,0.9999999840959076,0.999910817800767,0.9999108257528133,0.8682609918976871,0.850118400891489,0.9722222222222222,0.8500000000000001,0.7087446289629543,1.0,0.0,0.7730208993033565,0.7954164014121187,0.45,0.800196111727234,0.800196111727234,0.5,0.7918940889559865,0.7947392869585415,0.45,0.7904452625604377,0.7947370384572974,0.45,0.7918940889559866,0.7947392869585413,0.45,0.7918940889559866,0.7947392869585413,0.45,0.7918940889559867,0.7947392869585413,0.45,0.5837881779119731,0.5894785739170828,0.45,0.475,0.7502738225629791,0.850118400891489,0.8750435489490187,0.7087446289629543,0.8078696258175189,0.7730208993033565,0.7904452625604377,0.7918940889559866,0.7967032967032966,0.7928011075219197,0.7914295668331204,0.7980490070839624,0.794057675502476,0.7954164014121187,0.7947370384572974,0.7947392869585413,0.7688251423750264,0.829328165374677,0.84659156892347,0.7454418766693763,0.8058365113579837,0.7851507553054858,0.7954936333317348,0.7960167227964232,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
(a) Monolingual and Mono-Domain,ES_quake,earthquake,es,1411,1411,earthquake,es,2507,2507,BERT,0.9999999999999999,1.0,1.0,0.8854182361983176,0.7245762711864406,1.0,0.9500000000000001,0.8867171918627842,1.0,0.0,0.7974887892376681,0.8100624024960998,0.55,0.7893179403208668,0.8208763753994053,0.65,0.7748304746709214,0.812126047068209,0.6000000000000001,0.7719759239249198,0.8110291830064105,0.6000000000000001,0.7748304746709214,0.812126047068209,0.6000000000000001,0.7748304746709214,0.812126047068209,0.6000000000000001,0.7748304746709214,0.812126047068209,0.6000000000000001,0.5496609493418428,0.624252094136418,0.6000000000000001,0.59,0.8540596094552929,0.7245762711864406,0.6629437574790586,0.8867171918627842,0.7464630586121714,0.7974887892376681,0.7719759239249198,0.7748304746709214,0.7708549671166494,0.8682352941176471,0.8883127243717591,0.7359393697646589,0.8254262416604894,0.7966321243523315,0.8110291830064105,0.812126047068209,0.7889908256880734,0.8440366972477065,0.8575987235739928,0.7706422018348624,0.8218654434250765,0.8056713928273562,0.8137684181262164,0.8141204627044276,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
(a) Monolingual and Mono-Domain,IT_quake,earthquake,it,760,760,earthquake,it,698,698,BERT,0.9999999999999999,1.0,1.0,0.8149266015878358,0.6131528046421664,1.0,0.8500000000000001,0.9083094555873925,1.0,0.0,0.7321016166281755,0.746325878594249,0.55,0.7181786122658346,0.7584465185165994,0.65,0.667621776504298,0.7457020057306589,0.65,0.6471828837857858,0.7426928927924704,0.6000000000000001,0.667621776504298,0.745702005730659,0.65,0.667621776504298,0.745702005730659,0.65,0.667621776504298,0.745702005730659,0.65,0.335243553008596,0.49140401146131807,0.65,0.64,0.8232044198895028,0.6131528046421664,0.4269340974212034,0.9083094555873925,0.5622641509433961,0.7321016166281755,0.6471828837857858,0.667621776504298,0.7010550996483002,0.8158379373848987,0.8567335243553008,0.6346704871060171,0.7711154094132817,0.7139403706688155,0.7425278900410486,0.745702005730659,0.7139364303178484,0.8027681660899654,0.836676217765043,0.664756446991404,0.7704485488126648,0.7272727272727273,0.7488606380426961,0.7507163323782235,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
(b) Monolingual and Cross-Domain,EN_expl,earthquake_flood,en,25831,25831,explosion,en,4415,4641,BERT,0.9999999992506451,0.9999806430382687,0.9999806434129461,0.953352254744567,0.9223918575063613,1.0,0.9500000000000001,0.8210645526613817,1.0,0.0,0.8687837028160575,0.8820571428571429,0.45,0.8841377937551316,0.8862122099422272,0.45,0.8776729787655109,0.8857507913000552,0.45,0.8783357441079367,0.8859121433149205,0.45,0.8790856890459364,0.8860424028268551,0.45,0.8790856890459364,0.8860424028268551,0.45,0.8790856890459364,0.8860424028268552,0.45,0.7573717128426867,0.7718421120088277,0.45,0.47,0.8458837300039017,0.9223918575063613,0.9342814048696402,0.8210645526613817,0.8878877853998157,0.8687837028160575,0.8783357441079367,0.8790856890459364,0.8822283414530819,0.8901960784313725,0.8974358974358975,0.8740656851642129,0.8897671437726982,0.8820571428571429,0.8859121433149205,0.8860424028268551,0.8694586312563841,0.9074741648642153,0.9170437405731523,0.8552661381653455,0.8926174496644296,0.8805970149253731,0.8866072322949013,0.8869257950530035,0.5124779151943463,0.0,1.0,0.0,0.6776666423304374,0.0,0.3388333211652187,0.5124779151943463
(b) Monolingual and Cross-Domain,EN_flood,explosion_earthquake,en,17209,17209,flood,en,8272,8272,BERT,0.9999999983116646,0.9999709462796712,0.9999709454355035,0.9209589006421888,0.855191256830601,1.0,0.9500000000000001,0.8324468085106383,1.0,0.0,0.8436657681940701,0.8463099310104933,0.45,0.8459894107987203,0.8459894107987203,0.5,0.8457446808510638,0.8457446808510638,0.5,0.8457173985327305,0.8457173985327305,0.5,0.8457446808510638,0.8457446808510638,0.5,0.8457446808510638,0.8457446808510638,0.5,0.8457446808510638,0.8457446808510638,0.5,0.6914893617021276,0.6914893617021276,0.5,0.5,0.8367875647668394,0.855191256830601,0.8590425531914894,0.8324468085106383,0.8477690288713909,0.8436657681940701,0.8457173985327305,0.8457446808510638,0.8367875647668394,0.855191256830601,0.8590425531914894,0.8324468085106383,0.8477690288713909,0.8436657681940701,0.8457173985327305,0.8457446808510638,0.8367875647668394,0.855191256830601,0.8590425531914894,0.8324468085106383,0.8477690288713909,0.8436657681940701,0.8457173985327305,0.8457446808510638,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
(b) Monolingual and Cross-Domain,EN_quake,explosion_flood,en,17860,17860,earthquake,en,8611,8611,BERT,1.0,1.0,1.0,0.9220978773359233,0.8163526030022357,0.9682741116751269,0.9500000000000001,0.8904889095343166,1.0,0.0,0.8518107087313931,0.8518107087313931,0.5,0.8479514962897243,0.8498982642518633,0.55,0.8450818720241551,0.8498432237835327,0.55,0.844761802054261,0.8498373184782189,0.55,0.8450818720241552,0.8498432237835327,0.55,0.8450818720241552,0.8498432237835327,0.55,0.8450818720241552,0.8498432237835327,0.55,0.6901637440483104,0.6996864475670654,0.55,0.55,0.8795503895772129,0.8163526030022357,0.7996748345139937,0.8904889095343166,0.8377128953771289,0.8518107087313931,0.844761802054261,0.8450818720241552,0.8542867223332942,0.8455098061704324,0.8435721751248403,0.856114272442225,0.848895640995676,0.8507789959607617,0.8498373184782189,0.8498432237835327,0.8542867223332942,0.8455098061704324,0.8435721751248403,0.856114272442225,0.848895640995676,0.8507789959607617,0.8498373184782189,0.8498432237835327,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
(b) Monolingual and Cross-Domain,ES_expl,earthquake,es,2091,2091,explosion,es,747,747,BERT,1.0,1.0,1.0,0.8150925881123782,0.7967213114754098,1.0,0.8500000000000001,0.6506024096385542,1.0,0.0,0.716285924834193,0.7461538461538462,0.45,0.7507362213485647,0.7717451382935523,0.6000000000000001,0.7423025435073628,0.7423025435073628,0.5,0.7401172113441352,0.7401172113441352,0.5,0.7423025435073628,0.7423025435073628,0.5,0.7423025435073628,0.7423025435073628,0.5,0.7423025435073628,0.7423025435073628,0.5,0.4846050870147256,0.4846050870147256,0.5,0.47,0.7047511312217195,0.7967213114754098,0.8340026773761714,0.6506024096385542,0.7639484978540774,0.716285924834193,0.7401172113441352,0.7423025435073628,0.7047511312217195,0.7967213114754098,0.8340026773761714,0.6506024096385542,0.7639484978540774,0.716285924834193,0.7401172113441352,0.7423025435073628,0.7456953642384105,0.7510148849797023,0.7536813922356091,0.7429718875502008,0.7496671105193076,0.746971736204576,0.7483194233619418,0.7483266398929049,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
(b) Monolingual and Cross-Domain,ES_quake,explosion,es,75,75,earthquake,es,2507,2507,BERT,0.9999999999999999,1.0,1.0,0.7694912163771516,0.6323305986022486,0.9696969696969697,0.8,0.8300757877941763,1.0,0.0,0.7178337357709555,0.7178337357709555,0.5,0.6925437090515596,0.7364043973158609,0.8,0.673713601914639,0.7126047068209015,0.55,0.6655362532282674,0.7126044210280034,0.55,0.673713601914639,0.7126047068209015,0.55,0.673713601914639,0.7126047068209015,0.55,0.673713601914639,0.7126047068209015,0.55,0.34742720382927805,0.425209413641803,0.55,0.55,0.7527568195008706,0.6323305986022486,0.5173514160351017,0.8300757877941763,0.6132387706855792,0.7178337357709555,0.6655362532282674,0.673713601914639,0.7121815286624203,0.7130295763389288,0.7136019146390108,0.7116074990027922,0.7128910141462443,0.7123178279097624,0.7126044210280034,0.7126047068209015,0.7121815286624203,0.7130295763389288,0.7136019146390108,0.7116074990027922,0.7128910141462443,0.7123178279097624,0.7126044210280034,0.7126047068209015,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
(b) Monolingual and Cross-Domain,IT_flood,earthquake,it,1057,1057,flood,it,1759,1759,BERT,1.0,1.0,1.0,0.7988420471215848,0.6692531522793405,1.0,0.8,0.7845366685616828,1.0,0.0,0.7223239989531538,0.7223239989531538,0.5,0.7044754772385713,0.7648077136608127,0.65,0.698408186469585,0.72484366117112,0.55,0.6961542234268102,0.7241689000399156,0.55,0.698408186469585,0.72484366117112,0.55,0.698408186469585,0.72484366117112,0.55,0.698408186469585,0.7248436611711201,0.55,0.39681637293916994,0.44968732234223996,0.55,0.58,0.7396978021978022,0.6692531522793405,0.6122797043774872,0.7845366685616828,0.6699844479004666,0.7223239989531538,0.6961542234268102,0.698408186469585,0.7046042421107087,0.7495268138801262,0.7743035815804434,0.6753837407617965,0.7378114842903575,0.7105263157894738,0.7241689000399156,0.72484366117112,0.678125,0.812206572769953,0.8635588402501422,0.5901080159181353,0.7596899224806201,0.6835693118208759,0.7216296171507479,0.7268334280841388,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
