scenario,experiment,hazard_train,lang_train,train_1,train_0,hazard_test,lang_test,test_1,test_0,features,train_auc,train_f1,train_f1_macro,test_auc,test_prec,test_top_prec,test_th_prec,test_rec,test_top_rec,test_th_rec,test_f1,test_top_f1,test_th_top_f1,test_prec_macro,test_top_prec_macro,test_th_prec_macro,test_rec_macro,test_top_rec_macro,test_th_rec_macro,test_f1_macro,test_top_f1_macro,test_th_top_f1_macro,test_prec_micro,test_top_prec_micro,test_th_prec_micro,test_rec_micro,test_top_rec_micro,test_th_rec_micro,test_f1_micro,test_top_f1_micro,test_th_top_f1_micro,test_kappa,test_top_kappa,test_th_kappa,test_youden,prec_0,prec_1,rec_0,rec_1,f1_0,f1_1,f1_macro,accuracy,prec_kappa_0,prec_kappa_1,rec_kappa_0,rec_kappa_1,f1_kappa_0,f1_kappa_1,f1_kappa_macro,accuracy_kappa,prec_youden_0,prec_youden_1,rec_youden_0,rec_youden_1,f1_youden_0,f1_youden_1,f1_youden_macro,accuracy_youden,prec_dummy_0,prec_dummy_1,rec_dummy_0,rec_dummy_1,f1_dummy_0,f1_dummy_1,f1_dummy_macro,accuracy_dummy
(a) Monolingual and Mono-Domain,EN_flood,flood,en,5173,5173,flood,en,8272,8272,LF,1.0,1.0,1.0,0.9014424841884626,0.7856685177274669,0.9545454545454546,1.0,0.8893858800773694,1.0,0.0,0.834316171467453,0.8354135463471459,0.45,0.8291155959110872,0.8316146957422403,0.35000000000000003,0.8233800773694391,0.8275507736943908,0.55,0.8226072185320698,0.8273319161024639,0.55,0.8233800773694391,0.8275507736943907,0.55,0.8233800773694391,0.8275507736943907,0.55,0.8233800773694391,0.8275507736943907,0.55,0.6467601547388782,0.6551015473887815,0.55,0.57,0.8725626740947076,0.7856685177274669,0.7573742746615088,0.8893858800773694,0.8108982655966865,0.834316171467453,0.8226072185320698,0.8233800773694391,0.8526617206820253,0.805778128879359,0.7919487427466151,0.8631528046421664,0.8211845816358508,0.8334792505690771,0.8273319161024639,0.8275507736943907,0.8437025796661608,0.8147290412227883,0.8065764023210832,0.8505802707930368,0.8247218788627936,0.83226874852141,0.8284953136921018,0.8285783365570599,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
(a) Monolingual and Mono-Domain,EN_quake,earthquake,en,5607,5607,earthquake,en,8611,8611,LF,0.9999998568631677,0.9997324056729997,0.9997324772414209,0.8374814855013979,0.778794722453346,0.9473684210526315,1.0,0.7608872372546742,1.0,0.0,0.769736842105263,0.7833931209115846,0.4,0.7725282500903352,0.7733634927266668,0.45,0.7723841597956103,0.7723841597956103,0.5,0.7723540697323101,0.7723540697323101,0.5,0.7723841597956103,0.7723841597956103,0.5,0.7723841597956103,0.7723841597956103,0.5,0.7723841597956101,0.7723841597956101,0.5,0.5447683195912205,0.5447683195912205,0.5,0.5,0.7662617777273243,0.778794722453346,0.7838810823365463,0.7608872372546742,0.7749712973593572,0.769736842105263,0.7723540697323101,0.7723841597956103,0.7662617777273243,0.778794722453346,0.7838810823365463,0.7608872372546742,0.7749712973593572,0.769736842105263,0.7723540697323101,0.7723841597956103,0.7662617777273243,0.778794722453346,0.7838810823365463,0.7608872372546742,0.7749712973593572,0.769736842105263,0.7723540697323101,0.7723841597956103,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
(a) Monolingual and Mono-Domain,ES_quake,earthquake,es,1411,1411,earthquake,es,2507,2507,LF,1.0,1.0,1.0,0.7960795532381688,0.640625,1.0,1.0,0.8504188272836058,1.0,0.0,0.7307626392459297,0.7324925323597743,0.45,0.7091025355871886,0.7510514720608852,1.0,0.6866773035500597,0.72317510969286,0.7000000000000001,0.6780452833720705,0.7226015150063305,0.7000000000000001,0.6866773035500598,0.72317510969286,0.7000000000000001,0.6866773035500598,0.72317510969286,0.7000000000000001,0.6866773035500598,0.72317510969286,0.7000000000000001,0.3733546071001197,0.44635021938571995,0.7000000000000001,0.7,0.7775800711743772,0.640625,0.5229357798165137,0.8504188272836058,0.6253279274982112,0.7307626392459297,0.6780452833720705,0.6866773035500598,0.7045703839122486,0.7455024133391839,0.7686477861986438,0.6777024331870762,0.7352155665776421,0.7099874634350188,0.7226015150063305,0.72317510969286,0.709749719835637,0.7402652973898161,0.7578779417630634,0.6900678101316314,0.7330246913580246,0.7142857142857143,0.7236552028218695,0.7239728759473474,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
(a) Monolingual and Mono-Domain,IT_quake,earthquake,it,760,760,earthquake,it,698,698,LF,1.0,1.0,1.0,0.6367866437878179,0.5198347107438016,1.0,1.0,0.9011461318051576,1.0,0.0,0.6593291404612158,0.6673984632272228,0.55,0.5744334844041589,0.750179211469534,1.0,0.5343839541547277,0.6110315186246418,0.8,0.4620175114070785,0.5990828963339654,0.8,0.5343839541547278,0.6110315186246418,0.8,0.5343839541547278,0.6110315186246418,0.8,0.5343839541547278,0.6110315186246418,0.8,0.06876790830945556,0.22206303724928367,0.8,0.79,0.6290322580645161,0.5198347107438016,0.167621776504298,0.9011461318051576,0.2647058823529412,0.6593291404612158,0.4620175114070785,0.5343839541547278,0.582534611288605,0.6695842450765864,0.7836676217765043,0.4383954154727794,0.6682956627978008,0.5298701298701299,0.5990828963339654,0.6110315186246418,0.5868131868131868,0.6625514403292181,0.7650429799426934,0.46131805157593125,0.6641791044776119,0.543918918918919,0.6040490116982654,0.6131805157593123,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
(b) Monolingual and Cross-Domain,EN_expl,earthquake_flood,en,25831,25831,explosion,en,4415,4641,LF,0.9999969283941658,0.9999225676565101,0.9999225736513495,0.962746732981894,0.9196320503510046,0.9924953095684803,0.9500000000000001,0.8604756511891279,1.0,0.0,0.8890709103674233,0.9013428032404838,0.4,0.8972779541095124,0.9021111163148302,0.4,0.8944696721793517,0.9022709597821182,0.4,0.8949849638602745,0.9018306148935086,0.4,0.8953180212014135,0.9018330388692579,0.4,0.8953180212014135,0.9018330388692579,0.4,0.8953180212014135,0.9018330388692579,0.4,0.7901769402495062,0.8037396318796821,0.4,0.42,0.8749238578680203,0.9196320503510046,0.9284636931695756,0.8604756511891279,0.9008990173531257,0.8890709103674233,0.8949849638602745,0.8953180212014135,0.920627802690583,0.8835944299390774,0.8847231200172376,0.9198187995469989,0.9023184265465334,0.9013428032404838,0.9018306148935086,0.9018330388692579,0.9144114411441144,0.8924850365772556,0.8954966602025426,0.9118912797281993,0.9048552144567822,0.9020838001344387,0.9034695072956105,0.9034893992932862,0.5124779151943463,0.0,1.0,0.0,0.6776666423304374,0.0,0.3388333211652187,0.5124779151943463
(b) Monolingual and Cross-Domain,EN_flood,explosion_earthquake,en,17209,17209,flood,en,8272,8272,LF,0.9999974928218814,0.9998837682338583,0.9998837817405419,0.9001399746037998,0.8092525863071022,0.9824561403508771,1.0,0.8416344294003868,1.0,0.0,0.8251259259259258,0.8296353251318102,0.4,0.8221429787095265,0.8256787751537199,0.4,0.8216271760154739,0.8216271760154739,0.5,0.821555746531704,0.821555746531704,0.5,0.8216271760154739,0.8216271760154739,0.5,0.8216271760154739,0.8216271760154739,0.5,0.8216271760154739,0.8216271760154739,0.5,0.6432543520309477,0.6432543520309477,0.5,0.49,0.8350333711119506,0.8092525863071022,0.8016199226305609,0.8416344294003868,0.8179855671374822,0.8251259259259258,0.821555746531704,0.8216271760154739,0.8350333711119506,0.8092525863071022,0.8016199226305609,0.8416344294003868,0.8179855671374822,0.8251259259259258,0.821555746531704,0.8216271760154739,0.8412495199078223,0.805221573342494,0.7943665377176016,0.8500967117988395,0.8171361064478021,0.8270508673919436,0.8220934869198728,0.8222316247582205,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
(b) Monolingual and Cross-Domain,EN_quake,explosion_flood,en,17860,17860,earthquake,en,8611,8611,LF,1.0,1.0,1.0,0.8944088240538306,0.7626238791882963,0.9528688524590164,1.0,0.938334688189525,1.0,0.0,0.8414037280016662,0.8414037280016662,0.5,0.8412485625004407,0.8434460882594207,0.4,0.8231332017187318,0.8262687260480781,0.6000000000000001,0.8207543643289601,0.8254182922671021,0.6000000000000001,0.8231332017187318,0.826268726048078,0.6000000000000001,0.8231332017187318,0.826268726048078,0.6000000000000001,0.8231332017187318,0.826268726048078,0.6000000000000001,0.6462664034374637,0.6525374520961561,0.6000000000000001,0.58,0.9198732458125849,0.7626238791882963,0.7079317152479386,0.938334688189525,0.8001050006562541,0.8414037280016662,0.8207543643289601,0.8231332017187318,0.8792009717910649,0.7863038826047081,0.7564742770874463,0.8960631750087098,0.8132334581772784,0.8376031263569258,0.8254182922671021,0.826268726048078,0.8912075681691708,0.7802471596571656,0.7439321797700615,0.9091859249796772,0.8109374011013355,0.8397961920085814,0.8253667965549585,0.8265590523748694,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
(b) Monolingual and Cross-Domain,ES_expl,earthquake,es,2091,2091,explosion,es,747,747,LF,1.0,1.0,1.0,0.7786917415310506,0.6886792452830188,1.0,0.9500000000000001,0.7817938420348058,1.0,0.0,0.7322884012539184,0.751246537396122,0.4,0.7181786319294351,0.7649126333472125,0.30000000000000004,0.714190093708166,0.714190093708166,0.5,0.7128778689686677,0.7128778689686677,0.5,0.714190093708166,0.714190093708166,0.5,0.714190093708166,0.714190093708166,0.5,0.714190093708166,0.714190093708166,0.5,0.428380187416332,0.428380187416332,0.5,0.47,0.7476780185758514,0.6886792452830188,0.6465863453815262,0.7817938420348058,0.6934673366834171,0.7322884012539184,0.7128778689686677,0.714190093708166,0.7476780185758514,0.6886792452830188,0.6465863453815262,0.7817938420348058,0.6934673366834171,0.7322884012539184,0.7128778689686677,0.714190093708166,0.7794871794871795,0.6798679867986799,0.6104417670682731,0.8273092369477911,0.6846846846846848,0.7463768115942029,0.7155307481394438,0.7188755020080321,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
(b) Monolingual and Cross-Domain,ES_quake,explosion,es,75,75,earthquake,es,2507,2507,LF,1.0,1.0,1.0,0.6113139292947438,0.5373011519473395,0.6915887850467289,0.9,0.7814120462704428,1.0,0.0,0.636762554851292,0.6667553191489363,0.1,0.5683581783128511,0.7500498703371234,0.1,0.5542481053051456,0.587754287993618,0.65,0.5299941806514524,0.5863549146117608,0.6000000000000001,0.5542481053051456,0.5877542879936178,0.65,0.5542481053051456,0.5877542879936178,0.65,0.5542481053051456,0.5877542879936178,0.65,0.10849621061029113,0.1755085759872358,0.65,0.66,0.5994152046783626,0.5373011519473395,0.32708416433984844,0.7814120462704428,0.42322580645161295,0.636762554851292,0.5299941806514524,0.5542481053051456,0.5725115359261701,0.6111111111111112,0.6928599920223375,0.4826485839648983,0.6269626421223606,0.5393358591486516,0.583149250635506,0.5877542879936178,0.5736507936507936,0.6244635193133047,0.7207818109293976,0.4642999601116873,0.6388545165281951,0.5326012354152369,0.5857278759717159,0.5925408855205425,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
(b) Monolingual and Cross-Domain,IT_flood,earthquake,it,1057,1057,flood,it,1759,1759,LF,1.0,1.0,1.0,0.7772931607155728,0.592391304347826,0.9230769230769231,0.9500000000000001,0.9295054007959067,1.0,0.0,0.7236114184554104,0.7397191574724173,0.6000000000000001,0.7144014569232534,0.7245197523773055,0.25,0.6449687322342239,0.7120523024445709,0.65,0.6136928764903194,0.7105790207891078,0.65,0.644968732234224,0.7120523024445707,0.65,0.644968732234224,0.7120523024445707,0.65,0.644968732234224,0.7120523024445707,0.65,0.28993746446844804,0.4241046048891416,0.65,0.68,0.8364116094986808,0.592391304347826,0.3604320636725412,0.9295054007959067,0.5037743345252285,0.7236114184554104,0.6136928764903194,0.644968732234224,0.7473474801061007,0.6855721393034826,0.640704945992041,0.7833996588971006,0.6899295990205081,0.7312284425577077,0.7105790207891078,0.7120523024445707,0.7172653534183082,0.7092633928571429,0.7038089823763501,0.7225696418419557,0.7104734576757533,0.7158546888200508,0.7131640732479021,0.7131893121091529,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
