scenario,experiment,hazard_train,lang_train,train_1,train_0,hazard_test,lang_test,test_1,test_0,features,train_auc,train_f1,train_f1_macro,test_auc,test_prec,test_top_prec,test_th_prec,test_rec,test_top_rec,test_th_rec,test_f1,test_top_f1,test_th_top_f1,test_prec_macro,test_top_prec_macro,test_th_prec_macro,test_rec_macro,test_top_rec_macro,test_th_rec_macro,test_f1_macro,test_top_f1_macro,test_th_top_f1_macro,test_prec_micro,test_top_prec_micro,test_th_prec_micro,test_rec_micro,test_top_rec_micro,test_th_rec_micro,test_f1_micro,test_top_f1_micro,test_th_top_f1_micro,test_kappa,test_top_kappa,test_th_kappa,test_youden,prec_0,prec_1,rec_0,rec_1,f1_0,f1_1,f1_macro,accuracy,prec_kappa_0,prec_kappa_1,rec_kappa_0,rec_kappa_1,f1_kappa_0,f1_kappa_1,f1_kappa_macro,accuracy_kappa,prec_youden_0,prec_youden_1,rec_youden_0,rec_youden_1,f1_youden_0,f1_youden_1,f1_youden_macro,accuracy_youden,prec_dummy_0,prec_dummy_1,rec_dummy_0,rec_dummy_1,f1_dummy_0,f1_dummy_1,f1_dummy_macro,accuracy_dummy
(a) Monolingual and Mono-Domain,EN_flood,flood,en,5173,5173,flood,en,8272,8272,MT+BERT,1.0,1.0,1.0,0.9549933034211098,0.9275945293644409,1.0,0.9500000000000001,0.8363152804642167,1.0,0.0,0.8795931341385886,0.8925458645700005,0.45,0.8892870291550358,0.8935436342496914,0.45,0.8855174081237911,0.8934356866537718,0.45,0.8852395904590857,0.8934283786011683,0.45,0.8855174081237911,0.8934356866537717,0.45,0.8855174081237911,0.8934356866537717,0.45,0.8855174081237911,0.8934356866537717,0.45,0.7710348162475822,0.7868713733075435,0.45,0.46,0.8509795289456307,0.9275945293644409,0.9347195357833655,0.8363152804642167,0.8908860467795829,0.8795931341385886,0.8852395904590857,0.8855174081237911,0.8870258056843858,0.9000614628149969,0.9017166344294004,0.8851547388781431,0.8943108926323361,0.8925458645700005,0.8934283786011683,0.8934356866537717,0.8813479990638895,0.9074768692173043,0.910541586073501,0.8774177949709865,0.8957069806160067,0.8921942224953904,0.8939506015556986,0.8939796905222437,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
(a) Monolingual and Mono-Domain,EN_quake,earthquake,en,5607,5607,earthquake,en,8611,8611,MT+BERT,0.9999999999999999,1.0,1.0,0.9041903364158925,0.8973119044232684,1.0,0.9,0.7326675182905585,1.0,0.0,0.806674338319908,0.8369172442390854,0.45,0.8357131595514438,0.8406805799140492,0.45,0.8244106375566136,0.8401463244687029,0.45,0.8229201922426047,0.8400836292367778,0.45,0.8244106375566136,0.8401463244687029,0.45,0.8244106375566136,0.8401463244687029,0.45,0.8244106375566136,0.8401463244687029,0.45,0.6488212751132273,0.6802926489374057,0.45,0.45,0.7741144146796193,0.8973119044232684,0.9161537568226686,0.7326675182905585,0.8391660461653014,0.806674338319908,0.8229201922426047,0.8244106375566136,0.8271894548704201,0.8541717049576784,0.8599465799558704,0.8203460689815353,0.8432500142344702,0.8369172442390854,0.8400836292367778,0.8401463244687029,0.8271894548704201,0.8541717049576784,0.8599465799558704,0.8203460689815353,0.8432500142344702,0.8369172442390854,0.8400836292367778,0.8401463244687029,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
(a) Monolingual and Mono-Domain,ES_quake,earthquake,es,1411,1411,earthquake,es,2507,2507,MT+BERT,1.0,1.0,1.0,0.9199524140543693,0.7825330549756437,1.0,1.0,0.8970881531711209,1.0,0.0,0.8359041070433005,0.8385964912280703,0.55,0.8309861536560461,0.8497476931657071,0.65,0.8238930993218987,0.8434383725568408,0.6000000000000001,0.8229445217807421,0.8432727379442244,0.6000000000000001,0.8238930993218987,0.8434383725568408,0.6000000000000001,0.8238930993218987,0.8434383725568408,0.6000000000000001,0.8238930993218987,0.8434383725568408,0.6000000000000001,0.6477861986437974,0.6868767451136817,0.6000000000000001,0.63,0.8794392523364486,0.7825330549756437,0.7506980454726765,0.8970881531711209,0.8099849365181837,0.8359041070433005,0.8229445217807421,0.8238930993218987,0.8224719101123595,0.867320819112628,0.8759473474272038,0.8109293976864779,0.8483677805678964,0.8381776953205524,0.8432727379442244,0.8434383725568408,0.8119565217391305,0.8819875776397516,0.8938970881531711,0.7929796569605105,0.8509588000759446,0.835118672547784,0.8430387363118643,0.8434383725568408,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
(a) Monolingual and Mono-Domain,IT_quake,earthquake,it,760,760,earthquake,it,698,698,MT+BERT,1.0,1.0,1.0,0.8565416129588427,0.6054794520547945,0.970873786407767,0.9,0.9498567335243553,1.0,0.0,0.739542665923034,0.7785136129506991,0.65,0.7446001911436764,0.7895616100459693,0.75,0.6654727793696276,0.7843839541547278,0.65,0.6360375992277832,0.7842323821906322,0.65,0.6654727793696275,0.7843839541547278,0.65,0.6654727793696275,0.7843839541547278,0.65,0.6654727793696275,0.7843839541547278,0.65,0.330945558739255,0.5687679083094556,0.65,0.65,0.8837209302325582,0.6054794520547945,0.38108882521489973,0.9498567335243553,0.5325325325325325,0.739542665923034,0.6360375992277832,0.6654727793696275,0.7700680272108843,0.800302571860817,0.8108882521489972,0.7578796561604585,0.7899511514305653,0.7785136129506991,0.7842323821906322,0.7843839541547278,0.7700680272108843,0.800302571860817,0.8108882521489972,0.7578796561604585,0.7899511514305653,0.7785136129506991,0.7842323821906322,0.7843839541547278,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
(b) Monolingual and Cross-Domain,EN_expl,earthquake_flood,en,25831,25831,explosion,en,4415,4641,MT+BERT,1.0,1.0,1.0,0.9709972393870868,0.9712189616252822,1.0,0.9500000000000001,0.7796149490373726,1.0,0.0,0.864932780500063,0.9136894635363503,0.35000000000000003,0.8973475069374597,0.9172650259227833,0.4,0.8788184635296753,0.9158791001373108,0.35000000000000003,0.8795263725212814,0.9159087446783418,0.35000000000000003,0.8812941696113075,0.9159673144876325,0.35000000000000003,0.8812941696113075,0.9159673144876325,0.35000000000000003,0.8812941696113075,0.9159673144876325,0.35000000000000003,0.7612937724528815,0.8318178361705121,0.35000000000000003,0.38,0.8234760522496372,0.9712189616252822,0.978021978021978,0.7796149490373726,0.8941199645424998,0.864932780500063,0.8795263725212814,0.8812941696113075,0.9168457241082939,0.915038618809632,0.9194139194139194,0.9123442808607022,0.9181280258203334,0.9136894635363503,0.9159087446783418,0.9159673144876325,0.9064132024232295,0.9292574373389553,0.9349278172807585,0.8985277463193658,0.9204497242257106,0.9136342699216952,0.9170419970737029,0.9171819787985865,0.5124779151943463,0.0,1.0,0.0,0.6776666423304374,0.0,0.3388333211652187,0.5124779151943463
(b) Monolingual and Cross-Domain,EN_flood,explosion_earthquake,en,17209,17209,flood,en,8272,8272,MT+BERT,1.0,1.0,1.0,0.9452457490417675,0.8999740529320187,0.9901380670611439,0.9,0.8386121856866537,1.0,0.0,0.8682102628285356,0.8714516225422817,0.45,0.8744437942342302,0.8744437942342302,0.5,0.8727030947775629,0.8727030947775629,0.5,0.872554979438584,0.872554979438584,0.5,0.8727030947775629,0.8727030947775629,0.5,0.8727030947775629,0.8727030947775629,0.5,0.8727030947775629,0.8727030947775629,0.5,0.7454061895551257,0.7454061895551257,0.5,0.49,0.8489135355364418,0.8999740529320187,0.906794003868472,0.8386121856866537,0.8768996960486323,0.8682102628285356,0.872554979438584,0.8727030947775629,0.8489135355364418,0.8999740529320187,0.906794003868472,0.8386121856866537,0.8768996960486323,0.8682102628285356,0.872554979438584,0.8727030947775629,0.8543867707854846,0.8938233792751403,0.8994197292069632,0.8467117988394585,0.8763250883392226,0.8696299975167618,0.8729775429279922,0.8730657640232108,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
(b) Monolingual and Cross-Domain,EN_quake,explosion_flood,en,17860,17860,earthquake,en,8611,8611,MT+BERT,0.9999999999999999,0.9999720052630106,0.9999720044792614,0.9517812846863426,0.8341251389871627,0.9802631578947368,1.0,0.9583091394727674,1.0,0.0,0.8919152615650671,0.8956415659310192,0.55,0.8925708243714637,0.8942266780135202,0.55,0.8838694692834747,0.8907211705957496,0.55,0.883222373567979,0.89047769947983,0.55,0.8838694692834747,0.8907211705957496,0.55,0.8838694692834747,0.8907211705957496,0.55,0.8838694692834747,0.8907211705957496,0.55,0.7677389385669493,0.7814423411914992,0.55,0.55,0.9510165097557648,0.8341251389871627,0.8094297990941819,0.9583091394727674,0.8745294855708909,0.8919152615650671,0.883222373567979,0.8838694692834747,0.9314014617258622,0.857051894301178,0.8435721751248403,0.937870166066659,0.885313833028641,0.8956415659310192,0.89047769947983,0.8907211705957496,0.9314014617258622,0.857051894301178,0.8435721751248403,0.937870166066659,0.885313833028641,0.8956415659310192,0.89047769947983,0.8907211705957496,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
(b) Monolingual and Cross-Domain,ES_expl,earthquake,es,2091,2091,explosion,es,747,747,MT+BERT,1.0,1.0,1.0,0.8620864538027165,0.8735408560311284,1.0,0.8500000000000001,0.6010709504685409,1.0,0.0,0.7121332275971451,0.7897310513447432,0.35000000000000003,0.7847296116890337,0.7854602930834038,0.4,0.7570281124497993,0.785140562248996,0.4,0.7509710723972988,0.7850803818749661,0.4,0.7570281124497992,0.785140562248996,0.4,0.7570281124497992,0.785140562248996,0.4,0.7570281124497992,0.7851405622489959,0.4,0.5140562248995983,0.570281124497992,0.4,0.4,0.6959183673469388,0.8735408560311284,0.9129852744310576,0.6010709504685409,0.7898089171974524,0.7121332275971451,0.7509710723972988,0.7570281124497992,0.7950138504155124,0.7759067357512953,0.7684069611780455,0.8018741633199464,0.7814840027229407,0.7886767610269915,0.7850803818749661,0.785140562248996,0.7950138504155124,0.7759067357512953,0.7684069611780455,0.8018741633199464,0.7814840027229407,0.7886767610269915,0.7850803818749661,0.785140562248996,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
(b) Monolingual and Cross-Domain,ES_quake,explosion,es,75,75,earthquake,es,2507,2507,MT+BERT,1.0,1.0,1.0,0.8921371177853984,0.7209523809523809,1.0,0.8,0.9058635819704827,1.0,0.0,0.8028990631076542,0.8191167574107683,0.55,0.7971714694461476,0.8212555380240509,0.55,0.7776226565616274,0.8211009174311926,0.55,0.7739043473854446,0.8210793887665402,0.55,0.7776226565616274,0.8211009174311926,0.55,0.7776226565616274,0.8211009174311926,0.55,0.7776226565616274,0.8211009174311926,0.55,0.5552453131232549,0.6422018348623852,0.55,0.56,0.8733905579399142,0.7209523809523809,0.6493817311527722,0.9058635819704827,0.744909631663235,0.8028990631076542,0.7739043473854446,0.7776226565616274,0.8142076502732241,0.8283034257748777,0.8320702034303948,0.8101316314319904,0.8230420201223121,0.8191167574107683,0.8210793887665402,0.8211009174311926,0.8,0.8458565908115071,0.8568009573195053,0.7857997606701237,0.8274268104776579,0.8147229114971051,0.8210748609873815,0.8213003589948146,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
(b) Monolingual and Cross-Domain,IT_flood,earthquake,it,1057,1057,flood,it,1759,1759,MT+BERT,1.0,1.0,1.0,0.8191408046524963,0.6900866217516843,1.0,0.8,0.8152359295054008,1.0,0.0,0.7474589523064894,0.7474589523064894,0.5,0.73219608865362,0.7796023588420584,0.6000000000000001,0.7245594087549745,0.759806708357021,0.55,0.7222758969097312,0.7590511541424672,0.55,0.7245594087549744,0.759806708357021,0.55,0.7245594087549744,0.759806708357021,0.55,0.7245594087549744,0.759806708357021,0.55,0.44911881750994886,0.519613416714042,0.55,0.55,0.7743055555555556,0.6900866217516843,0.6338828880045481,0.8152359295054008,0.6970928415129728,0.7474589523064894,0.7222758969097312,0.7245594087549744,0.733640081799591,0.7925736235595391,0.8158044343376919,0.7038089823763501,0.7725437415881561,0.7455585666967781,0.7590511541424672,0.759806708357021,0.733640081799591,0.7925736235595391,0.8158044343376919,0.7038089823763501,0.7725437415881561,0.7455585666967781,0.7590511541424672,0.759806708357021,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
