scenario,experiment,hazard_train,lang_train,train_1,train_0,hazard_test,lang_test,test_1,test_0,features,train_auc,train_f1,train_f1_macro,test_auc,test_prec,test_top_prec,test_th_prec,test_rec,test_top_rec,test_th_rec,test_f1,test_top_f1,test_th_top_f1,test_prec_macro,test_top_prec_macro,test_th_prec_macro,test_rec_macro,test_top_rec_macro,test_th_rec_macro,test_f1_macro,test_top_f1_macro,test_th_top_f1_macro,test_prec_micro,test_top_prec_micro,test_th_prec_micro,test_rec_micro,test_top_rec_micro,test_th_rec_micro,test_f1_micro,test_top_f1_micro,test_th_top_f1_micro,test_kappa,test_top_kappa,test_th_kappa,test_youden,prec_0,prec_1,rec_0,rec_1,f1_0,f1_1,f1_macro,accuracy,prec_kappa_0,prec_kappa_1,rec_kappa_0,rec_kappa_1,f1_kappa_0,f1_kappa_1,f1_kappa_macro,accuracy_kappa,prec_youden_0,prec_youden_1,rec_youden_0,rec_youden_1,f1_youden_0,f1_youden_1,f1_youden_macro,accuracy_youden,prec_dummy_0,prec_dummy_1,rec_dummy_0,rec_dummy_1,f1_dummy_0,f1_dummy_1,f1_dummy_macro,accuracy_dummy
(a) Monolingual and Mono-Domain,EN_flood,flood,en,5173,5173,flood,en,8272,8272,MT+GloVe,1.0,1.0,1.0,0.9414280618894716,0.8562557497700092,0.9878787878787879,1.0,0.9001450676982592,1.0,0.0,0.8776520509193776,0.8785783600194081,0.55,0.8755030023060035,0.8790067317864348,0.55,0.8745164410058027,0.8789893617021276,0.55,0.8744339659063389,0.878987975190427,0.55,0.8745164410058027,0.8789893617021277,0.55,0.8745164410058027,0.8789893617021277,0.55,0.8745164410058027,0.8789893617021276,0.55,0.7490328820116054,0.7579787234042553,0.55,0.55,0.894750254841998,0.8562557497700092,0.8488878143133463,0.9001450676982592,0.8712158808933003,0.8776520509193776,0.8744339659063389,0.8745164410058027,0.8764409221902018,0.8815725413826679,0.8823742746615088,0.8756044487427466,0.8793975903614458,0.8785783600194081,0.878987975190427,0.8789893617021277,0.8764409221902018,0.8815725413826679,0.8823742746615088,0.8756044487427466,0.8793975903614458,0.8785783600194081,0.878987975190427,0.8789893617021277,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
(a) Monolingual and Mono-Domain,EN_quake,earthquake,en,5607,5607,earthquake,en,8611,8611,MT+GloVe,1.0,1.0,1.0,0.8855433079420917,0.8180671787229165,1.0,1.0,0.828707467193125,1.0,0.0,0.8233529479635399,0.8233529479635399,0.5,0.8222586746656116,0.8222586746656116,0.5,0.8222041574729997,0.8222041574729997,0.5,0.8221966376287599,0.8221966376287599,0.5,0.8222041574729997,0.8222041574729997,0.5,0.8222041574729997,0.8222041574729997,0.5,0.8222041574729997,0.8222041574729997,0.5,0.6444083149459994,0.6444083149459994,0.5,0.51,0.8264501706083068,0.8180671787229165,0.8157008477528742,0.828707467193125,0.82104032729398,0.8233529479635399,0.8221966376287599,0.8222041574729997,0.8264501706083068,0.8180671787229165,0.8157008477528742,0.828707467193125,0.82104032729398,0.8233529479635399,0.8221966376287599,0.8222041574729997,0.8185668498168498,0.8279519208107471,0.830449425153873,0.8159331088143073,0.8244653254164986,0.8218985786980171,0.8231819520572579,0.8231912669840901,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
(a) Monolingual and Mono-Domain,ES_quake,earthquake,es,1411,1411,earthquake,es,2507,2507,MT+GloVe,0.9999999999999999,1.0,1.0,0.8931379850817391,0.7322422258592471,1.0,1.0,0.8923015556441962,1.0,0.0,0.8043869111830276,0.8188616535105941,0.65,0.7972084023630079,0.8282704535082975,0.7000000000000001,0.7830075787794176,0.8260869565217391,0.65,0.7803842303340127,0.825809806425416,0.65,0.7830075787794176,0.8260869565217391,0.65,0.7830075787794176,0.8260869565217391,0.65,0.7830075787794176,0.8260869565217391,0.65,0.5660151575588352,0.6521739130434783,0.65,0.67,0.8621745788667687,0.7322422258592471,0.673713601914639,0.8923015556441962,0.7563815494849977,0.8043869111830276,0.7803842303340127,0.7830075787794176,0.8019948282231252,0.8543563068920677,0.8659752692461109,0.7861986437973674,0.8327579593402378,0.8188616535105941,0.825809806425416,0.8260869565217391,0.7918745545260156,0.8709239130434783,0.8863183087355405,0.7670522536896689,0.8364389233954451,0.8156945917285259,0.8260667575619856,0.8266852812126048,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
(a) Monolingual and Mono-Domain,IT_quake,earthquake,it,760,760,earthquake,it,698,698,MT+GloVe,1.0,1.0,1.0,0.7996927365128366,0.5938375350140056,1.0,0.9500000000000001,0.9111747851002865,1.0,0.0,0.7190503109101186,0.7393860222077074,0.6000000000000001,0.7015341521223875,0.7508986340762042,0.9500000000000001,0.6439828080229226,0.7335243553008596,0.7000000000000001,0.6166121544775423,0.7325560316413975,0.7000000000000001,0.6439828080229226,0.7335243553008596,0.7000000000000001,0.6439828080229226,0.7335243553008596,0.7000000000000001,0.6439828080229226,0.7335243553008597,0.7000000000000001,0.28796561604584525,0.46704871060171915,0.7000000000000001,0.7,0.8092307692307692,0.5938375350140056,0.37679083094555876,0.9111747851002865,0.5141739980449658,0.7190503109101186,0.6166121544775423,0.6439828080229226,0.7084398976982097,0.7654723127035831,0.7936962750716332,0.673352435530086,0.7486486486486486,0.7164634146341463,0.7325560316413975,0.7335243553008596,0.7161629434954008,0.7590551181102362,0.7808022922636103,0.6905444126074498,0.7470870459218643,0.7231807951987997,0.735133920560332,0.7356733524355301,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
(b) Monolingual and Cross-Domain,EN_expl,earthquake_flood,en,25831,25831,explosion,en,4415,4641,MT+GloVe,0.9999998036690099,0.9999806430382687,0.9999806434129461,0.9732988238417591,0.9592088998763906,0.9944852941176471,0.9,0.8788221970554927,1.0,0.0,0.91725768321513,0.9259342638451149,0.4,0.9262218915666127,0.928244920639399,0.45,0.9216347572219933,0.9274446114363508,0.4,0.9223669269784727,0.9273147695471782,0.4,0.9227031802120141,0.9273409893992933,0.4,0.9227031802120141,0.9273409893992933,0.4,0.9227031802120141,0.9273409893992933,0.4,0.8449937292784379,0.8546347095891382,0.4,0.41,0.893234883256835,0.9592088998763906,0.9644473173884939,0.8788221970554927,0.9274761707418152,0.91725768321513,0.9223669269784727,0.9227031802120141,0.9341617614998909,0.920340120832401,0.9232923938806292,0.9315968289920725,0.9286952752492414,0.9259342638451149,0.9273147695471782,0.9273409893992933,0.9317789291882557,0.9265370705244123,0.9299719887955182,0.9284258210645526,0.9308745821201337,0.9274804842176716,0.9291775331689027,0.9292181978798587,0.5124779151943463,0.0,1.0,0.0,0.6776666423304374,0.0,0.3388333211652187,0.5124779151943463
(b) Monolingual and Cross-Domain,EN_flood,explosion_earthquake,en,17209,17209,flood,en,8272,8272,MT+GloVe,1.0,1.0,1.0,0.9315914989253206,0.8793606494989217,0.9806763285024155,0.9500000000000001,0.8380077369439072,1.0,0.0,0.85818632002476,0.8642929322950722,0.45,0.8623220520326844,0.8624166350796101,0.45,0.8615207930367506,0.8620043520309477,0.45,0.8614441905444772,0.8619650951054212,0.45,0.8615207930367504,0.8620043520309478,0.45,0.8615207930367504,0.8620043520309478,0.45,0.8615207930367503,0.8620043520309478,0.45,0.7230415860735009,0.7240087040618955,0.45,0.48,0.8452834545664473,0.8793606494989217,0.8850338491295938,0.8380077369439072,0.8647020610641942,0.85818632002476,0.8614441905444772,0.8615207930367504,0.8746403102714876,0.8501929598877325,0.8451402321083172,0.8788684719535783,0.8596372579157702,0.8642929322950722,0.8619650951054212,0.8620043520309478,0.8567689745419939,0.8685180634062423,0.8706479690522244,0.8544487427466151,0.8636527161530161,0.8614259597806215,0.8625393379668188,0.8625483558994197,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
(b) Monolingual and Cross-Domain,EN_quake,explosion_flood,en,17860,17860,earthquake,en,8611,8611,MT+GloVe,1.0,0.9999720052630106,0.9999720044792614,0.9295640616857435,0.8093864969672865,0.9480874316939891,1.0,0.9453025200325166,1.0,0.0,0.8720805656738805,0.8731408573928259,0.55,0.8718251396211171,0.8718251396211171,0.5,0.8613401463244688,0.8652885843688305,0.55,0.8603556986584413,0.864885733613711,0.6000000000000001,0.8613401463244686,0.8652885843688306,0.55,0.8613401463244686,0.8652885843688306,0.55,0.8613401463244686,0.8652885843688306,0.55,0.7226802926489374,0.7305771687376612,0.55,0.59,0.9342637822749477,0.8093864969672865,0.7773777726164208,0.9453025200325166,0.848630831643002,0.8720805656738805,0.8603556986584413,0.8613401463244686,0.9168986083499006,0.8250490854603699,0.8033910114969225,0.9271861572407386,0.8564000990344144,0.8731408573928259,0.8647704782136201,0.8652885843688306,0.8985598787266296,0.8390285837094348,0.826036464986645,0.9067471838346302,0.8607732800871302,0.8715744823352124,0.8661738812111712,0.8663918244106376,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
(b) Monolingual and Cross-Domain,ES_expl,earthquake,es,2091,2091,explosion,es,747,747,MT+GloVe,1.0,1.0,1.0,0.849155658779697,0.7962697274031564,0.9428571428571428,0.8500000000000001,0.7429718875502008,1.0,0.0,0.7686980609418284,0.7749360613810742,0.45,0.7776831698496334,0.785833823900429,0.6000000000000001,0.7764390896921017,0.7764390896921017,0.5,0.7761884087092561,0.7761884087092561,0.5,0.7764390896921017,0.7764390896921017,0.5,0.7764390896921017,0.7764390896921017,0.5,0.7764390896921016,0.7764390896921016,0.5,0.5528781793842035,0.5528781793842035,0.5,0.48,0.7590966122961104,0.7962697274031564,0.8099062918340026,0.7429718875502008,0.7836787564766838,0.7686980609418284,0.7761884087092561,0.7764390896921017,0.7590966122961104,0.7962697274031564,0.8099062918340026,0.7429718875502008,0.7836787564766838,0.7686980609418284,0.7761884087092561,0.7764390896921017,0.7770360480640854,0.7785234899328859,0.7791164658634538,0.7764390896921017,0.7780748663101605,0.7774798927613941,0.7777773795357773,0.7777777777777778,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
(b) Monolingual and Cross-Domain,ES_quake,explosion,es,75,75,earthquake,es,2507,2507,MT+GloVe,0.9999999999999999,1.0,1.0,0.7776210654841356,0.6113249037932931,1.0,0.8500000000000001,0.8871160749900279,1.0,0.0,0.723840520748576,0.723840520748576,0.5,0.7028281495710651,0.7509509509509509,0.8500000000000001,0.6615476665337056,0.7050259274032709,0.6000000000000001,0.6434036495064024,0.7034370868785025,0.6000000000000001,0.6615476665337057,0.7050259274032709,0.6000000000000001,0.6615476665337057,0.7050259274032709,0.6000000000000001,0.6615476665337057,0.7050259274032709,0.6000000000000001,0.32309533306741123,0.4100518548065417,0.6000000000000001,0.59,0.7943313953488372,0.6113249037932931,0.4359792580773833,0.8871160749900279,0.5629667782642287,0.723840520748576,0.6434036495064024,0.6615476665337057,0.6788448155880307,0.7401869158878505,0.7782209812524931,0.6318308735540487,0.7251440252741126,0.6817301484828923,0.7034370868785025,0.7050259274032709,0.7030833650551961,0.7235023041474654,0.7367371360191464,0.6888711607499003,0.7195169458511882,0.7057621577441766,0.7126395517976825,0.7128041483845233,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
(b) Monolingual and Cross-Domain,IT_flood,earthquake,it,1057,1057,flood,it,1759,1759,MT+GloVe,1.0,1.0,1.0,0.7744546765259216,0.6382884869872077,1.0,0.9500000000000001,0.8226264923251848,1.0,0.0,0.7188276204669648,0.7262326341596295,0.55,0.6944440036854505,0.7501422070534698,0.9500000000000001,0.6782262649232519,0.714326321773735,0.55,0.6713739431238479,0.7137849649252828,0.55,0.6782262649232519,0.7143263217737351,0.55,0.6782262649232519,0.7143263217737351,0.55,0.6782262649232519,0.7143263217737351,0.55,0.35645252984650366,0.4286526435474701,0.55,0.55,0.750599520383693,0.6382884869872077,0.533826037521319,0.8226264923251848,0.6239202657807309,0.7188276204669648,0.6713739431238479,0.6782262649232519,0.7347447073474471,0.6971757322175732,0.6708357021034679,0.7578169414440022,0.7013372956909361,0.7262326341596295,0.7137849649252828,0.7143263217737351,0.7347447073474471,0.6971757322175732,0.6708357021034679,0.7578169414440022,0.7013372956909361,0.7262326341596295,0.7137849649252828,0.7143263217737351,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
