scenario,experiment,hazard_train,lang_train,train_1,train_0,hazard_test,lang_test,test_1,test_0,features,train_auc,train_f1,train_f1_macro,test_auc,test_prec,test_top_prec,test_th_prec,test_rec,test_top_rec,test_th_rec,test_f1,test_top_f1,test_th_top_f1,test_prec_macro,test_top_prec_macro,test_th_prec_macro,test_rec_macro,test_top_rec_macro,test_th_rec_macro,test_f1_macro,test_top_f1_macro,test_th_top_f1_macro,test_prec_micro,test_top_prec_micro,test_th_prec_micro,test_rec_micro,test_top_rec_micro,test_th_rec_micro,test_f1_micro,test_top_f1_micro,test_th_top_f1_micro,test_kappa,test_top_kappa,test_th_kappa,test_youden,prec_0,prec_1,rec_0,rec_1,f1_0,f1_1,f1_macro,accuracy,prec_kappa_0,prec_kappa_1,rec_kappa_0,rec_kappa_1,f1_kappa_0,f1_kappa_1,f1_kappa_macro,accuracy_kappa,prec_youden_0,prec_youden_1,rec_youden_0,rec_youden_1,f1_youden_0,f1_youden_1,f1_youden_macro,accuracy_youden,prec_dummy_0,prec_dummy_1,rec_dummy_0,rec_dummy_1,f1_dummy_0,f1_dummy_1,f1_dummy_macro,accuracy_dummy
(a) Monolingual and Mono-Domain,EN_flood,flood,en,5173,5173,flood,en,8272,8272,MUSE+LF,1.0,1.0,1.0,0.9587451457037139,0.8736794274679087,1.0,1.0,0.9297630560928434,1.0,0.0,0.9008491947291363,0.9008491947291363,0.5,0.8993122625002636,0.8993122625002636,0.5,0.8976668278529981,0.8986339458413927,0.55,0.8975612987946562,0.8986319722116818,0.55,0.8976668278529981,0.8986339458413927,0.55,0.8976668278529981,0.8986339458413927,0.55,0.8976668278529981,0.8986339458413927,0.55,0.7953336557059961,0.7972678916827853,0.55,0.53,0.9249450975326186,0.8736794274679087,0.8655705996131529,0.9297630560928434,0.8942734028601761,0.9008491947291363,0.8975612987946562,0.8976668278529981,0.8951467944877172,0.9021831930723259,0.903046421663443,0.8942214700193424,0.8990792561834267,0.8981846882399369,0.8986319722116818,0.8986339458413927,0.9087766942352796,0.892218405779936,0.8899903288201161,0.9106624758220503,0.8992854089049045,0.90134609632067,0.9003157526127872,0.9003264023210832,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
(a) Monolingual and Mono-Domain,EN_quake,earthquake,en,5607,5607,earthquake,en,8611,8611,MUSE+LF,1.0,1.0,1.0,0.8943309608998309,0.8314285714285714,1.0,0.9500000000000001,0.8110556265242133,1.0,0.0,0.8211157486332372,0.8220570554158925,0.45,0.8235016355215856,0.8243835261132966,0.55,0.8233073975148066,0.8233073975148066,0.5,0.8232808709322326,0.8232808709322326,0.5,0.8233073975148066,0.8233073975148066,0.5,0.8233073975148066,0.8233073975148066,0.5,0.8233073975148066,0.8233073975148066,0.5,0.6466147950296133,0.6466147950296133,0.5,0.51,0.8155746996145998,0.8314285714285714,0.8355591685054,0.8110556265242133,0.825445993231228,0.8211157486332372,0.8232808709322326,0.8233073975148066,0.8155746996145998,0.8314285714285714,0.8355591685054,0.8110556265242133,0.825445993231228,0.8211157486332372,0.8232808709322326,0.8233073975148066,0.8074204946996466,0.8409257898603968,0.8491464405992335,0.7974683544303798,0.8277579668308145,0.8186207307623532,0.8231893487965838,0.8233073975148066,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
(a) Monolingual and Mono-Domain,ES_quake,earthquake,es,1411,1411,earthquake,es,2507,2507,MUSE+LF,1.0,1.0,1.0,0.9007098433122797,0.7338762214983713,1.0,1.0,0.8986836856800957,1.0,0.0,0.807961269499731,0.8211866146581811,0.6000000000000001,0.8016088926421898,0.8297693653467026,0.65,0.7863980853609892,0.826286398085361,0.6000000000000001,0.7836705920628289,0.8261449846608726,0.6000000000000001,0.7863980853609892,0.826286398085361,0.6000000000000001,0.7863980853609892,0.826286398085361,0.6000000000000001,0.7863980853609892,0.826286398085361,0.6000000000000001,0.5727961707219784,0.652572796170722,0.6000000000000001,0.6,0.8693415637860082,0.7338762214983713,0.6741124850418827,0.8986836856800957,0.7593799146259267,0.807961269499731,0.7836705920628289,0.7863980853609892,0.8086792452830188,0.8460236886632826,0.8548065416832868,0.7977662544874352,0.8311033546635641,0.8211866146581811,0.8261449846608726,0.826286398085361,0.8168795973674022,0.8366927190456602,0.8416433984842441,0.8113282808137215,0.8290766208251472,0.8238153098420412,0.8264459653335943,0.8264858396489828,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
(a) Monolingual and Mono-Domain,IT_quake,earthquake,it,760,760,earthquake,it,698,698,MUSE+LF,0.9999999999999999,1.0,1.0,0.8188643771397607,0.5845195729537367,1.0,0.9500000000000001,0.9412607449856734,1.0,0.0,0.7211855104281011,0.7501639344262295,0.6000000000000001,0.7168921394180447,0.7708391669933516,0.75,0.6361031518624642,0.737106017191977,0.65,0.5987370851109578,0.7371048030923535,0.65,0.6361031518624641,0.7371060171919771,0.65,0.6361031518624641,0.7371060171919771,0.65,0.6361031518624641,0.7371060171919771,0.65,0.2722063037249284,0.4742120343839542,0.65,0.7,0.8492647058823529,0.5845195729537367,0.330945558739255,0.9412607449856734,0.47628865979381446,0.7211855104281011,0.5987370851109578,0.6361031518624641,0.7381294964028777,0.7360912981455064,0.7349570200573066,0.7392550143266475,0.7365398420674804,0.7376697641172266,0.7371048030923535,0.7371060171919771,0.69965075669383,0.819366852886406,0.8610315186246418,0.6303724928366762,0.7719974309569685,0.7125506072874492,0.7422740191222088,0.745702005730659,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
(b) Monolingual and Cross-Domain,EN_expl,earthquake_flood,en,25831,25831,explosion,en,4415,4641,MUSE+LF,1.0,1.0,1.0,0.9723773018223754,0.9571428571428572,1.0,0.9500000000000001,0.8346545866364666,1.0,0.0,0.8917120387174835,0.9159873188405797,0.4,0.9084600186597882,0.9180106862397399,0.4,0.8995509520124803,0.9180198257541539,0.4,0.900410706065353,0.9180152111444277,0.4,0.9011704946996466,0.918065371024735,0.4,0.9011704946996466,0.918065371024735,0.4,0.9011704946996466,0.918065371024735,0.4,0.8015996146120394,0.8360304302911811,0.4,0.38,0.8597771801767192,0.9571428571428572,0.9644473173884939,0.8346545866364666,0.9091093734132224,0.8917120387174835,0.900410706065353,0.9011704946996466,0.9202414313429619,0.915779941136518,0.9198448610213316,0.9161947904869762,0.9200431034482758,0.9159873188405797,0.9180152111444277,0.918065371024735,0.9304942630185349,0.9062776304155614,0.9086403792286145,0.928652321630804,0.9194374795595771,0.9173285602416377,0.9183830199006073,0.9183966431095406,0.5124779151943463,0.0,1.0,0.0,0.6776666423304374,0.0,0.3388333211652187,0.5124779151943463
(b) Monolingual and Cross-Domain,EN_flood,explosion_earthquake,en,17209,17209,flood,en,8272,8272,MUSE+LF,0.9999999999999999,1.0,1.0,0.9352656441155452,0.8590920067616518,0.9876543209876543,0.9500000000000001,0.8601305609284333,1.0,0.0,0.85961097015827,0.85961097015827,0.5,0.8595266376098261,0.8619486561316878,0.55,0.8595261121856868,0.8595261121856868,0.5,0.8595260608623696,0.8595260608623696,0.5,0.8595261121856866,0.8595261121856866,0.5,0.8595261121856866,0.8595261121856866,0.5,0.8595261121856866,0.8595261121856866,0.5,0.7190522243713733,0.7190522243713733,0.5,0.52,0.8599612684580005,0.8590920067616518,0.8589216634429401,0.8601305609284333,0.859441151566469,0.85961097015827,0.8595260608623696,0.8595261121856866,0.8599612684580005,0.8590920067616518,0.8589216634429401,0.8601305609284333,0.859441151566469,0.85961097015827,0.8595260608623696,0.8595261121856866,0.8469837587006961,0.8774608783442706,0.8826160541586073,0.840546421663443,0.8644328676296472,0.8586070634724624,0.8615199655510548,0.8615812379110251,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
(b) Monolingual and Cross-Domain,EN_quake,explosion_flood,en,17860,17860,earthquake,en,8611,8611,MUSE+LF,0.9999999968650033,0.9999720052630106,0.9999720044792614,0.9344437557290646,0.8073030363167295,1.0,1.0,0.9448379979096504,1.0,0.0,0.8706725881534592,0.8722277391592188,0.55,0.8704068373073008,0.8704068373073008,0.5,0.859656253629079,0.8655208454302636,0.55,0.8586304863966281,0.8651492905870859,0.55,0.859656253629079,0.8655208454302636,0.55,0.859656253629079,0.8655208454302636,0.55,0.8596562536290792,0.8655208454302636,0.55,0.7193125072581581,0.7310416908605273,0.55,0.59,0.9335106382978723,0.8073030363167295,0.7744745093485077,0.9448379979096504,0.8465883846397969,0.8706725881534592,0.8586304863966281,0.859656253629079,0.908394965615674,0.8307934839726747,0.8130298455463941,0.918011845314133,0.8580708420149529,0.8722277391592188,0.8651492905870859,0.8655208454302636,0.8841337386018238,0.8511726130932533,0.8445012193705725,0.8893276042271513,0.8638631503920171,0.8698318945933666,0.8668475224926919,0.866914411798862,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
(b) Monolingual and Cross-Domain,ES_expl,earthquake,es,2091,2091,explosion,es,747,747,MUSE+LF,1.0,1.0,1.0,0.8297222804650104,0.7955706984667802,1.0,0.8,0.6251673360107095,1.0,0.0,0.7001499250374812,0.7655786350148367,0.4,0.7434303326953526,0.7643072289156626,0.25,0.7322623828647925,0.7523427041499331,0.45,0.7291559782382085,0.7523316080747835,0.45,0.7322623828647925,0.7523427041499331,0.45,0.7322623828647925,0.7523427041499331,0.45,0.7322623828647925,0.7523427041499332,0.45,0.464524765729585,0.5046854082998662,0.45,0.44,0.6912899669239251,0.7955706984667802,0.8393574297188755,0.6251673360107095,0.7581620314389359,0.7001499250374812,0.7291559782382085,0.7322623828647925,0.7557666214382632,0.7490092470277411,0.7456492637215528,0.7590361445783133,0.7506738544474393,0.7539893617021276,0.7523316080747835,0.7523427041499331,0.7725321888412017,0.7396226415094339,0.7228915662650602,0.7871485943775101,0.7468879668049793,0.7626459143968872,0.7547669406009332,0.7550200803212851,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
(b) Monolingual and Cross-Domain,ES_quake,explosion,es,75,75,earthquake,es,2507,2507,MUSE+LF,1.0,1.0,1.0,0.797584792099473,0.6441375257126065,1.0,0.8500000000000001,0.874351814918229,1.0,0.0,0.7417935702199662,0.7417935702199662,0.5,0.7243033997278117,0.7502495508085446,0.8500000000000001,0.6956521739130435,0.7343438372556841,0.55,0.6856126666058548,0.7341651350205005,0.55,0.6956521739130435,0.7343438372556841,0.55,0.6956521739130435,0.7343438372556841,0.55,0.6956521739130435,0.7343438372556842,0.55,0.3913043478260869,0.46868767451136817,0.55,0.57,0.8044692737430168,0.6441375257126065,0.516952532907858,0.874351814918229,0.6294317629917436,0.7417935702199662,0.6856126666058548,0.6956521739130435,0.7471602860748843,0.7227910504361016,0.7084164339848424,0.7602712405265257,0.7272727272727272,0.7410575427682738,0.7341651350205005,0.7343438372556841,0.7239031770045385,0.749789029535865,0.7634623055444755,0.7088153171120861,0.7431566686080372,0.7287266762353906,0.7359416724217138,0.7361388113282809,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
(b) Monolingual and Cross-Domain,IT_flood,earthquake,it,1057,1057,flood,it,1759,1759,MUSE+LF,1.0,1.0,1.0,0.8644169302613604,0.7352222765021983,1.0,0.8,0.8555997725980671,1.0,0.0,0.790856542301629,0.790856542301629,0.5,0.7812753122823703,0.7884159195928536,0.55,0.7737350767481523,0.7845366685616828,0.55,0.7722084569093285,0.7838097180735855,0.55,0.7737350767481523,0.7845366685616828,0.55,0.7737350767481523,0.7845366685616828,0.55,0.7737350767481523,0.7845366685616828,0.55,0.5474701534963047,0.5690733371233656,0.55,0.54,0.8273283480625425,0.7352222765021983,0.6918703808982376,0.8555997725980671,0.7535603715170279,0.790856542301629,0.7722084569093285,0.7737350767481523,0.7549668874172185,0.8218649517684887,0.8425241614553723,0.7265491756679932,0.7963460505104782,0.7712733856366928,0.7838097180735855,0.7845366685616828,0.7687002652519894,0.8101653398652786,0.8237635019897669,0.7521318931210915,0.7952799121844127,0.7800707547169811,0.787675333450697,0.7879476975554293,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
