scenario,experiment,hazard_train,lang_train,train_1,train_0,hazard_test,lang_test,test_1,test_0,features,train_auc,train_f1,train_f1_macro,test_auc,test_prec,test_top_prec,test_th_prec,test_rec,test_top_rec,test_th_rec,test_f1,test_top_f1,test_th_top_f1,test_prec_macro,test_top_prec_macro,test_th_prec_macro,test_rec_macro,test_top_rec_macro,test_th_rec_macro,test_f1_macro,test_top_f1_macro,test_th_top_f1_macro,test_prec_micro,test_top_prec_micro,test_th_prec_micro,test_rec_micro,test_top_rec_micro,test_th_rec_micro,test_f1_micro,test_top_f1_micro,test_th_top_f1_micro,test_kappa,test_top_kappa,test_th_kappa,test_youden,prec_0,prec_1,rec_0,rec_1,f1_0,f1_1,f1_macro,accuracy,prec_kappa_0,prec_kappa_1,rec_kappa_0,rec_kappa_1,f1_kappa_0,f1_kappa_1,f1_kappa_macro,accuracy_kappa,prec_youden_0,prec_youden_1,rec_youden_0,rec_youden_1,f1_youden_0,f1_youden_1,f1_youden_macro,accuracy_youden,prec_dummy_0,prec_dummy_1,rec_dummy_0,rec_dummy_1,f1_dummy_0,f1_dummy_1,f1_dummy_macro,accuracy_dummy
(a) Monolingual and Mono-Domain,EN_flood,flood,en,5173,5173,flood,en,8272,8272,MUSE,1.0,1.0,1.0,0.9463558755691405,0.8512960436562074,1.0,1.0,0.9052224371373307,1.0,0.0,0.8774314506679166,0.8822549805711465,0.55,0.8750543202276907,0.8852275462373081,0.55,0.8735493230174081,0.8846107350096712,0.55,0.8734223420630469,0.8845645273226103,0.55,0.8735493230174082,0.8846107350096711,0.55,0.8735493230174082,0.8846107350096711,0.55,0.8735493230174081,0.8846107350096711,0.55,0.7470986460348162,0.7692214700193424,0.55,0.55,0.898812596799174,0.8512960436562074,0.8418762088974855,0.9052224371373307,0.8694132334581772,0.8774314506679166,0.8734223420630469,0.8735493230174082,0.869812855980472,0.9006422364941443,0.9046179883945842,0.8646034816247582,0.886874074074074,0.8822549805711465,0.8845645273226103,0.8846107350096711,0.869812855980472,0.9006422364941443,0.9046179883945842,0.8646034816247582,0.886874074074074,0.8822549805711465,0.8845645273226103,0.8846107350096711,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
(a) Monolingual and Mono-Domain,EN_quake,earthquake,en,5607,5607,earthquake,en,8611,8611,MUSE,0.9998667396091964,0.9994646680942185,0.9994649543679648,0.8916404979622132,0.8334738109572547,1.0,0.9500000000000001,0.8038555336197887,1.0,0.0,0.8183967841097187,0.8183967841097187,0.5,0.8220301655436717,0.8220301655436717,0.5,0.821623504819417,0.821623504819417,0.5,0.8215671734332254,0.8215671734332254,0.5,0.821623504819417,0.821623504819417,0.5,0.821623504819417,0.821623504819417,0.5,0.821623504819417,0.821623504819417,0.5,0.6432470096388341,0.6432470096388341,0.5,0.49722222222222223,0.8105865201300886,0.8334738109572547,0.8393914760190454,0.8038555336197887,0.824737562756732,0.8183967841097187,0.8215671734332254,0.821623504819417,0.8105865201300886,0.8334738109572547,0.8393914760190454,0.8038555336197887,0.824737562756732,0.8183967841097187,0.8215671734332254,0.821623504819417,0.8106774338268282,0.833493859860342,0.8393914760190454,0.8039716641505051,0.8247846180179152,0.8184666311993852,0.8216256246086502,0.8216815700847753,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
(a) Monolingual and Mono-Domain,ES_quake,earthquake,es,1411,1411,earthquake,es,2507,2507,MUSE,1.0,1.0,1.0,0.8986409652494356,0.7301173402868318,1.0,0.9500000000000001,0.8934982050259274,1.0,0.0,0.8035874439461883,0.8268703486094791,0.55,0.7964564090951117,0.8403634706179146,0.6000000000000001,0.7816114878340645,0.8332668528121261,0.6000000000000001,0.7788429023009631,0.8323931974982598,0.6000000000000001,0.7816114878340646,0.8332668528121261,0.6000000000000001,0.7816114878340646,0.8332668528121261,0.6000000000000001,0.7816114878340646,0.8332668528121261,0.6000000000000001,0.5632229756681293,0.6665337056242521,0.6000000000000001,0.58,0.8627954779033916,0.7301173402868318,0.6697247706422018,0.8934982050259274,0.7540983606557378,0.8035874439461883,0.7788429023009631,0.7816114878340646,0.7912164517253398,0.8895104895104895,0.9054646988432389,0.7610690067810132,0.8444940476190474,0.8202923473774721,0.8323931974982598,0.8332668528121261,0.8191087613293051,0.8571428571428571,0.8651775029916234,0.8089349820502593,0.8415130940834141,0.8323414734249948,0.8369272837542044,0.8370562425209414,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
(a) Monolingual and Mono-Domain,IT_quake,earthquake,it,760,760,earthquake,it,698,698,MUSE,0.9999965373961219,0.9993425378040763,0.9993421049784041,0.835552458518403,0.6630434782608695,1.0,0.9500000000000001,0.8739255014326648,1.0,0.0,0.754017305315204,0.7664670658682635,0.55,0.7390847643405187,0.7897614298888185,0.75,0.7148997134670487,0.7707736389684814,0.6000000000000001,0.7075026901363073,0.7703772696525023,0.6000000000000001,0.7148997134670487,0.7707736389684814,0.6000000000000001,0.7148997134670487,0.7707736389684814,0.6000000000000001,0.7148997134670487,0.7707736389684814,0.6000000000000001,0.42979942693409745,0.5415472779369628,0.6000000000000001,0.5875,0.8151260504201681,0.6630434782608695,0.5558739255014327,0.8739255014326648,0.6609880749574106,0.754017305315204,0.7075026901363073,0.7148997134670487,0.75,0.7953125,0.8123209169054442,0.7292263610315186,0.7799174690508941,0.7608370702541105,0.7703772696525023,0.7707736389684814,0.7733142037302726,0.7725321888412017,0.7722063037249284,0.7736389684813754,0.7727598566308245,0.7730851825340015,0.772922519582413,0.7729226361031518,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
(b) Monolingual and Cross-Domain,EN_expl,earthquake_flood,en,25831,25831,explosion,en,4415,4641,MUSE,0.9999867146865492,0.999767684980834,0.9997677209498712,0.9414121463551882,0.9299163179916318,1.0,0.9500000000000001,0.805436013590034,1.0,0.0,0.8632115548003398,0.8696959186033066,0.45,0.8828671804025436,0.8828671804025436,0.5,0.8738449190983999,0.874975469759295,0.45,0.8745309267975162,0.8753002471596265,0.45,0.8755521201413428,0.8755521201413428,0.45,0.8755521201413428,0.8755521201413428,0.45,0.8755521201413426,0.8755521201413426,0.45,0.7501347485060151,0.7507002836699681,0.45,0.47,0.8358180428134556,0.9299163179916318,0.9422538246067658,0.805436013590034,0.8858502987946926,0.8632115548003398,0.8745309267975162,0.8755521201413428,0.8643716300290336,0.8882853094000944,0.8980823098470158,0.8518686296715742,0.8809045757159464,0.8696959186033066,0.8753002471596265,0.8755521201413428,0.8560272326792151,0.9098966026587888,0.9211376858435681,0.8371460928652321,0.8873897249610795,0.8720066061106523,0.8796981655358659,0.880189929328622,0.5124779151943463,0.0,1.0,0.0,0.6776666423304374,0.0,0.3388333211652187,0.5124779151943463
(b) Monolingual and Cross-Domain,EN_flood,explosion_earthquake,en,17209,17209,flood,en,8272,8272,MUSE,0.9999724379240509,0.999680316196344,0.9996803997689536,0.9171853779990946,0.8502409489682442,1.0,1.0,0.8318423597678917,1.0,0.0,0.8409410326917202,0.8409410326917202,0.5,0.8428225215791405,0.8474468224849387,0.55,0.842661992263056,0.842661992263056,0.5,0.8426435714197105,0.8426435714197105,0.5,0.842661992263056,0.842661992263056,0.5,0.842661992263056,0.842661992263056,0.5,0.842661992263056,0.842661992263056,0.5,0.6853239845261122,0.6853239845261122,0.5,0.5166666666666666,0.8354040941900367,0.8502409489682442,0.8534816247582205,0.8318423597678917,0.8443461101477007,0.8409410326917202,0.8426435714197105,0.842661992263056,0.8354040941900367,0.8502409489682442,0.8534816247582205,0.8318423597678917,0.8443461101477007,0.8409410326917202,0.8426435714197105,0.842661992263056,0.8222799683651565,0.8707916287534122,0.879835589941973,0.8098404255319149,0.8500846814226479,0.8392107735671782,0.8446477274949131,0.844838007736944,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
(b) Monolingual and Cross-Domain,EN_quake,explosion_flood,en,17860,17860,earthquake,en,8611,8611,MUSE,0.9999999858925148,0.9999160063835149,0.9999160134372576,0.9206891253933398,0.82067868504772,1.0,1.0,0.8987341772151899,1.0,0.0,0.8579347042846849,0.8579347042846849,0.5,0.8543845170618477,0.8543845170618477,0.5,0.8511787248867728,0.852572291255371,0.55,0.8508413995726904,0.8525721118151992,0.55,0.8511787248867727,0.852572291255371,0.55,0.8511787248867727,0.852572291255371,0.55,0.8511787248867727,0.8525722912553709,0.55,0.7023574497735454,0.7051445825107421,0.55,0.5286363636363636,0.8880903490759754,0.82067868504772,0.8036232725583556,0.8987341772151899,0.8437480948606961,0.8579347042846849,0.8508413995726904,0.8511787248867727,0.8517960602549247,0.8533519553072626,0.853675531297178,0.8514690512135641,0.8527347601647237,0.8524094634656746,0.8525721118151992,0.852572291255371,0.8686563557274045,0.8410462776659959,0.8348623853211009,0.8737661131111369,0.8514241724403386,0.8570940365666117,0.8542591045034751,0.8543142492161189,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
(b) Monolingual and Cross-Domain,ES_expl,earthquake,es,2091,2091,explosion,es,747,747,MUSE,1.0,1.0,1.0,0.7777607529627658,0.7821428571428571,1.0,0.8,0.5863453815261044,1.0,0.0,0.6702371843917367,0.7203728362183756,0.45,0.7256538696849189,0.7523648648648649,0.8,0.7115127175368139,0.7188755020080322,0.45,0.7069210907086584,0.7188674409894031,0.45,0.7115127175368139,0.7188755020080321,0.45,0.7115127175368139,0.7188755020080321,0.45,0.7115127175368139,0.718875502008032,0.45,0.4230254350736279,0.43775100401606426,0.45,0.47,0.6691648822269807,0.7821428571428571,0.8366800535475234,0.5863453815261044,0.74360499702558,0.6702371843917367,0.7069210907086584,0.7115127175368139,0.7212449255751014,0.7165562913907285,0.713520749665328,0.7242302543507363,0.7173620457604306,0.7203728362183756,0.7188674409894031,0.7188755020080321,0.6990291262135923,0.744776119402985,0.7710843373493976,0.6680053547523427,0.7332908975175048,0.704304869442484,0.7187978834799944,0.7195448460508701,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
(b) Monolingual and Cross-Domain,ES_quake,explosion,es,75,75,earthquake,es,2507,2507,MUSE,1.0,1.0,1.0,0.8096924144903247,0.678479381443299,1.0,0.8500000000000001,0.8400478659752693,1.0,0.0,0.7506683300659419,0.7506683300659419,0.5,0.7342658687321206,0.7503995205753096,0.8500000000000001,0.7209812524930195,0.7393298763462306,0.55,0.7169687586485471,0.7392887166399316,0.55,0.7209812524930196,0.7393298763462306,0.55,0.7209812524930196,0.7393298763462306,0.55,0.7209812524930195,0.7393298763462306,0.55,0.44196250498603906,0.4786597526924611,0.55,0.57,0.7900523560209424,0.678479381443299,0.6019146390107698,0.8400478659752693,0.6832691872311523,0.7506683300659419,0.7169687586485471,0.7209812524930196,0.7334630350194552,0.7454991816693944,0.7518946948544076,0.7267650578380535,0.7425645065983848,0.7360129266814784,0.7392887166399316,0.7393298763462306,0.7127169677647892,0.7740757644910999,0.8025528520143598,0.676505783805345,0.7549718574108817,0.7220093656875266,0.7384906115492041,0.7395293179098524,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
(b) Monolingual and Cross-Domain,IT_flood,earthquake,it,1057,1057,flood,it,1759,1759,MUSE,0.9999991049443768,0.9995267392333176,0.9995269629972734,0.8287973068578359,0.7423312883435583,1.0,0.8500000000000001,0.7566799317794202,1.0,0.0,0.749436936936937,0.749436936936937,0.5,0.7471076731572864,0.778888177798158,0.65,0.7470153496304719,0.7495736213757818,0.55,0.7469917176073894,0.7469917176073894,0.5,0.7470153496304719,0.7495736213757817,0.55,0.7470153496304719,0.7495736213757817,0.55,0.7470153496304718,0.7495736213757818,0.55,0.4940306992609437,0.4991472427515634,0.55,0.5225,0.7518840579710145,0.7423312883435583,0.7373507674815236,0.7566799317794202,0.7445464982778417,0.749436936936937,0.7469917176073894,0.7470153496304719,0.7015610651974288,0.8276119402985075,0.8686753837407618,0.6304718590108016,0.7762255524511048,0.7157147466924814,0.7459701495717931,0.7495736213757817,0.7289486796213254,0.8041032428855063,0.831722569641842,0.6907333712336555,0.7769516728624536,0.743119266055046,0.7600354694587498,0.7612279704377487,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
