scenario,experiment,hazard_train,lang_train,train_1,train_0,hazard_test,lang_test,test_1,test_0,features,train_auc,train_f1,train_f1_macro,test_auc,test_prec,test_top_prec,test_th_prec,test_rec,test_top_rec,test_th_rec,test_f1,test_top_f1,test_th_top_f1,test_prec_macro,test_top_prec_macro,test_th_prec_macro,test_rec_macro,test_top_rec_macro,test_th_rec_macro,test_f1_macro,test_top_f1_macro,test_th_top_f1_macro,test_prec_micro,test_top_prec_micro,test_th_prec_micro,test_rec_micro,test_top_rec_micro,test_th_rec_micro,test_f1_micro,test_top_f1_micro,test_th_top_f1_micro,test_kappa,test_top_kappa,test_th_kappa,test_youden,prec_0,prec_1,rec_0,rec_1,f1_0,f1_1,f1_macro,accuracy,prec_kappa_0,prec_kappa_1,rec_kappa_0,rec_kappa_1,f1_kappa_0,f1_kappa_1,f1_kappa_macro,accuracy_kappa,prec_youden_0,prec_youden_1,rec_youden_0,rec_youden_1,f1_youden_0,f1_youden_1,f1_youden_macro,accuracy_youden,prec_dummy_0,prec_dummy_1,rec_dummy_0,rec_dummy_1,f1_dummy_0,f1_dummy_1,f1_dummy_macro,accuracy_dummy
(a) Monolingual and Mono-Domain,EN_flood,flood,en,5173,5173,flood,en,8272,8272,XLM-R,1.0,1.0,1.0,0.9562452547266255,0.9118464258651174,0.9869451697127938,0.9500000000000001,0.8728239845261122,1.0,0.0,0.8919085855466338,0.8977177679531605,0.45,0.8949447756499248,0.8967365902741209,0.45,0.8942214700193424,0.8965183752417795,0.45,0.8941730168826789,0.8965041439154182,0.45,0.8942214700193424,0.8965183752417795,0.45,0.8942214700193424,0.8965183752417795,0.45,0.8942214700193424,0.8965183752417795,0.45,0.7884429400386848,0.7930367504835589,0.45,0.46,0.8780431254347322,0.9118464258651174,0.9156189555125726,0.8728239845261122,0.8964374482187241,0.8919085855466338,0.8941730168826789,0.8942214700193424,0.9060410992820005,0.8874320812662414,0.8847920696324951,0.9082446808510638,0.8952905198776758,0.8977177679531605,0.8965041439154182,0.8965183752417795,0.9029138099902057,0.8929083094555874,0.8915618955512572,0.9041344294003868,0.8972019464720195,0.8984863046612206,0.8978441255666201,0.897848162475822,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
(a) Monolingual and Mono-Domain,EN_quake,earthquake,en,5607,5607,earthquake,en,8611,8611,XLM-R,0.9999999999999999,1.0,1.0,0.9235603789278123,0.8789687579375158,1.0,0.9,0.8037394030890721,1.0,0.0,0.8396724294813466,0.8549982940975777,0.45,0.8490907118741922,0.8525635624062502,0.45,0.8465335036581116,0.8519335733364302,0.45,0.8462519394469487,0.851867399510528,0.45,0.8465335036581118,0.8519335733364302,0.45,0.8465335036581118,0.8519335733364302,0.45,0.8465335036581118,0.8519335733364302,0.45,0.6930670073162235,0.7038671466728603,0.45,0.47,0.8192126658108686,0.8789687579375158,0.8893276042271513,0.8037394030890721,0.8528314494125507,0.8396724294813466,0.8462519394469487,0.8465335036581118,0.8674669576815812,0.8376601671309192,0.8307978167460225,0.8730693299268377,0.8487365049234784,0.8549982940975777,0.851867399510528,0.8519335733364302,0.8511397651393047,0.8573102155576382,0.8585530135872721,0.8498432237835327,0.8548303173960803,0.85356038957252,0.8541953534843001,0.8541981186854024,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
(a) Monolingual and Mono-Domain,ES_quake,earthquake,es,1411,1411,earthquake,es,2507,2507,XLM-R,1.0,1.0,1.0,0.8798864575280161,0.7052631578947368,1.0,1.0,0.9086557638611886,1.0,0.0,0.7941432804601708,0.7956147220046986,0.6000000000000001,0.7884499645975926,0.7968061702983595,0.65,0.7644595133625847,0.7961707219784604,0.65,0.7594580303489389,0.7960615662835688,0.65,0.7644595133625848,0.7961707219784603,0.65,0.7644595133625848,0.7961707219784603,0.65,0.7644595133625849,0.7961707219784604,0.65,0.5289190267251695,0.5923414439569206,0.65,0.67,0.8716367713004485,0.7052631578947368,0.6202632628639808,0.9086557638611886,0.7247727802377069,0.7941432804601708,0.7594580303489389,0.7644595133625848,0.783072817384674,0.8105395232120451,0.819305943358596,0.7730355005983247,0.8007797270955166,0.7913434054716211,0.7960615662835688,0.7961707219784603,0.772810553316233,0.82582056892779,0.8412445153570004,0.7526924611088951,0.8055767761650114,0.7875626043405676,0.7965696902527895,0.7969684882329477,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
(a) Monolingual and Mono-Domain,IT_quake,earthquake,it,760,760,earthquake,it,698,698,XLM-R,1.0,1.0,1.0,0.8157332452114514,0.5887096774193549,1.0,0.9500000000000001,0.9412607449856734,1.0,0.0,0.7243660418963617,0.7408431237042158,0.6000000000000001,0.7211405529953917,0.7543977369274735,0.7000000000000001,0.6418338108882522,0.748567335243553,0.65,0.6065592990667902,0.7476317102829586,0.65,0.6418338108882522,0.748567335243553,0.65,0.6418338108882522,0.748567335243553,0.65,0.6418338108882522,0.748567335243553,0.65,0.2836676217765043,0.497134670487106,0.65,0.65,0.8535714285714285,0.5887096774193549,0.3424068767908309,0.9412607449856734,0.48875255623721875,0.7243660418963617,0.6065592990667902,0.6418338108882522,0.7215836526181354,0.7830342577487766,0.8094555873925502,0.6876790830945558,0.7629979743416611,0.7322654462242563,0.7476317102829586,0.748567335243553,0.7215836526181354,0.7830342577487766,0.8094555873925502,0.6876790830945558,0.7629979743416611,0.7322654462242563,0.7476317102829586,0.748567335243553,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
(b) Monolingual and Cross-Domain,EN_expl,earthquake_flood,en,25831,25831,explosion,en,4415,4641,XLM-R,1.0,1.0,1.0,0.977257337293311,0.9703412073490814,0.9962264150943396,0.9,0.8373725934314836,1.0,0.0,0.898966565349544,0.928402832415421,0.35000000000000003,0.9167375117950134,0.9306338558267442,0.4,0.9065121963063473,0.9298008078569,0.35000000000000003,0.907458401517697,0.9297577139742701,0.4,0.9082376325088339,0.9298807420494699,0.4,0.9082376325088339,0.9298807420494699,0.4,0.9082376325088339,0.9298807420494699,0.4,0.8157461321685564,0.8595555862956403,0.4,0.37,0.8631338162409454,0.9703412073490814,0.9756517991812109,0.8373725934314836,0.91595023768585,0.898966565349544,0.907458401517697,0.9082376325088339,0.917813934084272,0.9434537775692163,0.9480715363068304,0.9107587768969423,0.9326974032856384,0.9268180246629019,0.9297577139742701,0.9298807420494699,0.9332324978392394,0.9272809394760614,0.9306184012066365,0.9300113250283125,0.931923616355594,0.9286441252968449,0.9302838708262194,0.9303224381625441,0.5124779151943463,0.0,1.0,0.0,0.6776666423304374,0.0,0.3388333211652187,0.5124779151943463
(b) Monolingual and Cross-Domain,EN_flood,explosion_earthquake,en,17209,17209,flood,en,8272,8272,XLM-R,1.0,1.0,1.0,0.9395829367978106,0.9010202729561415,1.0,1.0,0.8220502901353965,1.0,0.0,0.8597256463746128,0.8705386698766175,0.45,0.8687050903515842,0.8700103344088665,0.45,0.8658728239845261,0.8699830754352031,0.45,0.8656147486027908,0.8699806807769538,0.45,0.8658728239845261,0.8699830754352031,0.45,0.8658728239845261,0.8699830754352031,0.45,0.8658728239845261,0.869983075435203,0.45,0.7317456479690523,0.7399661508704062,0.45,0.45,0.8363899077470268,0.9010202729561415,0.9096953578336557,0.8220502901353965,0.8715038508309688,0.8597256463746128,0.8656147486027908,0.8658728239845261,0.8731861968052677,0.8668344720124656,0.8656914893617021,0.874274661508704,0.86942269167729,0.8705386698766175,0.8699806807769538,0.8699830754352031,0.8731861968052677,0.8668344720124656,0.8656914893617021,0.874274661508704,0.86942269167729,0.8705386698766175,0.8699806807769538,0.8699830754352031,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
(b) Monolingual and Cross-Domain,EN_quake,explosion_flood,en,17860,17860,earthquake,en,8611,8611,XLM-R,0.9999999999999999,1.0,1.0,0.9460468963700962,0.8271914850888643,0.9836734693877551,1.0,0.956683312042736,1.0,0.0,0.887237479806139,0.8891701518820163,0.55,0.8879176480931035,0.8879176480931035,0.5,0.8784113343397979,0.8832307513645338,0.6000000000000001,0.8776618292315312,0.8831388340543864,0.6000000000000001,0.8784113343397979,0.8832307513645338,0.6000000000000001,0.8784113343397979,0.8832307513645338,0.6000000000000001,0.8784113343397978,0.8832307513645338,0.6000000000000001,0.7568226686795958,0.7664615027290674,0.6000000000000001,0.6,0.9486438110973427,0.8271914850888643,0.8001393566368599,0.956683312042736,0.8680861786569234,0.887237479806139,0.8776618292315312,0.8784113343397979,0.906003937007874,0.8628766219485375,0.8551852281964929,0.9112762745325746,0.8798614015174143,0.8864162665913584,0.8831388340543864,0.8832307513645338,0.9112271540469974,0.8603333696481098,0.8511206596214145,0.9170828010684009,0.8801489131740122,0.8878021360314784,0.8839755246027453,0.8841017303449077,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
(b) Monolingual and Cross-Domain,ES_expl,earthquake,es,2091,2091,explosion,es,747,747,XLM-R,1.0,1.0,1.0,0.8674788399470259,0.8191176470588235,1.0,0.8500000000000001,0.7456492637215528,1.0,0.0,0.7806587245970568,0.7987138263665595,0.45,0.792851206821795,0.792851206821795,0.5,0.7904953145917001,0.7904953145917002,0.45,0.7900731163023721,0.7901454686612979,0.45,0.7904953145917001,0.7904953145917001,0.45,0.7904953145917001,0.7904953145917001,0.45,0.7904953145917001,0.7904953145917001,0.45,0.5809906291834003,0.5809906291834003,0.45,0.48,0.7665847665847666,0.8191176470588235,0.8353413654618473,0.7456492637215528,0.7994875080076874,0.7806587245970568,0.7900731163023721,0.7904953145917001,0.8163265306122449,0.7685643564356436,0.749665327978581,0.8313253012048193,0.7815771109560362,0.7987138263665595,0.7901454686612979,0.7904953145917001,0.7916120576671035,0.8043775649794802,0.8085676037483266,0.7871485943775101,0.7999999999999999,0.7956698240866036,0.7978349120433017,0.7978580990629184,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
(b) Monolingual and Cross-Domain,ES_quake,explosion,es,75,75,earthquake,es,2507,2507,XLM-R,1.0,1.0,1.0,0.8321769647301079,0.6692937253713247,1.0,0.8500000000000001,0.8807339449541285,1.0,0.0,0.760592490527041,0.760592490527041,0.5,0.7474748510238547,0.7528691385741084,0.45,0.7227762265656164,0.7516952532907859,0.55,0.7156823182147285,0.7516169944821947,0.55,0.7227762265656162,0.7516952532907858,0.55,0.7227762265656162,0.7516952532907858,0.55,0.7227762265656162,0.7516952532907858,0.55,0.4455524531312326,0.5033905065815716,0.55,0.56,0.8256559766763848,0.6692937253713247,0.5648185081771041,0.8807339449541285,0.670772145902416,0.760592490527041,0.7156823182147285,0.7227762265656162,0.76095947063689,0.7430662557781201,0.7339449541284404,0.7694455524531313,0.747208121827411,0.7560258671369783,0.7516169944821947,0.7516952532907858,0.7499026100506427,0.7621577441765427,0.7678500199441564,0.7439170323095333,0.7587702010248324,0.7529269277351635,0.7558485643799979,0.7558835261268448,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
(b) Monolingual and Cross-Domain,IT_flood,earthquake,it,1057,1057,flood,it,1759,1759,XLM-R,1.0,1.0,1.0,0.9213637264182806,0.7002518891687658,1.0,0.8500000000000001,0.9482660602615123,1.0,0.0,0.8056025114706594,0.8446802239905689,0.6000000000000001,0.8100731276829745,0.8519764453349341,0.6000000000000001,0.7711768050028425,0.8501989766913018,0.6000000000000001,0.7637684405367113,0.8500096151520233,0.6000000000000001,0.7711768050028425,0.8501989766913018,0.6000000000000001,0.7711768050028425,0.8501989766913018,0.6000000000000001,0.7711768050028425,0.8501989766913018,0.6000000000000001,0.542353610005685,0.7003979533826037,0.6000000000000001,0.61,0.9198943661971831,0.7002518891687658,0.5940875497441728,0.9482660602615123,0.7219343696027634,0.8056025114706594,0.7637684405367113,0.7711768050028425,0.826963906581741,0.8769889840881273,0.885730528709494,0.8146674246731097,0.8553390063134779,0.8446802239905689,0.8500096151520233,0.8501989766913018,0.826963906581741,0.8769889840881273,0.885730528709494,0.8146674246731097,0.8553390063134779,0.8446802239905689,0.8500096151520233,0.8501989766913018,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
