scenario,experiment,hazard_train,lang_train,train_1,train_0,hazard_test,lang_test,test_1,test_0,features,train_auc,train_f1,train_f1_macro,test_auc,test_prec,test_top_prec,test_th_prec,test_rec,test_top_rec,test_th_rec,test_f1,test_top_f1,test_th_top_f1,test_prec_macro,test_top_prec_macro,test_th_prec_macro,test_rec_macro,test_top_rec_macro,test_th_rec_macro,test_f1_macro,test_top_f1_macro,test_th_top_f1_macro,test_prec_micro,test_top_prec_micro,test_th_prec_micro,test_rec_micro,test_top_rec_micro,test_th_rec_micro,test_f1_micro,test_top_f1_micro,test_th_top_f1_micro,test_kappa,test_top_kappa,test_th_kappa,test_youden,prec_0,prec_1,rec_0,rec_1,f1_0,f1_1,f1_macro,accuracy,prec_kappa_0,prec_kappa_1,rec_kappa_0,rec_kappa_1,f1_kappa_0,f1_kappa_1,f1_kappa_macro,accuracy_kappa,prec_youden_0,prec_youden_1,rec_youden_0,rec_youden_1,f1_youden_0,f1_youden_1,f1_youden_macro,accuracy_youden,prec_dummy_0,prec_dummy_1,rec_dummy_0,rec_dummy_1,f1_dummy_0,f1_dummy_1,f1_dummy_macro,accuracy_dummy
(a) Monolingual and Mono-Domain,EN_flood,flood,en,5173,5173,flood,en,8272,8272,XLM-T,1.0,1.0,1.0,0.9598449252845235,0.9255625327053898,1.0,1.0,0.8552949709864603,1.0,0.0,0.8890424729831615,0.9064799011241245,0.4,0.8955340753414589,0.9051361226098341,0.4,0.8932543520309477,0.9039530947775629,0.4,0.8931003187184617,0.9038829275142894,0.4,0.8932543520309478,0.9039530947775629,0.4,0.8932543520309478,0.9039530947775629,0.4,0.8932543520309479,0.9039530947775629,0.4,0.7865087040618955,0.8079061895551257,0.4,0.42,0.8655056179775281,0.9255625327053898,0.9312137330754352,0.8552949709864603,0.897158164453762,0.8890424729831615,0.8931003187184617,0.8932543520309478,0.9270287539936102,0.883243491226058,0.8769342359767892,0.9309719535783365,0.9012859539044543,0.9064799011241245,0.9038829275142894,0.9039530947775629,0.9165836653386454,0.8930921052631579,0.8899903288201161,0.9190038684719536,0.903091265947007,0.9058627264061011,0.904476996176554,0.9044970986460348,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
(a) Monolingual and Mono-Domain,EN_quake,earthquake,en,5607,5607,earthquake,en,8611,8611,XLM-T,1.0,1.0,1.0,0.9086135461712455,0.8724476266242376,1.0,0.9500000000000001,0.764138892114737,1.0,0.0,0.81470934191791,0.8395119116792563,0.45,0.8313167885187304,0.8396243966403025,0.45,0.8262106607827198,0.8396237370804784,0.45,0.8255384772024628,0.8396236592166735,0.45,0.8262106607827198,0.8396237370804784,0.45,0.8262106607827198,0.8396237370804784,0.45,0.8262106607827198,0.8396237370804784,0.45,0.6524213215654395,0.6792474741609569,0.45,0.45,0.7901859504132231,0.8724476266242376,0.8882824294507026,0.764138892114737,0.8363676124870154,0.81470934191791,0.8255384772024628,0.8262106607827198,0.8391511075031891,0.840097685777416,0.8403205202647777,0.8389269538961793,0.8397354067540908,0.8395119116792563,0.8396236592166735,0.8396237370804784,0.8391511075031891,0.840097685777416,0.8403205202647777,0.8389269538961793,0.8397354067540908,0.8395119116792563,0.8396236592166735,0.8396237370804784,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
(a) Monolingual and Mono-Domain,ES_quake,earthquake,es,1411,1411,earthquake,es,2507,2507,XLM-T,1.0,1.0,1.0,0.8949985911008809,0.7392312789927104,1.0,1.0,0.8899082568807339,1.0,0.0,0.8076018099547511,0.8132905418161224,0.55,0.8004773629432489,0.8160771388501541,0.65,0.787993617869964,0.8145193458316713,0.65,0.7857684821481505,0.8142905275432688,0.65,0.7879936178699641,0.8145193458316713,0.65,0.7879936178699641,0.8145193458316713,0.65,0.7879936178699641,0.8145193458316713,0.65,0.5759872357399283,0.6290386916633426,0.65,0.64,0.8617234468937875,0.7392312789927104,0.6860789788591942,0.8899082568807339,0.76393515434155,0.8076018099547511,0.7857684821481505,0.7879936178699641,0.79388743943347,0.8382668382668382,0.8496210610291185,0.7794176306342242,0.8208092485549132,0.8077718065316245,0.8142905275432688,0.8145193458316713,0.8011385199240987,0.8335435056746532,0.8420422816114879,0.7909852413242919,0.8210812913263323,0.8117069177241097,0.816394104525221,0.8165137614678899,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
(a) Monolingual and Mono-Domain,IT_quake,earthquake,it,760,760,earthquake,it,698,698,XLM-T,1.0,1.0,1.0,0.7681125360218717,0.5651018600531443,1.0,0.9500000000000001,0.9140401146131805,1.0,0.0,0.6984126984126983,0.7148014440433214,0.55,0.6701913794647745,0.7503586800573888,0.9500000000000001,0.6053008595988538,0.7005730659025788,0.65,0.5637141212270745,0.7003953462103241,0.65,0.6053008595988538,0.7005730659025788,0.65,0.6053008595988538,0.7005730659025788,0.65,0.6053008595988538,0.7005730659025788,0.65,0.21060171919770776,0.40114613180515757,0.65,0.69,0.7752808988764045,0.5651018600531443,0.29656160458452724,0.9140401146131805,0.42901554404145076,0.6984126984126983,0.5637141212270745,0.6053008595988538,0.6912568306010929,0.7108433734939759,0.7249283667621776,0.6762177650429799,0.7076923076923076,0.6930983847283406,0.7003953462103241,0.7005730659025788,0.6694117647058824,0.7637362637362637,0.8151862464183381,0.5974212034383954,0.7351421188630491,0.6704180064308681,0.7027800626469587,0.7063037249283668,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
(b) Monolingual and Cross-Domain,EN_expl,earthquake_flood,en,25831,25831,explosion,en,4415,4641,XLM-T,1.0,1.0,1.0,0.9824905935891213,0.9735829699923058,0.9963403476669717,0.9,0.8597961494903738,1.0,0.0,0.9131585277844599,0.9351153758281928,0.4,0.9267759721010589,0.9375205910100536,0.4,0.9188013283543228,0.937030499977672,0.4,0.9197350099628567,0.9372093228788325,0.4,0.920273851590106,0.9372791519434629,0.4,0.920273851590106,0.9372791519434629,0.4,0.920273851590106,0.9372791519434629,0.4,0.8399930069474861,0.8744274996073271,0.4,0.4,0.8799689742098119,0.9735829699923058,0.9778065072182719,0.8597961494903738,0.9263114921412534,0.9131585277844599,0.9197350099628567,0.920273851590106,0.9317362730549078,0.9433049089651994,0.9469941822882999,0.9270668176670441,0.9393032699294722,0.9351153758281928,0.9372093228788325,0.9372791519434629,0.9317362730549078,0.9433049089651994,0.9469941822882999,0.9270668176670441,0.9393032699294722,0.9351153758281928,0.9372093228788325,0.9372791519434629,0.5124779151943463,0.0,1.0,0.0,0.6776666423304374,0.0,0.3388333211652187,0.5124779151943463
(b) Monolingual and Cross-Domain,EN_flood,explosion_earthquake,en,17209,17209,flood,en,8272,8272,XLM-T,0.9999999999999999,1.0,1.0,0.9473182585141925,0.9078551823291073,1.0,1.0,0.8397001934235977,1.0,0.0,0.8724486591722665,0.8812658533639328,0.45,0.8793745719359469,0.8811664689926553,0.45,0.8772364603481625,0.8811653771760155,0.45,0.8770632459857837,0.8811652920782157,0.45,0.8772364603481625,0.8811653771760155,0.45,0.8772364603481625,0.8811653771760155,0.45,0.8772364603481625,0.8811653771760155,0.45,0.754472920696325,0.762330754352031,0.45,0.45,0.8508939615427865,0.9078551823291073,0.9147727272727273,0.8397001934235977,0.8816778327993009,0.8724486591722665,0.8770632459857837,0.8772364603481625,0.8818115766529426,0.8805213613323678,0.8803191489361702,0.8820116054158608,0.8810647307924986,0.8812658533639328,0.8811652920782157,0.8811653771760155,0.8818115766529426,0.8805213613323678,0.8803191489361702,0.8820116054158608,0.8810647307924986,0.8812658533639328,0.8811652920782157,0.8811653771760155,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
(b) Monolingual and Cross-Domain,EN_quake,explosion_flood,en,17860,17860,earthquake,en,8611,8611,XLM-T,1.0,1.0,1.0,0.9481801391006669,0.8374504422079903,0.9879032258064516,1.0,0.956683312042736,1.0,0.0,0.8931049436253252,0.8948644478730438,0.55,0.8934713280775903,0.894289211560261,0.45,0.8854952967135059,0.8892114736964347,0.55,0.8849120617101369,0.8888902504460948,0.55,0.885495296713506,0.8892114736964348,0.55,0.885495296713506,0.8892114736964348,0.55,0.885495296713506,0.8892114736964348,0.55,0.7709905934270119,0.7784229473928695,0.55,0.57,0.9494922139471903,0.8374504422079903,0.8143072813842759,0.956683312042736,0.8767191797949487,0.8931049436253252,0.8849120617101369,0.885495296713506,0.9361093038386468,0.85142078221663,0.8354430379746836,0.942979909418186,0.8829160530191459,0.8948644478730438,0.8888902504460948,0.8892114736964348,0.9282797345584481,0.857553803537183,0.8447334804320056,0.9347346417373127,0.8845382136559858,0.8944824137356227,0.8895103136958042,0.8897340610846591,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
(b) Monolingual and Cross-Domain,ES_expl,earthquake,es,2091,2091,explosion,es,747,747,XLM-T,1.0,1.0,1.0,0.8631043585318516,0.8199121522693997,1.0,0.8500000000000001,0.749665327978581,1.0,0.0,0.7832167832167832,0.7984293193717278,0.45,0.7946663104133682,0.7946663104133682,0.5,0.7925033467202142,0.7938420348058903,0.45,0.7921218704273904,0.7937352076310693,0.45,0.7925033467202142,0.7938420348058902,0.45,0.7925033467202142,0.7938420348058902,0.45,0.792503346720214,0.7938420348058902,0.45,0.5850066934404283,0.5876840696117804,0.45,0.45,0.7694204685573366,0.8199121522693997,0.8353413654618473,0.749665327978581,0.8010269576379975,0.7832167832167832,0.7921218704273904,0.7925033467202142,0.8078541374474053,0.7810499359795134,0.7710843373493976,0.8165997322623829,0.7890410958904109,0.7984293193717278,0.7937352076310693,0.7938420348058902,0.8078541374474053,0.7810499359795134,0.7710843373493976,0.8165997322623829,0.7890410958904109,0.7984293193717278,0.7937352076310693,0.7938420348058902,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
(b) Monolingual and Cross-Domain,ES_quake,explosion,es,75,75,earthquake,es,2507,2507,XLM-T,1.0,1.0,1.0,0.8828655910240318,0.7092349893325206,1.0,0.8500000000000001,0.9282010370961309,1.0,0.0,0.8040774015203871,0.825255840895926,0.55,0.8026844306154812,0.8208954102895831,0.55,0.7738332668528122,0.8195053849222178,0.55,0.768312285665854,0.8193097105077691,0.55,0.7738332668528122,0.8195053849222178,0.55,0.7738332668528122,0.8195053849222178,0.55,0.7738332668528122,0.8195053849222178,0.55,0.5476665337056242,0.6390107698444356,0.55,0.56,0.896133871898442,0.7092349893325206,0.6194654966094935,0.9282010370961309,0.7325471698113208,0.8040774015203871,0.768312285665854,0.7738332668528122,0.8420153714773698,0.7997754491017964,0.786597526924611,0.8524132429198245,0.8133635801196124,0.825255840895926,0.8193097105077691,0.8195053849222178,0.825487012987013,0.8145098039215686,0.8113282808137215,0.8284802552852014,0.8183464091732046,0.8214356337749654,0.819891021474085,0.8199042680494615,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
(b) Monolingual and Cross-Domain,IT_flood,earthquake,it,1057,1057,flood,it,1759,1759,XLM-T,1.0,1.0,1.0,0.9106291981367004,0.712678494158373,1.0,0.9500000000000001,0.9363274587833996,1.0,0.0,0.8093366093366093,0.8327850877192983,0.55,0.8099432238811749,0.8354160166020317,0.6000000000000001,0.7794201250710631,0.8283115406480955,0.6000000000000001,0.7738523909798353,0.8273975638277582,0.6000000000000001,0.7794201250710631,0.8283115406480955,0.6000000000000001,0.7794201250710631,0.8283115406480955,0.6000000000000001,0.7794201250710631,0.8283115406480955,0.6000000000000001,0.5588402501421261,0.6566230812961911,0.6000000000000001,0.58,0.9072079536039768,0.712678494158373,0.6225127913587265,0.9363274587833996,0.7383681726230612,0.8093366093366093,0.7738523909798353,0.7794201250710631,0.7866004962779156,0.8842315369261478,0.9010801591813531,0.755542922114838,0.839957604663487,0.8148375229920295,0.8273975638277582,0.8283115406480955,0.8255622600109709,0.8501474926253687,0.8555997725980671,0.8192154633314384,0.8403126744835286,0.8343949044585988,0.8373537894710636,0.8374076179647527,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
