scenario,experiment,hazard_train,lang_train,train_1,train_0,hazard_test,lang_test,test_1,test_0,features,train_auc,train_f1,train_f1_macro,test_auc,test_prec,test_top_prec,test_th_prec,test_rec,test_top_rec,test_th_rec,test_f1,test_top_f1,test_th_top_f1,test_prec_macro,test_top_prec_macro,test_th_prec_macro,test_rec_macro,test_top_rec_macro,test_th_rec_macro,test_f1_macro,test_top_f1_macro,test_th_top_f1_macro,test_prec_micro,test_top_prec_micro,test_th_prec_micro,test_rec_micro,test_top_rec_micro,test_th_rec_micro,test_f1_micro,test_top_f1_micro,test_th_top_f1_micro,test_kappa,test_top_kappa,test_th_kappa,test_youden,prec_0,prec_1,rec_0,rec_1,f1_0,f1_1,f1_macro,accuracy,prec_kappa_0,prec_kappa_1,rec_kappa_0,rec_kappa_1,f1_kappa_0,f1_kappa_1,f1_kappa_macro,accuracy_kappa,prec_youden_0,prec_youden_1,rec_youden_0,rec_youden_1,f1_youden_0,f1_youden_1,f1_youden_macro,accuracy_youden,prec_dummy_0,prec_dummy_1,rec_dummy_0,rec_dummy_1,f1_dummy_0,f1_dummy_1,f1_dummy_macro,accuracy_dummy
(a) Monolingual and Mono-Domain,EN_flood,flood,en,5173,5173,flood,en,8272,8272,BERT,1.0,1.0,1.0,0.9291948216630689,0.8889185224696626,1.0,1.0,0.8058510638297872,1.0,0.0,0.8453490583983261,0.8593344483534229,0.4,0.855680930665456,0.8576527444584838,0.45,0.8525749516441006,0.8576523210831721,0.45,0.8522524006549579,0.8576522789567579,0.45,0.8525749516441006,0.8576523210831721,0.45,0.8525749516441006,0.8576523210831721,0.45,0.8525749516441006,0.8576523210831721,0.45,0.7051499032882012,0.7153046421663443,0.45,0.44,0.8224433388612493,0.8889185224696626,0.8992988394584139,0.8058510638297872,0.8591557429115897,0.8453490583983261,0.8522524006549579,0.8525749516441006,0.8580418734115939,0.8572636155053738,0.8571083172147002,0.8581963249516441,0.8575748412458422,0.8577297166676736,0.8576522789567579,0.8576523210831721,0.8656053313587561,0.8509655254116811,0.8479206963249516,0.8683510638297872,0.8566717557251908,0.8595703943038353,0.8581210750145131,0.8581358800773694,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
(a) Monolingual and Mono-Domain,EN_quake,earthquake,en,5607,5607,earthquake,en,8611,8611,BERT,1.0,1.0,1.0,0.8954357248935563,0.8747297297297297,1.0,0.9500000000000001,0.7517129253280688,1.0,0.0,0.8085691087377428,0.8325370003496095,0.45,0.8285275608534619,0.8331366013690797,0.45,0.8220299616769249,0.8331204273603531,0.45,0.8211456187642493,0.8331184018065604,0.45,0.8220299616769249,0.8331204273603531,0.45,0.8220299616769249,0.8331204273603531,0.45,0.8220299616769249,0.833120427360353,0.45,0.6440599233538498,0.6662408547207062,0.45,0.45,0.7823253919771941,0.8747297297297297,0.892346998025781,0.7517129253280688,0.8337221287907558,0.8085691087377428,0.8211456187642493,0.8220299616769249,0.8308153615499942,0.8354578411881651,0.8366043432818489,0.8296365114388573,0.8336998032635112,0.8325370003496095,0.8331184018065604,0.8331204273603531,0.8308153615499942,0.8354578411881651,0.8366043432818489,0.8296365114388573,0.8336998032635112,0.8325370003496095,0.8331184018065604,0.8331204273603531,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
(a) Monolingual and Mono-Domain,ES_quake,earthquake,es,1411,1411,earthquake,es,2507,2507,BERT,1.0,1.0,1.0,0.8884416812024855,0.7280130293159609,1.0,1.0,0.8915037893897089,1.0,0.0,0.8015061861215707,0.8042448360811068,0.55,0.794047666921355,0.8103347721168206,0.7000000000000001,0.7792181890706024,0.8035500598324691,0.6000000000000001,0.776399015325445,0.803498777634035,0.6000000000000001,0.7792181890706024,0.8035500598324691,0.6000000000000001,0.7792181890706024,0.8035500598324691,0.6000000000000001,0.7792181890706024,0.8035500598324691,0.6000000000000001,0.5584363781412046,0.6071001196649382,0.6000000000000001,0.6,0.8600823045267489,0.7280130293159609,0.6669325887514959,0.8915037893897089,0.7512918445293193,0.8015061861215707,0.776399015325445,0.7792181890706024,0.7940494590417311,0.8136850783182193,0.8197048264858396,0.7873952931790985,0.8066732090284593,0.8003243462396108,0.803498777634035,0.8035500598324691,0.8011049723756906,0.8076612903225806,0.8097327483047467,0.7989629038691664,0.8053957548105535,0.8032885502305995,0.8043421525205765,0.8043478260869565,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
(a) Monolingual and Mono-Domain,IT_quake,earthquake,it,760,760,earthquake,it,698,698,BERT,1.0,1.0,1.0,0.7941396211853761,0.5584745762711865,1.0,0.8500000000000001,0.9441260744985673,1.0,0.0,0.7018104366347178,0.7308503162333099,0.6000000000000001,0.6889595103578154,0.756052824651504,0.8500000000000001,0.5988538681948424,0.7256446991404011,0.6000000000000001,0.5445594852757834,0.725542031747042,0.6000000000000001,0.5988538681948424,0.7256446991404012,0.6000000000000001,0.5988538681948424,0.7256446991404012,0.6000000000000001,0.5988538681948424,0.7256446991404012,0.6000000000000001,0.19770773638968486,0.4512893982808023,0.6000000000000001,0.62,0.8194444444444444,0.5584745762711865,0.25358166189111747,0.9441260744985673,0.387308533916849,0.7018104366347178,0.5445594852757834,0.5988538681948424,0.7347242921013413,0.7172413793103448,0.7063037249283668,0.7449856733524355,0.7202337472607743,0.7308503162333099,0.725542031747042,0.7256446991404012,0.7274011299435028,0.7340116279069767,0.7378223495702005,0.7234957020057307,0.732574679943101,0.7287157287157287,0.7306452043294148,0.7306590257879656,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
(b) Monolingual and Cross-Domain,EN_expl,earthquake_flood,en,25831,25831,explosion,en,4415,4641,BERT,1.0,1.0,1.0,0.9618391201763395,0.9576271186440678,1.0,0.9500000000000001,0.793431483578709,1.0,0.0,0.8678310417440853,0.8982760589108345,0.4,0.894337827569533,0.9030597943825777,0.45,0.8800167545021319,0.9013550990567845,0.4,0.8807727775709171,0.9015062535546368,0.4,0.8821775618374559,0.9016121908127208,0.4,0.8821775618374559,0.9016121908127208,0.4,0.882177561837456,0.9016121908127208,0.4,0.7632197722911161,0.803024627682698,0.4,0.4,0.8310485364949981,0.9576271186440678,0.9666020254255548,0.793431483578709,0.8937145133977488,0.8678310417440853,0.8807727775709171,0.8821775618374559,0.8979202037351444,0.9056169429097606,0.9116569704804999,0.891053227633069,0.904736448198439,0.8982760589108345,0.9015062535546368,0.9016121908127208,0.8979202037351444,0.9056169429097606,0.9116569704804999,0.891053227633069,0.904736448198439,0.8982760589108345,0.9015062535546368,0.9016121908127208,0.5124779151943463,0.0,1.0,0.0,0.6776666423304374,0.0,0.3388333211652187,0.5124779151943463
(b) Monolingual and Cross-Domain,EN_flood,explosion_earthquake,en,17209,17209,flood,en,8272,8272,BERT,1.0,1.0,1.0,0.9239327563049732,0.8778227385458818,1.0,1.0,0.8129835589941973,1.0,0.0,0.8441599196635914,0.8469234917021149,0.45,0.851834931132673,0.851834931132673,0.5,0.8499153771760155,0.8499153771760155,0.5,0.8497103882783127,0.8497103882783127,0.5,0.8499153771760155,0.8499153771760155,0.5,0.8499153771760155,0.8499153771760155,0.5,0.8499153771760156,0.8499153771760156,0.5,0.699830754352031,0.699830754352031,0.5,0.5,0.8258471237194641,0.8778227385458818,0.8868471953578336,0.8129835589941973,0.855260856893034,0.8441599196635914,0.8497103882783127,0.8499153771760155,0.8258471237194641,0.8778227385458818,0.8868471953578336,0.8129835589941973,0.855260856893034,0.8441599196635914,0.8497103882783127,0.8499153771760155,0.8258471237194641,0.8778227385458818,0.8868471953578336,0.8129835589941973,0.855260856893034,0.8441599196635914,0.8497103882783127,0.8499153771760155,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
(b) Monolingual and Cross-Domain,EN_quake,explosion_flood,en,17860,17860,earthquake,en,8611,8611,BERT,1.0,0.9999720036955122,0.9999720044792614,0.9411849840135421,0.8179804691432598,0.9827586206896551,1.0,0.9435605620717686,1.0,0.0,0.8762942191544434,0.8786286978158696,0.55,0.8756523281372768,0.876326634348235,0.55,0.8667982812681454,0.8747532226222274,0.6000000000000001,0.8660087447973475,0.8747278701999468,0.6000000000000001,0.8667982812681454,0.8747532226222274,0.6000000000000001,0.8667982812681454,0.8747532226222274,0.6000000000000001,0.8667982812681454,0.8747532226222274,0.6000000000000001,0.7335965625362908,0.7495064452444548,0.6000000000000001,0.59,0.9333241871312937,0.8179804691432598,0.7900360004645222,0.9435605620717686,0.8557232704402516,0.8762942191544434,0.8660087447973475,0.8667982812681454,0.8857279464499164,0.8643857271906052,0.8605272326094531,0.8889792126350018,0.8729457501325323,0.8765099902673614,0.8747278701999468,0.8747532226222274,0.897004664866192,0.8563243719700309,0.848565787945651,0.9025664847288352,0.8721131467446441,0.878837564312772,0.875475355528708,0.875566136337243,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
(b) Monolingual and Cross-Domain,ES_expl,earthquake,es,2091,2091,explosion,es,747,747,BERT,1.0,1.0,1.0,0.8527586472619617,0.8155487804878049,1.0,0.8500000000000001,0.7161981258366801,1.0,0.0,0.7626514611546686,0.7725490196078431,0.45,0.7812827434658595,0.7909829758584207,0.6000000000000001,0.7771084337349398,0.7771084337349398,0.5,0.776278411965347,0.776278411965347,0.5,0.7771084337349398,0.7771084337349398,0.5,0.7771084337349398,0.7771084337349398,0.5,0.7771084337349399,0.7771084337349399,0.5,0.5542168674698795,0.5542168674698795,0.5,0.47,0.747016706443914,0.8155487804878049,0.8380187416331994,0.7161981258366801,0.7899053627760252,0.7626514611546686,0.776278411965347,0.7771084337349398,0.747016706443914,0.8155487804878049,0.8380187416331994,0.7161981258366801,0.7899053627760252,0.7626514611546686,0.776278411965347,0.7771084337349398,0.7741514360313316,0.7884615384615384,0.7938420348058902,0.7684069611780455,0.7838730998017185,0.7783050847457627,0.7810890922737406,0.7811244979919679,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
(b) Monolingual and Cross-Domain,ES_quake,explosion,es,75,75,earthquake,es,2507,2507,BERT,1.0,1.0,1.0,0.8832082295619333,0.716289448517692,1.0,0.8,0.8962903869166334,1.0,0.0,0.796243798724309,0.8081091930951425,0.55,0.7888852676791976,0.8116737068089757,0.6000000000000001,0.7706422018348624,0.809333865177503,0.55,0.766963140238067,0.8093260987275157,0.55,0.7706422018348624,0.8093338651775029,0.55,0.7706422018348624,0.8093338651775029,0.55,0.7706422018348624,0.8093338651775029,0.55,0.5412844036697247,0.618667730355006,0.55,0.57,0.8614810868407032,0.716289448517692,0.6449940167530913,0.8962903869166334,0.7376824817518249,0.796243798724309,0.766963140238067,0.7706422018348624,0.805435210712879,0.8133333333333334,0.8157159952134024,0.8029517351416036,0.810543004359889,0.8081091930951425,0.8093260987275157,0.8093338651775029,0.7776591960156528,0.8542896050839764,0.8719585161547666,0.7506980454726765,0.8221135765325309,0.7991507430997877,0.8106321598161593,0.8113282808137215,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
(b) Monolingual and Cross-Domain,IT_flood,earthquake,it,1057,1057,flood,it,1759,1759,BERT,1.0,1.0,1.0,0.8450360543243697,0.6617963042544048,1.0,0.8500000000000001,0.8754974417282547,1.0,0.0,0.7537934410181106,0.7719003638399105,0.55,0.7389586055277062,0.7891333646929488,0.6000000000000001,0.7140420693575895,0.7683342808413871,0.55,0.7063882459327842,0.7682776436583324,0.55,0.7140420693575895,0.7683342808413871,0.55,0.7140420693575895,0.7683342808413871,0.55,0.7140420693575895,0.7683342808413872,0.55,0.42808413871517903,0.5366685616827743,0.55,0.59,0.8161209068010076,0.6617963042544048,0.5525866969869244,0.8754974417282547,0.6589830508474576,0.7537934410181106,0.7063882459327842,0.7140420693575895,0.7769953051643192,0.7601984564498346,0.7527003979533826,0.7839681637293917,0.7646549234767543,0.7719003638399105,0.7682776436583324,0.7683342808413871,0.7348411934552455,0.8388888888888889,0.8681068789084707,0.686753837407618,0.7959343236903831,0.7552360112535168,0.7755851674719499,0.7774303581580443,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
