scenario,experiment,hazard_train,lang_train,train_1,train_0,hazard_test,lang_test,test_1,test_0,features,train_auc,train_f1,train_f1_macro,test_auc,test_prec,test_top_prec,test_th_prec,test_rec,test_top_rec,test_th_rec,test_f1,test_top_f1,test_th_top_f1,test_prec_macro,test_top_prec_macro,test_th_prec_macro,test_rec_macro,test_top_rec_macro,test_th_rec_macro,test_f1_macro,test_top_f1_macro,test_th_top_f1_macro,test_prec_micro,test_top_prec_micro,test_th_prec_micro,test_rec_micro,test_top_rec_micro,test_th_rec_micro,test_f1_micro,test_top_f1_micro,test_th_top_f1_micro,test_kappa,test_top_kappa,test_th_kappa,test_youden,prec_0,prec_1,rec_0,rec_1,f1_0,f1_1,f1_macro,accuracy,prec_kappa_0,prec_kappa_1,rec_kappa_0,rec_kappa_1,f1_kappa_0,f1_kappa_1,f1_kappa_macro,accuracy_kappa,prec_youden_0,prec_youden_1,rec_youden_0,rec_youden_1,f1_youden_0,f1_youden_1,f1_youden_macro,accuracy_youden,prec_dummy_0,prec_dummy_1,rec_dummy_0,rec_dummy_1,f1_dummy_0,f1_dummy_1,f1_dummy_macro,accuracy_dummy
(a) Monolingual and Mono-Domain,EN_flood,flood,en,5173,5173,flood,en,8272,8272,LF,1.0,1.0,1.0,0.9019215200471211,0.7899763897832153,0.9710144927536232,1.0,0.8898694390715667,1.0,0.0,0.8369528140989199,0.8369528140989199,0.5,0.8319519369342314,0.8330703496140823,0.4,0.8266441005802707,0.8288201160541586,0.55,0.8259483389116358,0.8286389003842562,0.55,0.8266441005802708,0.8288201160541586,0.55,0.8266441005802708,0.8288201160541586,0.55,0.8266441005802708,0.8288201160541586,0.55,0.6532882011605416,0.6576402321083172,0.55,0.56,0.8739274840852477,0.7899763897832153,0.7634187620889749,0.8898694390715667,0.8149438637243516,0.8369528140989199,0.8259483389116358,0.8266441005802708,0.8516938194983191,0.8087400681044268,0.7963007736943907,0.8613394584139265,0.8230663501187055,0.8342114506498068,0.8286389003842562,0.8288201160541586,0.8468984842695199,0.8132980559070516,0.8037959381044487,0.8546905222437138,0.8247844693915525,0.8334806955496612,0.8291325824706068,0.8292432301740812,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
(a) Monolingual and Mono-Domain,EN_quake,earthquake,en,5607,5607,earthquake,en,8611,8611,LF,0.9999990298503594,0.9997324056729997,0.9997324772414209,0.8356980571676442,0.7719174871073605,0.9375,1.0,0.7648356752990361,1.0,0.0,0.7683602636644694,0.7822192735113617,0.45,0.7694455099518391,0.7740462621975017,0.45,0.7694228312623388,0.7712809197538033,0.45,0.7694179793554993,0.7707024716276012,0.45,0.7694228312623389,0.7712809197538033,0.45,0.7694228312623389,0.7712809197538033,0.45,0.7694228312623388,0.7712809197538033,0.45,0.5388456625246778,0.5425618395076066,0.45,0.47,0.7669735327963176,0.7719174871073605,0.7740099872256416,0.7648356752990361,0.7704756950465291,0.7683602636644694,0.7694179793554993,0.7694228312623389,0.8015750064549445,0.746517517940059,0.721054465218906,0.8215073742887005,0.7591856697438406,0.7822192735113617,0.7707024716276012,0.7712809197538033,0.789616475521026,0.7577087676945023,0.7435837881779119,0.8018813145976077,0.7659090909090909,0.7791694877002934,0.7725392893046921,0.7727325513877599,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
(a) Monolingual and Mono-Domain,ES_quake,earthquake,es,1411,1411,earthquake,es,2507,2507,LF,1.0,1.0,1.0,0.7993265446299623,0.6426169367166005,0.9242424242424242,0.9500000000000001,0.8384523334662943,1.0,0.0,0.7275874004845967,0.7324685091182553,0.6000000000000001,0.7051294666371298,0.7435251275204546,0.15000000000000002,0.6860789788591942,0.7229756681292381,0.7000000000000001,0.6786172296540631,0.7226173451380407,0.65,0.6860789788591942,0.7229756681292381,0.7000000000000001,0.6860789788591942,0.7229756681292381,0.7000000000000001,0.6860789788591942,0.7229756681292381,0.7000000000000001,0.37215795771838855,0.44595133625847627,0.7000000000000001,0.68,0.7676419965576592,0.6426169367166005,0.5337056242520941,0.8384523334662943,0.6296470588235294,0.7275874004845967,0.6786172296540631,0.6860789788591942,0.7038657913931436,0.7460387323943662,0.769844435580375,0.6761069006781013,0.7353781672699561,0.709353421217828,0.722365794243892,0.7229756681292381,0.7223962411902898,0.7308943089430894,0.7359393697646589,0.7171918627842042,0.7291049199762892,0.7239782564928527,0.7265415882345709,0.7265656162744316,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
(a) Monolingual and Mono-Domain,IT_quake,earthquake,it,760,760,earthquake,it,698,698,LF,1.0,1.0,1.0,0.6362488813720741,0.5246861924686193,1.0,1.0,0.8982808022922636,1.0,0.0,0.6624405705229794,0.6669865642994242,0.25,0.585726180811424,0.750179211469534,0.15000000000000002,0.5422636103151862,0.6153295128939829,0.75,0.4758254020579302,0.6130562768953947,0.75,0.5422636103151862,0.6153295128939829,0.75,0.5422636103151862,0.6153295128939829,0.75,0.5422636103151862,0.6153295128939829,0.75,0.08452722063037255,0.2306590257879656,0.75,0.75,0.6467661691542289,0.5246861924686193,0.18624641833810887,0.8982808022922636,0.289210233592881,0.6624405705229794,0.4758254020579302,0.5422636103151862,0.6,0.6362098138747885,0.6919770773638968,0.5386819484240688,0.6427145708582834,0.5833979829325058,0.6130562768953947,0.6153295128939829,0.6,0.6362098138747885,0.6919770773638968,0.5386819484240688,0.6427145708582834,0.5833979829325058,0.6130562768953947,0.6153295128939829,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
(b) Monolingual and Cross-Domain,EN_expl,earthquake_flood,en,25831,25831,explosion,en,4415,4641,LF,0.9999981453465627,0.9998838469877652,0.999883860476154,0.9623520041346967,0.9203109815354713,1.0,1.0,0.8579841449603623,1.0,0.0,0.8880553276286484,0.9009449694274597,0.4,0.8966939523061972,0.9018084807473923,0.4,0.8936548606723811,0.9020058550469583,0.4,0.8941894423343117,0.9016077265696035,0.4,0.8945450530035336,0.9016121908127208,0.4,0.8945450530035336,0.9016121908127208,0.4,0.8945450530035336,0.9016121908127208,0.4,0.7886100995745648,0.8032807604202322,0.4,0.4,0.8730769230769231,0.9203109815354713,0.9293255763843999,0.8579841449603623,0.900323557039975,0.8880553276286484,0.8941894423343117,0.8945450530035336,0.9189008042895442,0.8847161572052402,0.8862314156431803,0.9177802944507362,0.9022704837117473,0.9009449694274597,0.9016077265696035,0.9016121908127208,0.9189008042895442,0.8847161572052402,0.8862314156431803,0.9177802944507362,0.9022704837117473,0.9009449694274597,0.9016077265696035,0.9016121908127208,0.5124779151943463,0.0,1.0,0.0,0.6776666423304374,0.0,0.3388333211652187,0.5124779151943463
(b) Monolingual and Cross-Domain,EN_flood,explosion_earthquake,en,17209,17209,flood,en,8272,8272,LF,0.9999969930745932,0.9998547145140201,0.9998547271765359,0.897280424933312,0.8080481036077706,0.9565217391304348,1.0,0.8447775628626693,1.0,0.0,0.8260047281323878,0.8313814667424672,0.45,0.8227170609224264,0.8261501838161818,0.4,0.8220502901353965,0.8220502901353965,0.5,0.8219583264610479,0.8219583264610479,0.5,0.8220502901353965,0.8220502901353965,0.5,0.8220502901353965,0.8220502901353965,0.5,0.8220502901353965,0.8220502901353965,0.5,0.6441005802707931,0.6441005802707931,0.5,0.51,0.837386018237082,0.8080481036077706,0.7993230174081238,0.8447775628626693,0.8179119247897081,0.8260047281323878,0.8219583264610479,0.8220502901353965,0.837386018237082,0.8080481036077706,0.7993230174081238,0.8447775628626693,0.8179119247897081,0.8260047281323878,0.8219583264610479,0.8220502901353965,0.8312624254473161,0.8137947269303202,0.808752417794971,0.8358317214700194,0.8198529411764707,0.8246660305343512,0.8222594858554109,0.8222920696324951,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
(b) Monolingual and Cross-Domain,EN_quake,explosion_flood,en,17860,17860,earthquake,en,8611,8611,LF,0.9999999999999999,0.9999720036955122,0.9999720044792614,0.8934944596458273,0.7600903189387525,0.9249492900608519,1.0,0.9382185576588085,1.0,0.0,0.8398128898128898,0.8400148281523062,0.55,0.8396993381437279,0.8413906107960747,0.35000000000000003,0.8210428521658344,0.8248170944141215,0.6000000000000001,0.8185515383029196,0.8239027094688482,0.6000000000000001,0.8210428521658344,0.8248170944141214,0.6000000000000001,0.8210428521658344,0.8248170944141214,0.6000000000000001,0.8210428521658344,0.8248170944141214,0.6000000000000001,0.6420857043316688,0.6496341888282429,0.6000000000000001,0.6,0.9193083573487032,0.7600903189387525,0.7038671466728603,0.9382185576588085,0.7972901867929494,0.8398128898128898,0.8185515383029196,0.8210428521658344,0.8795115332428766,0.7839017458384084,0.7527581001045175,0.8968760887237255,0.8112133158125274,0.8365921031251692,0.8239027094688482,0.8248170944141214,0.8842827728208648,0.7817248666599578,0.7481128788758564,0.9021019626059691,0.810518369401107,0.8376105240457192,0.8240644467234131,0.8251074207409128,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
(b) Monolingual and Cross-Domain,ES_expl,earthquake,es,2091,2091,explosion,es,747,747,LF,1.0,1.0,1.0,0.7758665182819632,0.687799043062201,1.0,0.9500000000000001,0.7697456492637216,1.0,0.0,0.7264687302590019,0.7536571094207138,0.45,0.7132004333852038,0.7648721214537475,0.25,0.7101740294511378,0.7182061579651942,0.45,0.7091418384391095,0.7122468502537502,0.45,0.7101740294511378,0.7182061579651942,0.45,0.7101740294511378,0.7182061579651942,0.45,0.7101740294511377,0.718206157965194,0.45,0.4203480589022758,0.4364123159303882,0.45,0.48,0.7386018237082067,0.687799043062201,0.6506024096385542,0.7697456492637216,0.6918149466192172,0.7264687302590019,0.7091418384391095,0.7101740294511378,0.806390977443609,0.6694386694386695,0.5742971887550201,0.8621151271753681,0.6708365910867865,0.7536571094207138,0.7122468502537502,0.7182061579651942,0.7730263157894737,0.6873589164785553,0.6291834002677377,0.8152610441767069,0.6937269372693727,0.7458665033680343,0.7197967203187035,0.7222222222222222,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
(b) Monolingual and Cross-Domain,ES_quake,explosion,es,75,75,earthquake,es,2507,2507,LF,1.0,1.0,1.0,0.7181491345572645,0.6059976247030879,1.0,0.9500000000000001,0.8141204627044276,1.0,0.0,0.694808510638298,0.7072975140336808,0.45,0.6614435268108392,0.7500498703371234,0.9500000000000001,0.6424012764260072,0.6603510171519744,0.6000000000000001,0.6315362081243501,0.6600588241687322,0.6000000000000001,0.6424012764260072,0.6603510171519744,0.6000000000000001,0.6424012764260072,0.6603510171519744,0.6000000000000001,0.6424012764260072,0.6603510171519744,0.6000000000000001,0.2848025528520144,0.32070203430394895,0.6000000000000001,0.61,0.7168894289185905,0.6059976247030879,0.4706820901475868,0.8141204627044276,0.5682639056104022,0.694808510638298,0.6315362081243501,0.6424012764260072,0.6514694800301432,0.6703389830508475,0.6896689270043878,0.6310331072995612,0.6700251889168766,0.6500924594205877,0.6600588241687322,0.6603510171519744,0.6514694800301432,0.6703389830508475,0.6896689270043878,0.6310331072995612,0.6700251889168766,0.6500924594205877,0.6600588241687322,0.6603510171519744,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
(b) Monolingual and Cross-Domain,IT_flood,earthquake,it,1057,1057,flood,it,1759,1759,LF,1.0,1.0,1.0,0.7715119610637213,0.581338028169014,0.8544600938967136,0.9,0.938601478112564,1.0,0.0,0.7179821700369645,0.7348600508905853,0.6000000000000001,0.711022996385392,0.7156391346141022,0.6000000000000001,0.6313246162592382,0.7111995451961342,0.65,0.5928852171481499,0.7106009331922566,0.65,0.6313246162592382,0.7111995451961342,0.65,0.6313246162592382,0.7111995451961342,0.65,0.6313246162592382,0.7111995451961342,0.65,0.2626492325184764,0.4223990903922683,0.65,0.66,0.8407079646017699,0.581338028169014,0.32404775440591244,0.938601478112564,0.46778826425933523,0.7179821700369645,0.5928852171481499,0.6313246162592382,0.7323327079424641,0.6935904116727463,0.6657191586128482,0.7566799317794202,0.6974389517569982,0.723762914627515,0.7106009331922566,0.7111995451961342,0.7237237237237237,0.7010253642741501,0.6850483229107447,0.7384877771461057,0.7038551401869159,0.7192691029900332,0.7115621215884745,0.7117680500284252,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
