scenario,experiment,hazard_train,lang_train,train_1,train_0,hazard_test,lang_test,test_1,test_0,features,train_auc,train_f1,train_f1_macro,test_auc,test_prec,test_top_prec,test_th_prec,test_rec,test_top_rec,test_th_rec,test_f1,test_top_f1,test_th_top_f1,test_prec_macro,test_top_prec_macro,test_th_prec_macro,test_rec_macro,test_top_rec_macro,test_th_rec_macro,test_f1_macro,test_top_f1_macro,test_th_top_f1_macro,test_prec_micro,test_top_prec_micro,test_th_prec_micro,test_rec_micro,test_top_rec_micro,test_th_rec_micro,test_f1_micro,test_top_f1_micro,test_th_top_f1_micro,test_kappa,test_top_kappa,test_th_kappa,test_youden,prec_0,prec_1,rec_0,rec_1,f1_0,f1_1,f1_macro,accuracy,prec_kappa_0,prec_kappa_1,rec_kappa_0,rec_kappa_1,f1_kappa_0,f1_kappa_1,f1_kappa_macro,accuracy_kappa,prec_youden_0,prec_youden_1,rec_youden_0,rec_youden_1,f1_youden_0,f1_youden_1,f1_youden_macro,accuracy_youden,prec_dummy_0,prec_dummy_1,rec_dummy_0,rec_dummy_1,f1_dummy_0,f1_dummy_1,f1_dummy_macro,accuracy_dummy
(a) Monolingual and Mono-Domain,EN_flood,flood,en,5173,5173,flood,en,8272,8272,MT+BERT,1.0,1.0,1.0,0.9532648956864107,0.9251272435038843,1.0,0.9500000000000001,0.8349854932301741,1.0,0.0,0.8777481255559791,0.8901112333455569,0.45,0.8873818636554451,0.8915096400413728,0.45,0.8837040618955513,0.8913201160541586,0.45,0.8834273768990271,0.8913069618838272,0.45,0.8837040618955513,0.8913201160541586,0.45,0.8837040618955513,0.8913201160541586,0.45,0.8837040618955513,0.8913201160541586,0.45,0.7674081237911026,0.7826402321083172,0.45,0.45,0.849636483807006,0.9251272435038843,0.9324226305609284,0.8349854932301741,0.8891066282420749,0.8777481255559791,0.8834273768990271,0.8837040618955513,0.8828956706884316,0.900123609394314,0.902321083172147,0.8803191489361702,0.8925026904220974,0.8901112333455569,0.8913069618838272,0.8913201160541586,0.8828956706884316,0.900123609394314,0.902321083172147,0.8803191489361702,0.8925026904220974,0.8901112333455569,0.8913069618838272,0.8913201160541586,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
(a) Monolingual and Mono-Domain,EN_quake,earthquake,en,5607,5607,earthquake,en,8611,8611,MT+BERT,1.0,1.0,1.0,0.902419639149494,0.8966157361130944,0.9807692307692307,0.8500000000000001,0.7291836023690629,1.0,0.0,0.8042782118611503,0.8349503076194983,0.45,0.8342066839876559,0.8384594968598629,0.45,0.8225525490651493,0.8379979096504471,0.45,0.8209920002481534,0.8379426566603763,0.45,0.8225525490651492,0.8379979096504471,0.45,0.8225525490651492,0.8379979096504471,0.45,0.8225525490651492,0.8379979096504471,0.45,0.6451050981302985,0.6759958193008941,0.45,0.44,0.7717976318622174,0.8966157361130944,0.9159214957612356,0.7291836023690629,0.8377057886351565,0.8042782118611503,0.8209920002481534,0.8225525490651492,0.8259603539030127,0.8509586398167129,0.8564626640343747,0.8195331552665196,0.8409350057012542,0.8349503076194983,0.8379426566603763,0.8379979096504471,0.8373438223044887,0.8399393798088133,0.8405527813262107,0.8367204738125653,0.8389452332657201,0.8383268369305951,0.8386360350981577,0.838636627569388,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
(a) Monolingual and Mono-Domain,ES_quake,earthquake,es,1411,1411,earthquake,es,2507,2507,MT+BERT,1.0,1.0,1.0,0.9242162630712982,0.788135593220339,1.0,1.0,0.8903071400079776,1.0,0.0,0.8361116313916463,0.8451915559030493,0.55,0.8310522145753391,0.8559198913329522,0.65,0.8254886318308735,0.848823294774631,0.65,0.8247523394748806,0.8480659511458779,0.65,0.8254886318308735,0.848823294774631,0.65,0.8254886318308735,0.848823294774631,0.65,0.8254886318308735,0.848823294774631,0.65,0.6509772636617471,0.6976465895492621,0.65,0.65,0.8739688359303391,0.788135593220339,0.7606701236537694,0.8903071400079776,0.8133930475581148,0.8361116313916463,0.8247523394748806,0.8254886318308735,0.8056623558196435,0.906177426846261,0.919425608296769,0.7782209812524931,0.8587928464977646,0.8373390557939914,0.8480659511458779,0.848823294774631,0.8056623558196435,0.906177426846261,0.919425608296769,0.7782209812524931,0.8587928464977646,0.8373390557939914,0.8480659511458779,0.848823294774631,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
(a) Monolingual and Mono-Domain,IT_quake,earthquake,it,760,760,earthquake,it,698,698,MT+BERT,1.0,1.0,1.0,0.8461978965689937,0.6111111111111112,0.9908256880733946,0.9,0.9455587392550143,1.0,0.0,0.7424071991001125,0.7640949554896141,0.65,0.7454289732770746,0.7851285686633835,0.75,0.671919770773639,0.7722063037249284,0.65,0.6453653352502535,0.7719366744207075,0.65,0.671919770773639,0.7722063037249284,0.65,0.671919770773639,0.7722063037249284,0.65,0.671919770773639,0.7722063037249284,0.65,0.3438395415472779,0.5444126074498568,0.65,0.65,0.879746835443038,0.6111111111111112,0.3982808022922636,0.9455587392550143,0.5483234714003944,0.7424071991001125,0.6453653352502535,0.671919770773639,0.7546916890080428,0.7923076923076923,0.8065902578796562,0.7378223495702005,0.7797783933518007,0.7640949554896141,0.7719366744207075,0.7722063037249284,0.7546916890080428,0.7923076923076923,0.8065902578796562,0.7378223495702005,0.7797783933518007,0.7640949554896141,0.7719366744207075,0.7722063037249284,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
(b) Monolingual and Cross-Domain,EN_expl,earthquake_flood,en,25831,25831,explosion,en,4415,4641,MT+BERT,1.0,1.0,1.0,0.9710164194608935,0.9711375212224108,1.0,0.9500000000000001,0.7773499433748584,1.0,0.0,0.8635048433765253,0.9143116558846894,0.35000000000000003,0.8965611546713286,0.9166201619107499,0.35000000000000003,0.8776859606984182,0.9165255125484291,0.35000000000000003,0.878372514180637,0.9165687942900493,0.35000000000000003,0.880189929328622,0.9166298586572438,0.35000000000000003,0.880189929328622,0.9166298586572438,0.35000000000000003,0.880189929328622,0.9166298586572438,0.35000000000000003,0.7590598977109984,0.8331383236166887,0.35000000000000003,0.36,0.8219847881202463,0.9711375212224108,0.978021978021978,0.7773499433748584,0.8932401849847487,0.8635048433765253,0.878372514180637,0.880189929328622,0.9169527896995708,0.916287534121929,0.920706744236156,0.9123442808607022,0.9188259326954091,0.9143116558846894,0.9165687942900493,0.9166298586572438,0.9169527896995708,0.916287534121929,0.920706744236156,0.9123442808607022,0.9188259326954091,0.9143116558846894,0.9165687942900493,0.9166298586572438,0.5124779151943463,0.0,1.0,0.0,0.6776666423304374,0.0,0.3388333211652187,0.5124779151943463
(b) Monolingual and Cross-Domain,EN_flood,explosion_earthquake,en,17209,17209,flood,en,8272,8272,MT+BERT,1.0,1.0,1.0,0.9475272580661755,0.9021992238033635,1.0,1.0,0.8430851063829787,1.0,0.0,0.8716410448693914,0.8745515426931356,0.45,0.8774667550829842,0.8774667550829842,0.5,0.8758462282398453,0.8758462282398453,0.5,0.875712831927848,0.875712831927848,0.5,0.8758462282398453,0.8758462282398453,0.5,0.8758462282398453,0.8758462282398453,0.5,0.8758462282398453,0.8758462282398453,0.5,0.7516924564796905,0.7516924564796905,0.5,0.48,0.852734286362605,0.9021992238033635,0.9086073500967118,0.8430851063829787,0.8797846189863047,0.8716410448693914,0.875712831927848,0.8758462282398453,0.852734286362605,0.9021992238033635,0.9086073500967118,0.8430851063829787,0.8797846189863047,0.8716410448693914,0.875712831927848,0.8758462282398453,0.8647478647478648,0.8898336876328623,0.8934961315280464,0.8602514506769826,0.8788869730661751,0.8747925502489398,0.8768397616575574,0.8768737911025145,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
(b) Monolingual and Cross-Domain,EN_quake,explosion_flood,en,17860,17860,earthquake,en,8611,8611,MT+BERT,1.0,1.0,1.0,0.9532636583415242,0.8406285072951739,0.9809523809523809,0.9500000000000001,0.9567994425734525,1.0,0.0,0.8949598088203345,0.8949598088203345,0.5,0.8952502461014342,0.8952502461014342,0.5,0.8877017767971199,0.8900824526768087,0.6000000000000001,0.8871630381427023,0.8900572015576087,0.6000000000000001,0.8877017767971199,0.8900824526768087,0.6000000000000001,0.8877017767971199,0.8900824526768087,0.6000000000000001,0.8877017767971199,0.8900824526768087,0.6000000000000001,0.77540355359424,0.7801649053536175,0.6000000000000001,0.58,0.9498719849076944,0.8406285072951739,0.8186041110207873,0.9567994425734525,0.87936626746507,0.8949598088203345,0.8871630381427023,0.8877017767971199,0.9022754491017964,0.8786068530207394,0.8749274184183021,0.9052374869353152,0.8883910146807382,0.8917233884344792,0.8900572015576087,0.8900824526768087,0.9157725983475151,0.869965982662131,0.8623853211009175,0.9206828475206131,0.8882775119617224,0.8946061837057098,0.891441847833716,0.8915340843107653,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
(b) Monolingual and Cross-Domain,ES_expl,earthquake,es,2091,2091,explosion,es,747,747,MT+BERT,1.0,1.0,1.0,0.8439245603565534,0.8574257425742574,1.0,0.75,0.5796519410977242,1.0,0.0,0.6916932907348243,0.7735618115055078,0.35000000000000003,0.7699666629959254,0.7748891877085512,0.45,0.7416331994645248,0.7670682730923695,0.45,0.7346715301600388,0.7653996101364522,0.45,0.7416331994645248,0.7670682730923695,0.45,0.7416331994645248,0.7670682730923695,0.45,0.7416331994645247,0.7670682730923695,0.45,0.48326639892904955,0.5341365461847389,0.45,0.44,0.6825075834175935,0.8574257425742574,0.9036144578313253,0.5796519410977242,0.7776497695852533,0.6916932907348243,0.7346715301600388,0.7416331994645248,0.7285223367697594,0.821256038647343,0.8514056224899599,0.6827309236947792,0.7851851851851851,0.7456140350877193,0.7653996101364522,0.7670682730923695,0.7399049881235155,0.8098159509202454,0.8340026773761714,0.7068273092369478,0.7841409691629956,0.7548248749106504,0.769482922036823,0.7704149933065596,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
(b) Monolingual and Cross-Domain,ES_quake,explosion,es,75,75,earthquake,es,2507,2507,MT+BERT,1.0,1.0,1.0,0.9023959876844239,0.8037313432835821,1.0,0.8,0.8591942560829677,1.0,0.0,0.8305378831694622,0.8305378831694622,0.5,0.8262444205706685,0.8300573612007924,0.55,0.8246908655763862,0.8246908655763862,0.5,0.8244819141110686,0.8244819141110686,0.5,0.8246908655763862,0.8246908655763862,0.5,0.8246908655763862,0.8246908655763862,0.5,0.8246908655763862,0.8246908655763862,0.5,0.6493817311527723,0.6493817311527723,0.5,0.52,0.8487574978577549,0.8037313432835821,0.7901874750698046,0.8591942560829677,0.8184259450526752,0.8305378831694622,0.8244819141110686,0.8246908655763862,0.8487574978577549,0.8037313432835821,0.7901874750698046,0.8591942560829677,0.8184259450526752,0.8305378831694622,0.8244819141110686,0.8246908655763862,0.824554608830364,0.8445723684210527,0.8492221779018747,0.819305943358596,0.8367066221261544,0.8317473172707025,0.8342269696984285,0.8342640606302354,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
(b) Monolingual and Cross-Domain,IT_flood,earthquake,it,1057,1057,flood,it,1759,1759,MT+BERT,1.0,1.0,1.0,0.8515754758844387,0.7133881101981634,1.0,0.8500000000000001,0.8391131324616259,1.0,0.0,0.7711598746081505,0.7868753762793498,0.55,0.7590405009237884,0.8067569281501681,0.6000000000000001,0.7509948834565094,0.7987492893689596,0.55,0.7490462714686639,0.7981226639070417,0.55,0.7509948834565093,0.7987492893689596,0.55,0.7509948834565093,0.7987492893689596,0.55,0.7509948834565092,0.7987492893689596,0.55,0.5019897669130188,0.5974985787379192,0.55,0.55,0.8046928916494134,0.7133881101981634,0.6628766344513929,0.8391131324616259,0.7269326683291772,0.7711598746081505,0.7490462714686639,0.7509948834565093,0.7687979539641944,0.836212412028151,0.8544627629334849,0.7430358158044343,0.8093699515347336,0.7868753762793498,0.7981226639070417,0.7987492893689596,0.7687979539641944,0.836212412028151,0.8544627629334849,0.7430358158044343,0.8093699515347336,0.7868753762793498,0.7981226639070417,0.7987492893689596,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
