scenario,experiment,hazard_train,lang_train,train_1,train_0,hazard_test,lang_test,test_1,test_0,features,train_auc,train_f1,train_f1_macro,test_auc,test_prec,test_top_prec,test_th_prec,test_rec,test_top_rec,test_th_rec,test_f1,test_top_f1,test_th_top_f1,test_prec_macro,test_top_prec_macro,test_th_prec_macro,test_rec_macro,test_top_rec_macro,test_th_rec_macro,test_f1_macro,test_top_f1_macro,test_th_top_f1_macro,test_prec_micro,test_top_prec_micro,test_th_prec_micro,test_rec_micro,test_top_rec_micro,test_th_rec_micro,test_f1_micro,test_top_f1_micro,test_th_top_f1_micro,test_kappa,test_top_kappa,test_th_kappa,test_youden,prec_0,prec_1,rec_0,rec_1,f1_0,f1_1,f1_macro,accuracy,prec_kappa_0,prec_kappa_1,rec_kappa_0,rec_kappa_1,f1_kappa_0,f1_kappa_1,f1_kappa_macro,accuracy_kappa,prec_youden_0,prec_youden_1,rec_youden_0,rec_youden_1,f1_youden_0,f1_youden_1,f1_youden_macro,accuracy_youden,prec_dummy_0,prec_dummy_1,rec_dummy_0,rec_dummy_1,f1_dummy_0,f1_dummy_1,f1_dummy_macro,accuracy_dummy
(a) Monolingual and Mono-Domain,EN_flood,flood,en,5173,5173,flood,en,8272,8272,MT+GloVe,0.9999999999999999,1.0,1.0,0.9401982659102133,0.8594945513563644,0.9872611464968153,1.0,0.8962765957446809,1.0,0.0,0.877500295893005,0.877500295893005,0.5,0.8755669271053103,0.8759334512379369,0.55,0.8748791102514507,0.8758462282398453,0.55,0.8748217971126545,0.8758390263718483,0.55,0.8748791102514507,0.8758462282398453,0.55,0.8748791102514507,0.8758462282398453,0.55,0.8748791102514507,0.8758462282398453,0.55,0.7497582205029014,0.7516924564796905,0.55,0.53,0.8916393028542561,0.8594945513563644,0.8534816247582205,0.8962765957446809,0.872143298332304,0.877500295893005,0.8748217971126545,0.8748791102514507,0.8702071921886163,0.8816597102872575,0.8834622823984526,0.8682301740812379,0.8767846430713857,0.874893409672311,0.8758390263718483,0.8758462282398453,0.8795415752255548,0.8731719012227284,0.8720986460348162,0.8805609284332688,0.8758042976811946,0.8768508486818346,0.8763275731815146,0.8763297872340425,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
(a) Monolingual and Mono-Domain,EN_quake,earthquake,en,5607,5607,earthquake,en,8611,8611,MT+GloVe,1.0,1.0,1.0,0.8851290694893889,0.8168299711815562,1.0,1.0,0.8229009406572988,1.0,0.0,0.8198542172856647,0.8198542172856647,0.5,0.8192023963781889,0.8236368972771482,0.55,0.81918476367437,0.8201718731854605,0.55,0.8191822665866486,0.8196892481321454,0.55,0.81918476367437,0.8201718731854605,0.55,0.81918476367437,0.8201718731854605,0.55,0.81918476367437,0.8201718731854605,0.55,0.63836952734874,0.640343746370921,0.55,0.54,0.8215748215748215,0.8168299711815562,0.8154685866914412,0.8229009406572988,0.8185103158876326,0.8198542172856647,0.8191822665866486,0.81918476367437,0.79014944222269,0.8571243523316062,0.8719080246196725,0.7684357217512484,0.8290178324959974,0.8103606637682935,0.8196892481321454,0.8201718731854605,0.7979157713794586,0.85039171089209,0.8625014516316339,0.7815584717222158,0.8289525085105196,0.8145234493192135,0.8217379789148666,0.8220299616769249,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
(a) Monolingual and Mono-Domain,ES_quake,earthquake,es,1411,1411,earthquake,es,2507,2507,MT+GloVe,1.0,1.0,1.0,0.8917548614179459,0.7224726336123631,1.0,1.0,0.8950937375349023,1.0,0.0,0.7995724211651523,0.8172810146650812,0.6000000000000001,0.7923159813764122,0.8244792161300876,0.7000000000000001,0.7756282409254089,0.8165137614678899,0.65,0.7723796420661548,0.8163075365009167,0.65,0.7756282409254088,0.8165137614678899,0.65,0.7756282409254088,0.8165137614678899,0.65,0.7756282409254088,0.81651376146789,0.65,0.5512564818508177,0.6330275229357798,0.65,0.64,0.8621593291404612,0.7224726336123631,0.6561627443159155,0.8950937375349023,0.7451868629671574,0.7995724211651523,0.7723796420661548,0.7756282409254088,0.7966355140186916,0.8392475416844806,0.8500199441563622,0.7830075787794176,0.8224623697414125,0.810152703260421,0.8163075365009167,0.8165137614678899,0.8035782261134374,0.8341013824884793,0.8420422816114879,0.7941763063422417,0.8223607323724192,0.8136493665713118,0.8180050494718656,0.8181092939768648,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
(a) Monolingual and Mono-Domain,IT_quake,earthquake,it,760,760,earthquake,it,698,698,MT+GloVe,1.0,1.0,1.0,0.8120294578862243,0.5806451612903226,1.0,0.9500000000000001,0.9283667621776505,1.0,0.0,0.7144432194046307,0.7554006968641115,0.65,0.7010368663594471,0.7562719896927187,0.8500000000000001,0.6289398280802292,0.748567335243553,0.65,0.5923954338331947,0.7483709453369931,0.65,0.6289398280802292,0.748567335243553,0.65,0.6289398280802292,0.748567335243553,0.65,0.6289398280802292,0.748567335243553,0.65,0.2578796561604585,0.497134670487106,0.65,0.67,0.8214285714285714,0.5806451612903226,0.32951289398280803,0.9283667621776505,0.47034764826175873,0.7144432194046307,0.5923954338331947,0.6289398280802292,0.7632776934749621,0.7354138398914518,0.7206303724928367,0.7765042979942693,0.7413411938098748,0.7554006968641115,0.7483709453369931,0.748567335243553,0.7535410764872521,0.7594202898550725,0.7621776504297995,0.7507163323782235,0.7578347578347578,0.755043227665706,0.756438992750232,0.7564469914040115,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
(b) Monolingual and Cross-Domain,EN_expl,earthquake_flood,en,25831,25831,explosion,en,4415,4641,MT+GloVe,1.0,1.0,1.0,0.9733861346611996,0.9594628201939815,1.0,1.0,0.8738391845979615,1.0,0.0,0.914651493598862,0.926017539914549,0.4,0.9244185997692846,0.9283654937709945,0.45,0.9193587217969338,0.9274721858427142,0.4,0.9201202899991003,0.927317730686283,0.4,0.9204946996466431,0.9273409893992933,0.4,0.9204946996466431,0.9273409893992933,0.4,0.9204946996466431,0.9273409893992933,0.4,0.8405438303688739,0.8546427234837928,0.4,0.41,0.8893743793445879,0.9594628201939815,0.9648782589959061,0.8738391845979615,0.9255890863993386,0.914651493598862,0.9201202899991003,0.9204946996466431,0.9351103342800962,0.9194016521544988,0.9222150398620987,0.9327293318233295,0.928617921458017,0.926017539914549,0.927317730686283,0.9273409893992933,0.9312878133102852,0.9252484191508582,0.9286791639732817,0.9279728199320498,0.9299816592944222,0.926608616985186,0.9282951381398041,0.9283348056537103,0.5124779151943463,0.0,1.0,0.0,0.6776666423304374,0.0,0.3388333211652187,0.5124779151943463
(b) Monolingual and Cross-Domain,EN_flood,explosion_earthquake,en,17209,17209,flood,en,8272,8272,MT+GloVe,0.9999999949349937,0.9999709445913357,0.9999709454355035,0.9322977657142643,0.877602523659306,1.0,1.0,0.8407882011605415,1.0,0.0,0.8588010125331852,0.8633510953226761,0.45,0.8624002872386332,0.8624002872386332,0.5,0.8617625725338491,0.8617625725338491,0.5,0.8617017317712992,0.8617017317712992,0.5,0.8617625725338491,0.8617625725338491,0.5,0.8617625725338491,0.8617625725338491,0.5,0.8617625725338491,0.8617625725338491,0.5,0.7235251450676983,0.7235251450676983,0.5,0.465,0.8471980508179603,0.877602523659306,0.8827369439071566,0.8407882011605415,0.8646024510094131,0.8588010125331852,0.8617017317712992,0.8617625725338491,0.8471980508179603,0.877602523659306,0.8827369439071566,0.8407882011605415,0.8646024510094131,0.8588010125331852,0.8617017317712992,0.8617625725338491,0.8660975609756097,0.8597794822627037,0.8585589941972921,0.8672630560928434,0.862311801845556,0.8635050553683197,0.8629084286069378,0.8629110251450677,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
(b) Monolingual and Cross-Domain,EN_quake,explosion_flood,en,17860,17860,earthquake,en,8611,8611,MT+GloVe,1.0,0.9999720052630106,0.9999720044792614,0.928813306328186,0.806802452046668,0.961139896373057,1.0,0.9476251306468471,1.0,0.0,0.8715620827770361,0.8733948964537457,0.55,0.8716764089158495,0.8716764089158495,0.5,0.8603530368133783,0.8654627801649053,0.55,0.8592812640489926,0.8649325965883918,0.55,0.8603530368133783,0.8654627801649053,0.55,0.8603530368133783,0.8654627801649053,0.55,0.8603530368133783,0.8654627801649053,0.55,0.7207060736267565,0.7309255603298107,0.55,0.57,0.9365503657850309,0.806802452046668,0.7730809429799094,0.9476251306468471,0.8470004453209491,0.8715620827770361,0.8592812640489926,0.8603530368133783,0.9178173127987255,0.8247678018575851,0.80281035884334,0.9281152014864708,0.8564702967230379,0.8733948964537457,0.8649325965883918,0.8654627801649053,0.9091968911917099,0.8324563249842138,0.8151201950992916,0.9185924979677157,0.8595921866389076,0.873405841108596,0.8664990138737518,0.8668563465335036,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
(b) Monolingual and Cross-Domain,ES_expl,earthquake,es,2091,2091,explosion,es,747,747,MT+GloVe,1.0,1.0,1.0,0.8441826207104186,0.7671232876712328,1.0,0.8500000000000001,0.749665327978581,1.0,0.0,0.7582938388625592,0.7743557510999372,0.45,0.7611794448827368,0.780729281674112,0.6000000000000001,0.7610441767068272,0.7650602409638554,0.55,0.7610132331308163,0.7627634841593954,0.55,0.7610441767068273,0.7650602409638554,0.55,0.7610441767068273,0.7650602409638554,0.55,0.7610441767068273,0.7650602409638553,0.55,0.5220883534136547,0.5301204819277108,0.55,0.54,0.7552356020942408,0.7671232876712328,0.7724230254350736,0.749665327978581,0.7637326273990733,0.7582938388625592,0.7610132331308163,0.7610441767068273,0.7214765100671141,0.83,0.8634538152610441,0.6666666666666666,0.7861060329067643,0.7394209354120266,0.7627634841593954,0.7650602409638554,0.7294520547945206,0.8252427184466019,0.8554216867469879,0.6827309236947792,0.7874306839186691,0.7472527472527473,0.7673417155857082,0.7690763052208835,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
(b) Monolingual and Cross-Domain,ES_quake,explosion,es,75,75,earthquake,es,2507,2507,MT+GloVe,1.0,1.0,1.0,0.7477325156892175,0.5811696826645686,1.0,0.9,0.8839250099720782,1.0,0.0,0.7012658227848102,0.7035726918995402,0.55,0.6694357988676715,0.7502495508085446,0.9,0.6234543278819307,0.6830873554048664,0.6000000000000001,0.5960482296232573,0.6820456139313277,0.6000000000000001,0.6234543278819306,0.6830873554048664,0.6000000000000001,0.6234543278819306,0.6830873554048664,0.6000000000000001,0.6234543278819306,0.6830873554048664,0.6000000000000001,0.24690865576386123,0.36617471080973274,0.6000000000000001,0.6,0.7577019150707743,0.5811696826645686,0.362983645791783,0.8839250099720782,0.49083063646170444,0.7012658227848102,0.5960482296232573,0.6234543278819306,0.6642806012884753,0.7067567567567568,0.7403270841643399,0.625847626645393,0.7002452367477834,0.663845991114872,0.6820456139313277,0.6830873554048664,0.6776640121350019,0.6970971813209929,0.7128041483845233,0.66094934184284,0.6947900466562986,0.6785421785421785,0.6866661125992386,0.6868767451136817,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
(b) Monolingual and Cross-Domain,IT_flood,earthquake,it,1057,1057,flood,it,1759,1759,MT+GloVe,1.0,1.0,1.0,0.7696031551856594,0.6206749252456215,1.0,0.9,0.8260375213189312,1.0,0.0,0.708780487804878,0.7156514613493581,0.55,0.6803459587995313,0.7507841459937268,0.9,0.6606026151222285,0.7117680500284252,0.6000000000000001,0.6510523692430386,0.7084732432156783,0.6000000000000001,0.6606026151222285,0.7117680500284252,0.6000000000000001,0.6606026151222285,0.7117680500284252,0.6000000000000001,0.6606026151222285,0.7117680500284252,0.6000000000000001,0.32120523024445713,0.4235361000568505,0.6000000000000001,0.57,0.740016992353441,0.6206749252456215,0.49516770892552586,0.8260375213189312,0.593324250681199,0.708780487804878,0.6510523692430386,0.6606026151222285,0.6746366619784341,0.7689530685920578,0.8180784536668562,0.6054576463899943,0.7394655704008222,0.6774809160305344,0.7084732432156783,0.7117680500284252,0.7143652561247216,0.7235772357723578,0.7293916998294485,0.7083570210346788,0.7218002812939521,0.7158862395863257,0.7188432604401389,0.7188743604320637,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
