scenario,experiment,hazard_train,lang_train,train_1,train_0,hazard_test,lang_test,test_1,test_0,features,train_auc,train_f1,train_f1_macro,test_auc,test_prec,test_top_prec,test_th_prec,test_rec,test_top_rec,test_th_rec,test_f1,test_top_f1,test_th_top_f1,test_prec_macro,test_top_prec_macro,test_th_prec_macro,test_rec_macro,test_top_rec_macro,test_th_rec_macro,test_f1_macro,test_top_f1_macro,test_th_top_f1_macro,test_prec_micro,test_top_prec_micro,test_th_prec_micro,test_rec_micro,test_top_rec_micro,test_th_rec_micro,test_f1_micro,test_top_f1_micro,test_th_top_f1_micro,test_kappa,test_top_kappa,test_th_kappa,test_youden,prec_0,prec_1,rec_0,rec_1,f1_0,f1_1,f1_macro,accuracy,prec_kappa_0,prec_kappa_1,rec_kappa_0,rec_kappa_1,f1_kappa_0,f1_kappa_1,f1_kappa_macro,accuracy_kappa,prec_youden_0,prec_youden_1,rec_youden_0,rec_youden_1,f1_youden_0,f1_youden_1,f1_youden_macro,accuracy_youden,prec_dummy_0,prec_dummy_1,rec_dummy_0,rec_dummy_1,f1_dummy_0,f1_dummy_1,f1_dummy_macro,accuracy_dummy
(a) Monolingual and Mono-Domain,EN_flood,flood,en,5173,5173,flood,en,8272,8272,MUSE+LF,1.0,1.0,1.0,0.9582732124100692,0.8696781479390175,1.0,1.0,0.9309719535783365,1.0,0.0,0.8992818356980207,0.8992818356980207,0.5,0.8977081076539931,0.8988298520431961,0.55,0.8957325918762089,0.8988152804642167,0.55,0.8956029503031172,0.8988143562388909,0.55,0.8957325918762089,0.8988152804642167,0.55,0.8957325918762089,0.8988152804642167,0.55,0.8957325918762089,0.8988152804642167,0.55,0.7914651837524178,0.7976305609284333,0.55,0.56,0.9257380673689687,0.8696781479390175,0.8604932301740812,0.9309719535783365,0.8919240649082137,0.8992818356980207,0.8956029503031172,0.8957325918762089,0.8964191300168228,0.9012405740695695,0.9018375241779497,0.8957930367504836,0.899120163914668,0.8985085485631139,0.8988143562388909,0.8988152804642167,0.8905325443786982,0.9077094143810229,0.9096953578336557,0.8881769825918762,0.9000119602918312,0.8978369791030184,0.8989244696974248,0.898936170212766,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
(a) Monolingual and Mono-Domain,EN_quake,earthquake,en,5607,5607,earthquake,en,8611,8611,MUSE+LF,1.0,1.0,1.0,0.8939583883714862,0.8313641245972073,1.0,0.9500000000000001,0.8089652769713157,1.0,0.0,0.8200117716303709,0.8200117716303709,0.5,0.8226706408352993,0.8240461955495166,0.55,0.8224364185344326,0.8224364185344326,0.5,0.8224041899288557,0.8224041899288557,0.5,0.8224364185344327,0.8224364185344327,0.5,0.8224364185344327,0.8224364185344327,0.5,0.8224364185344327,0.8224364185344327,0.5,0.6448728370688654,0.6448728370688654,0.5,0.52,0.8139771570733914,0.8313641245972073,0.8359075600975496,0.8089652769713157,0.8247966082273405,0.8200117716303709,0.8224041899288557,0.8224364185344327,0.8139771570733914,0.8313641245972073,0.8359075600975496,0.8089652769713157,0.8247966082273405,0.8200117716303709,0.8224041899288557,0.8224364185344327,0.7971803909003524,0.8540526784578191,0.8667982812681454,0.7794681221693183,0.8305329920996996,0.8150576806314511,0.8227953363655753,0.8231332017187318,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
(a) Monolingual and Mono-Domain,ES_quake,earthquake,es,1411,1411,earthquake,es,2507,2507,MUSE+LF,1.0,1.0,1.0,0.8960298479773189,0.7186904005085823,0.9893162393162394,0.9,0.9018747506980455,1.0,0.0,0.7999292411109147,0.81286906943596,0.6000000000000001,0.7934993758431563,0.8328347569790678,0.7000000000000001,0.7744315915436777,0.8191065017949741,0.65,0.7707074776983145,0.8181743742782017,0.65,0.7744315915436777,0.819106501794974,0.65,0.7744315915436777,0.819106501794974,0.65,0.7744315915436776,0.819106501794974,0.65,0.5488631830873554,0.6382130035899481,0.65,0.66,0.8683083511777302,0.7186904005085823,0.6469884323893099,0.9018747506980455,0.7414857142857143,0.7999292411109147,0.7707074776983145,0.7744315915436777,0.7791346824842986,0.87243947858473,0.8907060231352214,0.7475069804547267,0.8311930020472734,0.8051557465091299,0.8181743742782017,0.819106501794974,0.7738624700650018,0.882831181252989,0.9022736338252892,0.7363382528919027,0.8331491712707182,0.8029578077424967,0.8180534895066074,0.819305943358596,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
(a) Monolingual and Mono-Domain,IT_quake,earthquake,it,760,760,earthquake,it,698,698,MUSE+LF,1.0,1.0,1.0,0.8360153036510373,0.6087369420702754,1.0,0.9,0.9183381088825215,1.0,0.0,0.732153055396916,0.7598615916955016,0.6000000000000001,0.7212780920263914,0.7782906558849956,0.75,0.6640401146131806,0.7650429799426934,0.65,0.6408123586302543,0.7642688280986154,0.65,0.6640401146131805,0.7650429799426934,0.65,0.6640401146131805,0.7650429799426934,0.65,0.6640401146131805,0.7650429799426934,0.65,0.32808022922636104,0.5300859598853869,0.65,0.66,0.8338192419825073,0.6087369420702754,0.40974212034383956,0.9183381088825215,0.5494716618635928,0.732153055396916,0.6408123586302543,0.6640401146131805,0.7377892030848329,0.7993527508090615,0.8223495702005731,0.7077363896848138,0.7777777777777778,0.7507598784194529,0.7642688280986154,0.7650429799426934,0.7316770186335404,0.8155668358714044,0.8438395415472779,0.6905444126074498,0.7837658017298735,0.747866563227308,0.7658161824785907,0.7671919770773639,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
(b) Monolingual and Cross-Domain,EN_expl,earthquake_flood,en,25831,25831,explosion,en,4415,4641,MUSE+LF,1.0,0.9999806437876235,0.9999806434129461,0.9717610748454797,0.9583441138421733,1.0,0.9500000000000001,0.8389580973952435,1.0,0.0,0.8946859903381643,0.9144415407340075,0.4,0.9106881424537394,0.9168693751092389,0.4,0.9021336489992808,0.9167189238270446,0.4,0.9029979992374304,0.9167847269774645,0.4,0.9037102473498233,0.9168507067137809,0.4,0.9037102473498233,0.9168507067137809,0.4,0.9037102473498233,0.9168507067137808,0.4,0.8067142112012196,0.8335711619878187,0.4,0.4,0.8630321710653054,0.9583441138421733,0.9653092006033183,0.8389580973952435,0.9113100081366965,0.8946859903381643,0.9029979992374304,0.9037102473498233,0.9162740899357602,0.9174646602827178,0.9219995690583926,0.9114382785956965,0.9191279132209216,0.9144415407340075,0.9167847269774645,0.9168507067137809,0.9162740899357602,0.9174646602827178,0.9219995690583926,0.9114382785956965,0.9191279132209216,0.9144415407340075,0.9167847269774645,0.9168507067137809,0.5124779151943463,0.0,1.0,0.0,0.6776666423304374,0.0,0.3388333211652187,0.5124779151943463
(b) Monolingual and Cross-Domain,EN_flood,explosion_earthquake,en,17209,17209,flood,en,8272,8272,MUSE+LF,1.0,1.0,1.0,0.9373818942815642,0.8643142961076755,1.0,1.0,0.8617021276595744,1.0,0.0,0.8630062352442641,0.8630062352442641,0.5,0.8632165671209704,0.8635315589774386,0.55,0.8632132495164411,0.8632132495164411,0.5,0.8632129371646513,0.8632129371646513,0.5,0.863213249516441,0.863213249516441,0.5,0.863213249516441,0.863213249516441,0.5,0.863213249516441,0.863213249516441,0.5,0.726426499032882,0.726426499032882,0.5,0.52,0.8621188381342654,0.8643142961076755,0.8647243713733076,0.8617021276595744,0.8634196390850384,0.8630062352442641,0.8632129371646513,0.863213249516441,0.8621188381342654,0.8643142961076755,0.8647243713733076,0.8617021276595744,0.8634196390850384,0.8630062352442641,0.8632129371646513,0.863213249516441,0.847201384881708,0.881837796674705,0.8874516441005803,0.8399419729206963,0.8668595382889532,0.8603801622190576,0.8636198502540053,0.8636968085106383,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
(b) Monolingual and Cross-Domain,EN_quake,explosion_flood,en,17860,17860,earthquake,en,8611,8611,MUSE+LF,1.0,1.0,1.0,0.9350892909727386,0.8093628863930027,0.9666666666666667,1.0,0.9456509116246661,1.0,0.0,0.8722150814053128,0.8729361091170137,0.55,0.8720044427775655,0.8720044427775655,0.5,0.8614562768551852,0.8663918244106376,0.55,0.8604671653539371,0.8660364659451001,0.55,0.8614562768551852,0.8663918244106376,0.55,0.8614562768551852,0.8663918244106376,0.55,0.8614562768551852,0.8663918244106376,0.55,0.7229125537103704,0.7327836488212751,0.55,0.57,0.9346459991621282,0.8093628863930027,0.7772616420857044,0.9456509116246661,0.8487192493025615,0.8722150814053128,0.8604671653539371,0.8614562768551852,0.9084671154842051,0.832175194777848,0.8148879340378585,0.9178957147834166,0.8591368227731865,0.8729361091170137,0.8660364659451001,0.8663918244106376,0.8980716253443526,0.8441966219142486,0.83288816629892,0.9054697479967484,0.8642525757667049,0.8737602958480418,0.8690064358073734,0.8691789571478342,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
(b) Monolingual and Cross-Domain,ES_expl,earthquake,es,2091,2091,explosion,es,747,747,MUSE+LF,1.0,1.0,1.0,0.8287670987385508,0.8092105263157895,1.0,0.8,0.6586345381526104,1.0,0.0,0.7261992619926199,0.7558685446009389,0.4,0.7607000712843055,0.7607000712843055,0.5,0.7516733601070951,0.7516733601070951,0.5,0.7495050198511782,0.7495050198511782,0.5,0.7516733601070951,0.7516733601070951,0.5,0.7516733601070951,0.7516733601070951,0.5,0.751673360107095,0.751673360107095,0.5,0.5033467202141901,0.5033467202141901,0.5,0.48,0.7121896162528216,0.8092105263157895,0.8447121820615796,0.6586345381526104,0.7728107777097366,0.7261992619926199,0.7495050198511782,0.7516733601070951,0.7121896162528216,0.8092105263157895,0.8447121820615796,0.6586345381526104,0.7728107777097366,0.7261992619926199,0.7495050198511782,0.7516733601070951,0.7363861386138614,0.7784256559766763,0.7965194109772423,0.714859437751004,0.7652733118971061,0.7452896022330774,0.7552814570650918,0.7556894243641231,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
(b) Monolingual and Cross-Domain,ES_quake,explosion,es,75,75,earthquake,es,2507,2507,MUSE+LF,1.0,1.0,1.0,0.8194285358793543,0.6589383770591825,1.0,0.8500000000000001,0.86158755484643,1.0,0.0,0.7467588591184098,0.7467588591184098,0.5,0.7295267922162272,0.7583094650672566,0.65,0.7078181092939768,0.7463103310729956,0.55,0.7007421446193038,0.7463099677965455,0.55,0.7078181092939768,0.7463103310729956,0.55,0.7078181092939768,0.7463103310729956,0.55,0.7078181092939768,0.7463103310729956,0.55,0.41563621858795374,0.4926206621459912,0.55,0.56,0.8001152073732719,0.6589383770591825,0.5540486637415237,0.86158755484643,0.6547254301201979,0.7467588591184098,0.7007421446193038,0.7078181092939768,0.7457222443294866,0.7469012395041983,0.7475069804547267,0.7451136816912645,0.7466135458167331,0.7460063897763578,0.7463099677965455,0.7463103310729956,0.7364688316536021,0.7713062098501071,0.7869964100518548,0.7183885121659354,0.7608947165445431,0.7439074762494837,0.7524010963970134,0.7526924611088951,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
(b) Monolingual and Cross-Domain,IT_flood,earthquake,it,1057,1057,flood,it,1759,1759,MUSE+LF,1.0,1.0,1.0,0.8453600600630689,0.7090909090909091,1.0,0.8500000000000001,0.8425241614553723,1.0,0.0,0.7700701480904132,0.7700701480904132,0.5,0.7575566590272473,0.7753851139048784,0.65,0.7484366117111996,0.7660602615122228,0.55,0.7461897649771174,0.7658100125219414,0.55,0.7484366117111996,0.7660602615122228,0.55,0.7484366117111996,0.7660602615122228,0.55,0.7484366117111996,0.7660602615122228,0.55,0.49687322342239904,0.5321205230244457,0.55,0.55,0.8060224089635855,0.7090909090909091,0.6543490619670267,0.8425241614553723,0.7223093818638217,0.7700701480904132,0.7461897649771174,0.7484366117111996,0.7497331910352187,0.7846715328467153,0.7987492893689596,0.7333712336554861,0.7734654555463804,0.7581545694975023,0.7658100125219414,0.7660602615122228,0.7497331910352187,0.7846715328467153,0.7987492893689596,0.7333712336554861,0.7734654555463804,0.7581545694975023,0.7658100125219414,0.7660602615122228,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
