scenario,experiment,hazard_train,lang_train,train_1,train_0,hazard_test,lang_test,test_1,test_0,features,train_auc,train_f1,train_f1_macro,test_auc,test_prec,test_top_prec,test_th_prec,test_rec,test_top_rec,test_th_rec,test_f1,test_top_f1,test_th_top_f1,test_prec_macro,test_top_prec_macro,test_th_prec_macro,test_rec_macro,test_top_rec_macro,test_th_rec_macro,test_f1_macro,test_top_f1_macro,test_th_top_f1_macro,test_prec_micro,test_top_prec_micro,test_th_prec_micro,test_rec_micro,test_top_rec_micro,test_th_rec_micro,test_f1_micro,test_top_f1_micro,test_th_top_f1_micro,test_kappa,test_top_kappa,test_th_kappa,test_youden,prec_0,prec_1,rec_0,rec_1,f1_0,f1_1,f1_macro,accuracy,prec_kappa_0,prec_kappa_1,rec_kappa_0,rec_kappa_1,f1_kappa_0,f1_kappa_1,f1_kappa_macro,accuracy_kappa,prec_youden_0,prec_youden_1,rec_youden_0,rec_youden_1,f1_youden_0,f1_youden_1,f1_youden_macro,accuracy_youden,prec_dummy_0,prec_dummy_1,rec_dummy_0,rec_dummy_1,f1_dummy_0,f1_dummy_1,f1_dummy_macro,accuracy_dummy
(a) Monolingual and Mono-Domain,EN_flood,flood,en,5173,5173,flood,en,8272,8272,MUSE,1.0,1.0,1.0,0.9466979093789868,0.8487556561085973,1.0,0.9500000000000001,0.9070357833655706,1.0,0.0,0.8769284712482468,0.881228416378885,0.55,0.874468689944226,0.8841872174992389,0.55,0.8727030947775629,0.883583172147002,0.55,0.8725528685735475,0.8835373945336815,0.55,0.8727030947775629,0.8835831721470019,0.55,0.8727030947775629,0.8835831721470019,0.55,0.8727030947775629,0.8835831721470019,0.55,0.7454061895551257,0.7671663442940039,0.55,0.56,0.9001817237798546,0.8487556561085973,0.8383704061895552,0.9070357833655706,0.8681772658988482,0.8769284712482468,0.8725528685735475,0.8727030947775629,0.8689534883720931,0.8994209466263847,0.9034090909090909,0.8637572533849129,0.885846372688478,0.881228416378885,0.8835373945336815,0.8835831721470019,0.8616366537497151,0.9083655083655083,0.913926499032882,0.8532398452611218,0.8870116156282999,0.879940157087645,0.8834758863579724,0.8835831721470019,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
(a) Monolingual and Mono-Domain,EN_quake,earthquake,en,5607,5607,earthquake,en,8611,8611,MUSE,0.9998677892792993,0.9994647636039251,0.9994649544530589,0.8905827000088105,0.8315256688358641,1.0,0.9500000000000001,0.801300661944025,1.0,0.0,0.8161334200721508,0.8161334200721508,0.5,0.8198977514954757,0.8234250852906951,0.55,0.8194750900011614,0.8194750900011614,0.5,0.8194154411452856,0.8194154411452856,0.5,0.8194750900011613,0.8194750900011613,0.5,0.8194750900011613,0.8194750900011613,0.5,0.8194750900011613,0.8194750900011613,0.5,0.6389501800023226,0.6389501800023226,0.5,0.51,0.8082698341550874,0.8315256688358641,0.8376495180582976,0.801300661944025,0.8226974622184203,0.8161334200721508,0.8194154411452856,0.8194750900011613,0.8082698341550874,0.8315256688358641,0.8376495180582976,0.801300661944025,0.8226974622184203,0.8161334200721508,0.8194154411452856,0.8194750900011613,0.8001525553012967,0.8423865755127409,0.8527464870514458,0.7870166066658925,0.825612772655723,0.8137608069164265,0.8196867897860747,0.8198815468586691,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
(a) Monolingual and Mono-Domain,ES_quake,earthquake,es,1411,1411,earthquake,es,2507,2507,MUSE,1.0,1.0,1.0,0.9013629806227446,0.7360472751149048,1.0,0.9500000000000001,0.8942959712804148,1.0,0.0,0.80749144606519,0.8300192431045543,0.6000000000000001,0.8006964017850946,0.8477272874577897,0.6000000000000001,0.786796968488233,0.8414439569206222,0.6000000000000001,0.784304382250472,0.8407244412121537,0.6000000000000001,0.786796968488233,0.8414439569206222,0.6000000000000001,0.786796968488233,0.8414439569206222,0.6000000000000001,0.786796968488233,0.8414439569206222,0.6000000000000001,0.5735939369764659,0.6828879138412445,0.6000000000000001,0.61,0.8653455284552846,0.7360472751149048,0.679297965696051,0.8942959712804148,0.7611173184357543,0.80749144606519,0.784304382250472,0.786796968488233,0.80098452883263,0.8944700460829493,0.9086557638611886,0.7742321499800559,0.8514296393197532,0.8300192431045543,0.8407244412121537,0.8414439569206222,0.80098452883263,0.8944700460829493,0.9086557638611886,0.7742321499800559,0.8514296393197532,0.8300192431045543,0.8407244412121537,0.8414439569206222,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
(a) Monolingual and Mono-Domain,IT_quake,earthquake,it,760,760,earthquake,it,698,698,MUSE,0.9999991343490304,0.9993425378040763,0.9993421049784041,0.8455369824549881,0.6616862326574173,1.0,0.9500000000000001,0.8882521489971347,1.0,0.0,0.7584097859327217,0.7696440564137005,0.55,0.7458757960672708,0.7923056879094699,0.75,0.7170487106017192,0.7750716332378222,0.6000000000000001,0.7085048065359374,0.7748678515006275,0.6000000000000001,0.7170487106017192,0.7750716332378224,0.6000000000000001,0.7170487106017192,0.7750716332378224,0.6000000000000001,0.7170487106017192,0.7750716332378225,0.6000000000000001,0.4340974212034384,0.5501432664756447,0.6000000000000001,0.63,0.8300653594771242,0.6616862326574173,0.5458452722063037,0.8882521489971347,0.658599827139153,0.7584097859327217,0.7085048065359374,0.7170487106017192,0.7594594594594595,0.7926829268292683,0.8051575931232091,0.7449856733524355,0.7816411682892908,0.7680945347119644,0.7748678515006275,0.7750716332378224,0.7477820025348543,0.8220757825370676,0.8452722063037249,0.7148997134670487,0.7935440484196368,0.764750957854406,0.7791475031370214,0.7800859598853869,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
(b) Monolingual and Cross-Domain,EN_expl,earthquake_flood,en,25831,25831,explosion,en,4415,4641,MUSE,0.9999722678729659,0.9997676669893514,0.9997677209429089,0.9402329622501497,0.9285341679707877,1.0,0.9500000000000001,0.8063420158550396,1.0,0.0,0.8631349254455085,0.869866975130133,0.45,0.8824018982328086,0.8824018982328086,0.5,0.8736515078197844,0.8751854256817284,0.45,0.8743333554531608,0.8755165656256982,0.45,0.8753312720848057,0.8757729681978799,0.45,0.8753312720848057,0.8757729681978799,0.45,0.8753312720848057,0.8757729681978799,0.45,0.7497051805094328,0.7511372013731911,0.45,0.4519047619047619,0.8362696284948296,0.9285341679707877,0.9409609997845292,0.8063420158550396,0.8855317854608131,0.8631349254455085,0.8743333554531608,0.8753312720848057,0.8642768338168255,0.8888888888888888,0.898728722258134,0.8516421291053228,0.8811661561212634,0.869866975130133,0.8755165656256982,0.8757729681978799,0.8591778591778592,0.898841139546113,0.909717733247145,0.8432616081540204,0.8837257980115122,0.8701647773752483,0.8769452876933803,0.8773189045936396,0.5124779151943463,0.0,1.0,0.0,0.6776666423304374,0.0,0.3388333211652187,0.5124779151943463
(b) Monolingual and Cross-Domain,EN_flood,explosion_earthquake,en,17209,17209,flood,en,8272,8272,MUSE,0.999973552225437,0.999680316196344,0.9996803997689536,0.9193181935096468,0.8528357840108736,1.0,1.0,0.8343810444874274,1.0,0.0,0.8435074854873206,0.8435074854873206,0.5,0.8453623956144771,0.8498421136236702,0.55,0.8452006769825919,0.8452006769825919,0.5,0.8451825533637644,0.8451825533637644,0.5,0.8452006769825918,0.8452006769825918,0.5,0.8452006769825918,0.8452006769825918,0.5,0.8452006769825919,0.8452006769825919,0.5,0.6904013539651838,0.6904013539651838,0.5,0.511875,0.8378890072180807,0.8528357840108736,0.8560203094777563,0.8343810444874274,0.8468576212402081,0.8435074854873206,0.8451825533637644,0.8452006769825918,0.8378890072180807,0.8528357840108736,0.8560203094777563,0.8343810444874274,0.8468576212402081,0.8435074854873206,0.8451825533637644,0.8452006769825918,0.824833201402239,0.8730035060381769,0.8817698259187621,0.8127417794970987,0.8523517382413087,0.8417955299568021,0.8470736340990555,0.8472558027079303,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
(b) Monolingual and Cross-Domain,EN_quake,explosion_flood,en,17860,17860,earthquake,en,8611,8611,MUSE,0.9999999153550885,0.9999440120933878,0.9999440089583911,0.9236451200948961,0.8189691592733418,0.9633649932157394,0.9,0.9004761351759377,1.0,0.0,0.8577908070136622,0.857804807413843,0.55,0.854222779275567,0.8574586871957011,0.55,0.8507142027639066,0.8574497735454651,0.55,0.850343616155777,0.8574488848757904,0.55,0.8507142027639066,0.8574497735454651,0.55,0.8507142027639066,0.8574497735454651,0.55,0.8507142027639066,0.8574497735454651,0.55,0.7014284055278133,0.7148995470909303,0.55,0.55,0.8894763992777921,0.8189691592733418,0.8009522703518756,0.9004761351759377,0.8428964252978919,0.8577908070136622,0.850343616155777,0.8507142027639066,0.8592436974789915,0.8556736769124105,0.8549529671350599,0.8599465799558704,0.8570929623377379,0.857804807413843,0.8574488848757904,0.8574497735454651,0.8592436974789915,0.8556736769124105,0.8549529671350599,0.8599465799558704,0.8570929623377379,0.857804807413843,0.8574488848757904,0.8574497735454651,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
(b) Monolingual and Cross-Domain,ES_expl,earthquake,es,2091,2091,explosion,es,747,747,MUSE,1.0,1.0,1.0,0.8012514135076675,0.8056537102473498,1.0,0.7000000000000001,0.6104417670682731,1.0,0.0,0.6945925361766946,0.7393939393939394,0.45,0.7460380620202266,0.7604602510460251,0.7000000000000001,0.7315930388219545,0.7409638554216867,0.45,0.7275947755510339,0.7409544547269098,0.45,0.7315930388219545,0.7409638554216867,0.45,0.7315930388219545,0.7409638554216867,0.45,0.7315930388219544,0.7409638554216867,0.45,0.46318607764390896,0.4819277108433735,0.45,0.48,0.6864224137931034,0.8056537102473498,0.8527443105756358,0.6104417670682731,0.7605970149253731,0.6945925361766946,0.7275947755510339,0.7315930388219545,0.7380952380952381,0.7439024390243902,0.7469879518072289,0.7349397590361446,0.7425149700598803,0.7393939393939394,0.7409544547269098,0.7409638554216867,0.7181286549707603,0.7918622848200313,0.821954484605087,0.677376171352075,0.766541822721598,0.7301587301587301,0.748350276440164,0.749665327978581,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
(b) Monolingual and Cross-Domain,ES_quake,explosion,es,75,75,earthquake,es,2507,2507,MUSE,1.0,1.0,1.0,0.8294644162678764,0.6577319587628866,1.0,0.9,0.8907060231352214,1.0,0.0,0.756692646560488,0.756692646560488,0.5,0.7442458434950937,0.7620802800884457,0.65,0.7136019146390108,0.7453131232548863,0.55,0.7043279035032202,0.7448439706892145,0.55,0.7136019146390108,0.7453131232548863,0.55,0.7136019146390108,0.7453131232548863,0.55,0.7136019146390108,0.7453131232548864,0.55,0.4272038292780216,0.4906262465097726,0.55,0.58,0.8307597282273008,0.6577319587628866,0.5364978061428002,0.8907060231352214,0.6519631604459525,0.756692646560488,0.7043279035032202,0.7136019146390108,0.768324607329843,0.7259368111682586,0.7024331870761866,0.788193059433586,0.7339028964367575,0.7557850449416714,0.7448439706892145,0.7453131232548863,0.7391791044776119,0.7746358183376179,0.7901874750698046,0.7211806940566414,0.7638326585695008,0.7469531088618055,0.7553928837156532,0.755684084563223,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
(b) Monolingual and Cross-Domain,IT_flood,earthquake,it,1057,1057,flood,it,1759,1759,MUSE,1.0,1.0,1.0,0.8177631742672541,0.7068437180796732,1.0,0.8500000000000001,0.7868106878908471,1.0,0.0,0.7446865751950499,0.7446865751950499,0.5,0.7332295513475289,0.7694136561301225,0.65,0.7302444570778852,0.7436043206367254,0.55,0.7293785391793267,0.7418744072012742,0.55,0.7302444570778852,0.7436043206367254,0.55,0.7302444570778852,0.7436043206367254,0.55,0.7302444570778852,0.7436043206367254,0.55,0.4604889141557703,0.48720864127345087,0.55,0.53,0.7596153846153846,0.7068437180796732,0.6736782262649232,0.7868106878908471,0.7140705031636035,0.7446865751950499,0.7293785391793267,0.7302444570778852,0.7093307278944797,0.7912984364377974,0.8254690164866402,0.6617396247868107,0.7630057803468209,0.7207430340557276,0.7418744072012742,0.7436043206367254,0.7352941176470589,0.7568370986920333,0.7674815235929505,0.7237066515065378,0.7510431154381085,0.7399011915140946,0.7454721534761015,0.7455940875497442,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
