scenario,experiment,hazard_train,lang_train,train_1,train_0,hazard_test,lang_test,test_1,test_0,features,train_auc,train_f1,train_f1_macro,test_auc,test_prec,test_top_prec,test_th_prec,test_rec,test_top_rec,test_th_rec,test_f1,test_top_f1,test_th_top_f1,test_prec_macro,test_top_prec_macro,test_th_prec_macro,test_rec_macro,test_top_rec_macro,test_th_rec_macro,test_f1_macro,test_top_f1_macro,test_th_top_f1_macro,test_prec_micro,test_top_prec_micro,test_th_prec_micro,test_rec_micro,test_top_rec_micro,test_th_rec_micro,test_f1_micro,test_top_f1_micro,test_th_top_f1_micro,test_kappa,test_top_kappa,test_th_kappa,test_youden,prec_0,prec_1,rec_0,rec_1,f1_0,f1_1,f1_macro,accuracy,prec_kappa_0,prec_kappa_1,rec_kappa_0,rec_kappa_1,f1_kappa_0,f1_kappa_1,f1_kappa_macro,accuracy_kappa,prec_youden_0,prec_youden_1,rec_youden_0,rec_youden_1,f1_youden_0,f1_youden_1,f1_youden_macro,accuracy_youden,prec_dummy_0,prec_dummy_1,rec_dummy_0,rec_dummy_1,f1_dummy_0,f1_dummy_1,f1_dummy_macro,accuracy_dummy
(a) Monolingual and Mono-Domain,EN_flood,flood,en,5173,5173,flood,en,8272,8272,XLM-R,1.0,1.0,1.0,0.9571118772658059,0.9123425692695214,1.0,1.0,0.875725338491296,1.0,0.0,0.8936590180113495,0.8999404407385349,0.45,0.8964316286607952,0.8988053149873851,0.45,0.8957930367504836,0.8984526112185687,0.45,0.8957510543955776,0.8984301541034679,0.45,0.8957930367504836,0.8984526112185687,0.45,0.8957930367504836,0.8984526112185687,0.45,0.8957930367504836,0.8984526112185687,0.45,0.7915860735009671,0.7969052224371374,0.45,0.46,0.8805206880520688,0.9123425692695214,0.9158607350096711,0.875725338491296,0.8978430907798056,0.8936590180113495,0.8957510543955776,0.8957930367504836,0.9106653376526289,0.8869452923221414,0.8835831721470019,0.9133220502901354,0.896919867468401,0.8999404407385349,0.8984301541034679,0.8984526112185687,0.9055862492326581,0.8933206334087391,0.8916827852998066,0.9070357833655706,0.898580739477371,0.9001259672485153,0.8993533533629432,0.8993592843326886,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
(a) Monolingual and Mono-Domain,EN_quake,earthquake,en,5607,5607,earthquake,en,8611,8611,XLM-R,1.0,1.0,1.0,0.9221540612624086,0.8750157173393688,1.0,0.9500000000000001,0.8081523632563001,1.0,0.0,0.8402559768171938,0.8528779825850956,0.45,0.8483936068625855,0.8499302181911508,0.45,0.846359307862037,0.8489141795378006,0.45,0.8461346998179928,0.8488044286955791,0.45,0.846359307862037,0.8489141795378005,0.45,0.846359307862037,0.8489141795378005,0.45,0.846359307862037,0.8489141795378004,0.45,0.6927186157240739,0.6978283590756009,0.45,0.47,0.8217714963858022,0.8750157173393688,0.8845662524677738,0.8081523632563001,0.8520134228187919,0.8402559768171938,0.8461346998179928,0.846359307862037,0.8687860562170124,0.8310743801652892,0.8219718964115666,0.8758564626640344,0.8447308748060628,0.8528779825850956,0.8488044286955791,0.8489141795378005,0.8502617801047121,0.8489625594065144,0.8486819184763674,0.8505400069678318,0.8494711147274207,0.8497505511080171,0.8496108329177189,0.8496109627220997,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
(a) Monolingual and Mono-Domain,ES_quake,earthquake,es,1411,1411,earthquake,es,2507,2507,XLM-R,1.0,1.0,1.0,0.8878947483146115,0.7114661654135338,1.0,1.0,0.9058635819704827,1.0,0.0,0.796981926653799,0.8096357226792008,0.6000000000000001,0.7909690870975463,0.8065556349511717,0.6000000000000001,0.7692461108895094,0.8061428001595532,0.6000000000000001,0.7648573296932658,0.8060775118881578,0.6000000000000001,0.7692461108895093,0.8061428001595532,0.6000000000000001,0.7692461108895093,0.8061428001595532,0.6000000000000001,0.7692461108895093,0.8061428001595532,0.6000000000000001,0.5384922217790187,0.6122856003191065,0.6000000000000001,0.61,0.8704720087815587,0.7114661654135338,0.6326286398085361,0.9058635819704827,0.7327327327327327,0.796981926653799,0.7648573296932658,0.7692461108895093,0.8178053830227743,0.795305886879569,0.7877941763063422,0.8244914240127642,0.8025193010971149,0.8096357226792008,0.8060775118881578,0.8061428001595532,0.8178053830227743,0.795305886879569,0.7877941763063422,0.8244914240127642,0.8025193010971149,0.8096357226792008,0.8060775118881578,0.8061428001595532,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
(a) Monolingual and Mono-Domain,IT_quake,earthquake,it,760,760,earthquake,it,698,698,XLM-R,1.0,1.0,1.0,0.8334927463649723,0.5753660637381568,0.9565217391304348,0.9,0.9570200573065902,1.0,0.0,0.7186659494351803,0.7581081081081081,0.6000000000000001,0.7238532446350359,0.77711300780825,0.7000000000000001,0.6253581661891118,0.7593123209169055,0.65,0.5790543037636781,0.7588961331351275,0.65,0.6253581661891118,0.7593123209169055,0.65,0.6253581661891118,0.7593123209169055,0.65,0.6253581661891118,0.7593123209169055,0.65,0.25071633237822355,0.518624641833811,0.65,0.66,0.8723404255319149,0.5753660637381568,0.29369627507163326,0.9570200573065902,0.43944265809217586,0.7186659494351803,0.5790543037636781,0.6253581661891118,0.7394179894179894,0.7828125,0.8008595988538681,0.7177650429799427,0.7689133425034387,0.7488789237668163,0.7588961331351275,0.7593123209169055,0.7337579617834394,0.8003273322422259,0.8252148997134671,0.7005730659025788,0.7768037761294673,0.747135217723453,0.7619694969264601,0.7628939828080229,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
(b) Monolingual and Cross-Domain,EN_expl,earthquake_flood,en,25831,25831,explosion,en,4415,4641,XLM-R,1.0,1.0,1.0,0.9766836432281772,0.9720990873533246,1.0,1.0,0.8443941109852775,1.0,0.0,0.9037575757575758,0.9247239125535271,0.35000000000000003,0.9202575498057564,0.9281154646126912,0.45,0.9106693674943624,0.9265368278158899,0.4,0.9116232616163664,0.9268802942858739,0.4,0.9123233215547704,0.9270097173144877,0.4,0.9123233215547704,0.9270097173144877,0.4,0.9123233215547704,0.9270097173144877,0.4,0.8239743249214484,0.8538034924899255,0.4,0.41,0.8684160122581881,0.9720990873533246,0.9769446240034475,0.8443941109852775,0.9194889474751571,0.9037575757575758,0.9116232616163664,0.9123233215547704,0.9149291075896581,0.9406103286384977,0.9454858866623572,0.9075877689694224,0.9299565539896153,0.9238040345821326,0.9268802942858739,0.9270097173144877,0.9124767225325885,0.9452995500828795,0.9502262443438914,0.9041902604756512,0.9309689677010766,0.92428802963649,0.9276284986687833,0.9277826855123675,0.5124779151943463,0.0,1.0,0.0,0.6776666423304374,0.0,0.3388333211652187,0.5124779151943463
(b) Monolingual and Cross-Domain,EN_flood,explosion_earthquake,en,17209,17209,flood,en,8272,8272,XLM-R,1.0,1.0,1.0,0.9392059235859874,0.8985963531418076,1.0,0.9500000000000001,0.8280947775628626,1.0,0.0,0.8619062598301352,0.8664667066586683,0.45,0.8695985913226132,0.8695985913226132,0.5,0.867323500967118,0.867323500967118,0.5,0.8671190113784539,0.8671190113784539,0.5,0.867323500967118,0.867323500967118,0.5,0.867323500967118,0.867323500967118,0.5,0.8673235009671179,0.8673235009671179,0.5,0.7346470019342359,0.7346470019342359,0.5,0.48,0.8406008295034189,0.8985963531418076,0.9065522243713733,0.8280947775628626,0.8723317629267725,0.8619062598301352,0.8671190113784539,0.867323500967118,0.8406008295034189,0.8985963531418076,0.9065522243713733,0.8280947775628626,0.8723317629267725,0.8619062598301352,0.8671190113784539,0.867323500967118,0.856279772278378,0.8863550459871488,0.8909574468085106,0.8504593810444874,0.8732744830854907,0.8680362761428836,0.8706553796141872,0.870708413926499,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
(b) Monolingual and Cross-Domain,EN_quake,explosion_flood,en,17860,17860,earthquake,en,8611,8611,XLM-R,1.0,1.0,1.0,0.9465566043416634,0.8286576168929111,0.9914529914529915,1.0,0.9570317036348857,1.0,0.0,0.88823022203061,0.8899037138927097,0.55,0.8889062442029486,0.8889062442029486,0.5,0.8795726396469632,0.8838114040181164,0.55,0.8788457253154056,0.8834545307431463,0.55,0.8795726396469632,0.8838114040181163,0.55,0.8795726396469632,0.8838114040181163,0.55,0.8795726396469632,0.8838114040181164,0.55,0.7591452792939264,0.7676228080362327,0.55,0.59,0.9491548715129862,0.8286576168929111,0.8021135756590407,0.9570317036348857,0.8694612286002014,0.88823022203061,0.8788457253154056,0.8795726396469632,0.9315748237137634,0.8455667084901715,0.828475206131692,0.9391476019045407,0.8770053475935828,0.8899037138927097,0.8834545307431463,0.8838114040181163,0.915026945732548,0.8582711240939089,0.8478690047613517,0.9212635001741958,0.8801687763713081,0.8886524028228969,0.8844105895971025,0.8845662524677738,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
(b) Monolingual and Cross-Domain,ES_expl,earthquake,es,2091,2091,explosion,es,747,747,XLM-R,1.0,1.0,1.0,0.8632441412235287,0.8026124818577649,1.0,0.8500000000000001,0.7402945113788487,1.0,0.0,0.7701949860724233,0.7902187902187903,0.45,0.7808093465189445,0.7836236424733365,0.45,0.7791164658634537,0.7817938420348058,0.45,0.7787830600465209,0.781441333742589,0.45,0.7791164658634538,0.7817938420348058,0.45,0.7791164658634538,0.7817938420348058,0.45,0.7791164658634538,0.7817938420348057,0.45,0.5582329317269077,0.5635876840696118,0.45,0.48,0.7590062111801242,0.8026124818577649,0.8179384203480589,0.7402945113788487,0.7873711340206185,0.7701949860724233,0.7787830600465209,0.7791164658634538,0.8064046579330422,0.7608426270136307,0.7416331994645248,0.821954484605087,0.7726638772663877,0.7902187902187903,0.781441333742589,0.7817938420348058,0.7787958115183246,0.7917808219178082,0.7965194109772423,0.7737617135207496,0.7875579086697552,0.7826675693974272,0.7851127390335912,0.785140562248996,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
(b) Monolingual and Cross-Domain,ES_quake,explosion,es,75,75,earthquake,es,2507,2507,XLM-R,1.0,1.0,1.0,0.8362800353664706,0.6620465939250958,1.0,0.9,0.895492620662146,1.0,0.0,0.7612750084774499,0.7735455751373886,0.55,0.7503085711461586,0.7645791102788342,0.55,0.7191862784204228,0.7616673314718787,0.55,0.7101774558125749,0.7610097903049604,0.55,0.7191862784204228,0.7616673314718787,0.55,0.7191862784204228,0.7616673314718787,0.55,0.7191862784204228,0.7616673314718787,0.55,0.43837255684084564,0.5233346629437574,0.55,0.56,0.8385705483672212,0.6620465939250958,0.5428799361786997,0.895492620662146,0.6590799031476998,0.7612750084774499,0.7101774558125749,0.7191862784204228,0.7923351158645277,0.7368231046931408,0.7092142002393299,0.8141204627044276,0.7484740054725322,0.7735455751373886,0.7610097903049604,0.7616673314718787,0.78125,0.7517006802721088,0.7379337854008775,0.7933785400877543,0.7589743589743588,0.7719774888414516,0.7654759239079052,0.7656561627443159,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
(b) Monolingual and Cross-Domain,IT_flood,earthquake,it,1057,1057,flood,it,1759,1759,XLM-R,1.0,1.0,1.0,0.916455483873887,0.7105831533477321,1.0,0.8,0.9351904491188175,1.0,0.0,0.8075601374570446,0.841081081081081,0.55,0.8079100305392027,0.8448415041422956,0.6000000000000001,0.7771461057418989,0.8382603752131894,0.6000000000000001,0.7714370572497917,0.8374849956666552,0.6000000000000001,0.7771461057418988,0.8382603752131893,0.6000000000000001,0.7771461057418988,0.8382603752131893,0.6000000000000001,0.7771461057418988,0.8382603752131894,0.6000000000000001,0.5542922114837976,0.6765207504263786,0.6000000000000001,0.59,0.9052369077306733,0.7105831533477321,0.6191017623649802,0.9351904491188175,0.7353139770425389,0.8075601374570446,0.7714370572497917,0.7771461057418988,0.7972027972027972,0.8924802110817942,0.9073337123365549,0.7691870380898238,0.8487104493485775,0.8262595419847328,0.8374849956666552,0.8382603752131893,0.82829373650108,0.8649459783913566,0.8720864127345083,0.8192154633314384,0.8496261423428413,0.8414598540145987,0.8455429981787199,0.8456509380329733,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
