scenario,experiment,hazard_train,lang_train,train_1,train_0,hazard_test,lang_test,test_1,test_0,features,train_auc,train_f1,train_f1_macro,test_auc,test_prec,test_top_prec,test_th_prec,test_rec,test_top_rec,test_th_rec,test_f1,test_top_f1,test_th_top_f1,test_prec_macro,test_top_prec_macro,test_th_prec_macro,test_rec_macro,test_top_rec_macro,test_th_rec_macro,test_f1_macro,test_top_f1_macro,test_th_top_f1_macro,test_prec_micro,test_top_prec_micro,test_th_prec_micro,test_rec_micro,test_top_rec_micro,test_th_rec_micro,test_f1_micro,test_top_f1_micro,test_th_top_f1_micro,test_kappa,test_top_kappa,test_th_kappa,test_youden,prec_0,prec_1,rec_0,rec_1,f1_0,f1_1,f1_macro,accuracy,prec_kappa_0,prec_kappa_1,rec_kappa_0,rec_kappa_1,f1_kappa_0,f1_kappa_1,f1_kappa_macro,accuracy_kappa,prec_youden_0,prec_youden_1,rec_youden_0,rec_youden_1,f1_youden_0,f1_youden_1,f1_youden_macro,accuracy_youden,prec_dummy_0,prec_dummy_1,rec_dummy_0,rec_dummy_1,f1_dummy_0,f1_dummy_1,f1_dummy_macro,accuracy_dummy
(a) Monolingual and Mono-Domain,EN_flood,flood,en,5173,5173,flood,en,8272,8272,XLM-T,1.0,1.0,1.0,0.9596898380007222,0.9236482084690554,1.0,1.0,0.8569874274661509,1.0,0.0,0.8890700445224807,0.904109589041096,0.4,0.8951311287017731,0.9031260077516632,0.45,0.8930730174081238,0.9031068665377175,0.45,0.8929335987736959,0.9031057163550342,0.45,0.8930730174081238,0.9031068665377177,0.45,0.8930730174081238,0.9031068665377177,0.45,0.8930730174081238,0.9031068665377177,0.45,0.7861460348162476,0.8062137330754352,0.45,0.45,0.8666140489344909,0.9236482084690554,0.9291586073500967,0.8569874274661509,0.896797153024911,0.8890700445224807,0.8929335987736959,0.8930730174081238,0.9003481810541482,0.9059038344491783,0.9065522243713733,0.8996615087040619,0.903439551834227,0.9027718808758416,0.9031057163550342,0.9031068665377177,0.9003481810541482,0.9059038344491783,0.9065522243713733,0.8996615087040619,0.903439551834227,0.9027718808758416,0.9031057163550342,0.9031068665377177,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
(a) Monolingual and Mono-Domain,EN_quake,earthquake,en,5607,5607,earthquake,en,8611,8611,XLM-T,1.0,1.0,1.0,0.9115844702070839,0.882747729964469,0.9765625,0.8,0.7790036000464522,1.0,0.0,0.8276372609500309,0.8441860465116279,0.45,0.8424961761118199,0.8443873367831785,0.45,0.837765648589014,0.844385088839856,0.45,0.8372035158539777,0.8443848349004439,0.45,0.837765648589014,0.844385088839856,0.45,0.837765648589014,0.844385088839856,0.45,0.8377656485890141,0.844385088839856,0.45,0.6755312971780281,0.6887701776797119,0.45,0.45,0.8022446222591707,0.882747729964469,0.8965276971315759,0.7790036000464522,0.8467697707579246,0.8276372609500309,0.8372035158539777,0.837765648589014,0.8435074713309394,0.8452672022354174,0.8456625246777377,0.8431076530019742,0.8445836232892601,0.8441860465116279,0.8443848349004439,0.844385088839856,0.8435074713309394,0.8452672022354174,0.8456625246777377,0.8431076530019742,0.8445836232892601,0.8441860465116279,0.8443848349004439,0.844385088839856,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
(a) Monolingual and Mono-Domain,ES_quake,earthquake,es,1411,1411,earthquake,es,2507,2507,XLM-T,1.0,1.0,1.0,0.8992060364207185,0.7501663339986693,1.0,1.0,0.8994814519345832,1.0,0.0,0.8180663885361872,0.8211657051919634,0.6000000000000001,0.812334163015271,0.8281065431050794,0.65,0.7999601116872757,0.8266852812126047,0.65,0.7979589971473848,0.8264973905317694,0.65,0.7999601116872757,0.8266852812126048,0.65,0.7999601116872757,0.8266852812126048,0.65,0.7999601116872757,0.8266852812126048,0.65,0.5999202233745513,0.6533705624252094,0.65,0.65,0.8745019920318725,0.7501663339986693,0.7004387714399681,0.8994814519345832,0.7778516057585826,0.8180663885361872,0.7979589971473848,0.7999601116872757,0.8065119760479041,0.8497011101622545,0.8595931392102114,0.793777423214998,0.8322069897663641,0.8207877912971746,0.8264973905317694,0.8266852812126048,0.8065119760479041,0.8497011101622545,0.8595931392102114,0.793777423214998,0.8322069897663641,0.8207877912971746,0.8264973905317694,0.8266852812126048,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
(a) Monolingual and Mono-Domain,IT_quake,earthquake,it,760,760,earthquake,it,698,698,XLM-T,1.0,1.0,1.0,0.7822298256992963,0.5602775368603643,0.9178082191780822,0.9,0.9255014326647565,1.0,0.0,0.6980010804970286,0.7353723404255318,0.6000000000000001,0.6731428836565196,0.7369840858303394,0.8,0.5995702005730659,0.7249283667621776,0.65,0.5519760981656238,0.7249142512300406,0.65,0.5995702005730659,0.7249283667621776,0.65,0.5995702005730659,0.7249283667621776,0.65,0.5995702005730659,0.7249283667621778,0.65,0.19914040114613185,0.4498567335243553,0.65,0.68,0.7860082304526749,0.5602775368603643,0.27363896848137537,0.9255014326647565,0.40595111583421895,0.6980010804970286,0.5519760981656238,0.5995702005730659,0.7217514124293786,0.7281976744186046,0.7320916905444126,0.7177650429799427,0.7268847795163584,0.7229437229437229,0.7249142512300406,0.7249283667621776,0.6956521739130435,0.766497461928934,0.8022922636103151,0.6489971346704871,0.7451763140385894,0.7028704422032582,0.7240233781209238,0.7256446991404012,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
(b) Monolingual and Cross-Domain,EN_expl,earthquake_flood,en,25831,25831,explosion,en,4415,4641,XLM-T,1.0,1.0,1.0,0.9840360780604602,0.9758023433520122,1.0,1.0,0.8677236693091732,1.0,0.0,0.9185948926987171,0.9423713340180304,0.4,0.9309810937032965,0.9444421755840047,0.4,0.923626971478547,0.9440163660202299,0.4,0.9245517703694179,0.9441774308340232,0.4,0.9250220848056537,0.9442358657243817,0.4,0.9250220848056537,0.9442358657243817,0.4,0.9250220848056537,0.9442358657243817,0.4,0.8495449762605459,0.8883609787972568,0.4,0.41,0.8861598440545809,0.9758023433520122,0.9795302736479207,0.8677236693091732,0.9305086480401188,0.9185948926987171,0.9245517703694179,0.9250220848056537,0.9392523364485982,0.9496320147194113,0.9528118939883645,0.9352208380520951,0.9459835276500159,0.9423713340180304,0.9441774308340232,0.9442358657243817,0.9366982124079916,0.9565217391304348,0.9597069597069597,0.9318233295583239,0.9480630055342699,0.9440110142267094,0.9460370098804897,0.946113074204947,0.5124779151943463,0.0,1.0,0.0,0.6776666423304374,0.0,0.3388333211652187,0.5124779151943463
(b) Monolingual and Cross-Domain,EN_flood,explosion_earthquake,en,17209,17209,flood,en,8272,8272,XLM-T,1.0,1.0,1.0,0.947894998484786,0.906136245449818,1.0,1.0,0.8426015473887815,1.0,0.0,0.8732147331495866,0.8827104772221219,0.45,0.8795254205107201,0.8822227074558114,0.45,0.8776595744680851,0.8821929400386848,0.45,0.8775090250658001,0.8821906462972974,0.45,0.8776595744680851,0.8821929400386848,0.45,0.8776595744680851,0.8821929400386848,0.45,0.8776595744680851,0.8821929400386848,0.45,0.7553191489361702,0.7643858800773694,0.45,0.46,0.8529145955716222,0.906136245449818,0.9127176015473888,0.8426015473887815,0.8818033169820135,0.8732147331495866,0.8775090250658001,0.8776595744680851,0.8855958043663862,0.8788496105452367,0.8777804642166345,0.886605415860735,0.8816708153724728,0.8827104772221219,0.8821906462972974,0.8821929400386848,0.880562905941785,0.8844471445929526,0.8850338491295938,0.8799564796905223,0.8827927167490656,0.8821960974427342,0.8824944070958999,0.882495164410058,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
(b) Monolingual and Cross-Domain,EN_quake,explosion_flood,en,17860,17860,earthquake,en,8611,8611,XLM-T,1.0,1.0,1.0,0.9472316948121481,0.8395613322502031,0.9855595667870036,1.0,0.9601672279642318,1.0,0.0,0.895823175686657,0.895823175686657,0.5,0.8965232752924464,0.8965232752924464,0.5,0.8883404947160609,0.8900824526768087,0.55,0.8877614470863688,0.8897490915427173,0.55,0.8883404947160608,0.8900824526768087,0.55,0.8883404947160608,0.8900824526768087,0.55,0.8883404947160608,0.8900824526768087,0.55,0.7766809894321217,0.7801649053536175,0.55,0.55,0.9534852183346895,0.8395613322502031,0.8165137614678899,0.9601672279642318,0.8796997184860808,0.895823175686657,0.8877614470863688,0.8883404947160608,0.9382828810020877,0.851433354258213,0.835094646382534,0.9450702589710835,0.8836866359447003,0.8958115471407342,0.8897490915427173,0.8900824526768087,0.9382828810020877,0.851433354258213,0.835094646382534,0.9450702589710835,0.8836866359447003,0.8958115471407342,0.8897490915427173,0.8900824526768087,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
(b) Monolingual and Cross-Domain,ES_expl,earthquake,es,2091,2091,explosion,es,747,747,XLM-T,1.0,1.0,1.0,0.8726140617803656,0.8323615160349854,1.0,0.9500000000000001,0.7643908969210174,1.0,0.0,0.7969295184926728,0.8076416337285903,0.45,0.8072698669283838,0.8072698669283838,0.5,0.8052208835341366,0.8052208835341366,0.5,0.8048956274135389,0.8048956274135389,0.5,0.8052208835341366,0.8052208835341366,0.5,0.8052208835341366,0.8052208835341366,0.5,0.8052208835341366,0.8052208835341366,0.5,0.6104417670682731,0.6104417670682731,0.5,0.48,0.7821782178217822,0.8323615160349854,0.8460508701472557,0.7643908969210174,0.8128617363344051,0.7969295184926728,0.8048956274135389,0.8052208835341366,0.7821782178217822,0.8323615160349854,0.8460508701472557,0.7643908969210174,0.8128617363344051,0.7969295184926728,0.8048956274135389,0.8052208835341366,0.7989690721649485,0.8231197771587744,0.8299866131191432,0.7911646586345381,0.8141825344714381,0.8068259385665528,0.8105042365189954,0.8105756358768407,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
(b) Monolingual and Cross-Domain,ES_quake,explosion,es,75,75,earthquake,es,2507,2507,XLM-T,1.0,1.0,1.0,0.8528149104326792,0.6985271074898151,1.0,0.8500000000000001,0.8891104906262465,1.0,0.0,0.7823797823797823,0.7823797823797823,0.5,0.7730156107937282,0.776224413109659,0.55,0.7526924611088951,0.7760271240526526,0.55,0.7480028242152953,0.7759871246112154,0.55,0.7526924611088951,0.7760271240526526,0.55,0.7526924611088951,0.7760271240526526,0.55,0.7526924611088951,0.7760271240526526,0.55,0.5053849222177902,0.5520542481053051,0.55,0.55,0.8475041140976413,0.6985271074898151,0.6162744315915437,0.8891104906262465,0.7136258660508082,0.7823797823797823,0.7480028242152953,0.7526924611088951,0.7688422688422688,0.7836065573770492,0.7893897088153171,0.762664539289988,0.7789805156465263,0.7729937335759046,0.7759871246112154,0.7760271240526526,0.7688422688422688,0.7836065573770492,0.7893897088153171,0.762664539289988,0.7789805156465263,0.7729937335759046,0.7759871246112154,0.7760271240526526,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
(b) Monolingual and Cross-Domain,IT_flood,earthquake,it,1057,1057,flood,it,1759,1759,XLM-T,1.0,1.0,1.0,0.8925201053236809,0.6728971962616822,1.0,0.9500000000000001,0.9414440022740194,1.0,0.0,0.7848341232227488,0.8138619060120766,0.55,0.7877257977524116,0.8181328475700995,0.6000000000000001,0.7418988061398522,0.8160886867538374,0.6000000000000001,0.7311954707022834,0.8157927811425991,0.6000000000000001,0.7418988061398522,0.8160886867538374,0.6000000000000001,0.7418988061398522,0.8160886867538374,0.6000000000000001,0.7418988061398523,0.8160886867538374,0.6000000000000001,0.4837976122797044,0.6321773735076748,0.6000000000000001,0.6,0.902554399243141,0.6728971962616822,0.542353610005685,0.9414440022740194,0.6775568181818181,0.7848341232227488,0.7311954707022834,0.7418988061398522,0.7926315789473685,0.8436341161928307,0.8561682774303582,0.7760090960773166,0.823175731074064,0.8084098312111342,0.8157927811425991,0.8160886867538374,0.8065934065934066,0.8286219081272085,0.8345650938032974,0.7998862990335418,0.8203408773400391,0.8140005785363031,0.8171707279381711,0.8172256964184196,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
