scenario,experiment,hazard_train,lang_train,train_1,train_0,hazard_test,lang_test,test_1,test_0,features,train_auc,train_f1,train_f1_macro,test_auc,test_prec,test_top_prec,test_th_prec,test_rec,test_top_rec,test_th_rec,test_f1,test_top_f1,test_th_top_f1,test_prec_macro,test_top_prec_macro,test_th_prec_macro,test_rec_macro,test_top_rec_macro,test_th_rec_macro,test_f1_macro,test_top_f1_macro,test_th_top_f1_macro,test_prec_micro,test_top_prec_micro,test_th_prec_micro,test_rec_micro,test_top_rec_micro,test_th_rec_micro,test_f1_micro,test_top_f1_micro,test_th_top_f1_micro,test_kappa,test_top_kappa,test_th_kappa,test_youden,prec_0,prec_1,rec_0,rec_1,f1_0,f1_1,f1_macro,accuracy,prec_kappa_0,prec_kappa_1,rec_kappa_0,rec_kappa_1,f1_kappa_0,f1_kappa_1,f1_kappa_macro,accuracy_kappa,prec_youden_0,prec_youden_1,rec_youden_0,rec_youden_1,f1_youden_0,f1_youden_1,f1_youden_macro,accuracy_youden,prec_dummy_0,prec_dummy_1,rec_dummy_0,rec_dummy_1,f1_dummy_0,f1_dummy_1,f1_dummy_macro,accuracy_dummy
(a) Monolingual and Mono-Domain,EN_flood,flood,en,5173,5173,flood,en,8272,8272,BERT,1.0,1.0,1.0,0.9292217558756627,0.889762729938683,1.0,1.0,0.8069390715667312,1.0,0.0,0.8463294028147585,0.8592319649951063,0.4,0.8565712565862404,0.8586852516976262,0.45,0.8534816247582205,0.8586798839458414,0.45,0.8531635462728061,0.8586793552273203,0.45,0.8534816247582205,0.8586798839458414,0.45,0.8534816247582205,0.8586798839458414,0.45,0.8534816247582205,0.8586798839458414,0.45,0.7069632495164411,0.7173597678916828,0.45,0.44,0.8233797832337978,0.889762729938683,0.9000241779497099,0.8069390715667312,0.8599976897308537,0.8463294028147585,0.8531635462728061,0.8534816247582205,0.8600728155339806,0.8572976878612717,0.8567456479690522,0.8606141199226306,0.858406007751938,0.8589527027027026,0.8586793552273203,0.8586798839458414,0.867912849715276,0.8510512638790456,0.8475580270793037,0.8710106382978723,0.8576146788990825,0.8609152825905126,0.8592649807447976,0.8592843326885881,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
(a) Monolingual and Mono-Domain,EN_quake,earthquake,en,5607,5607,earthquake,en,8611,8611,BERT,1.0,1.0,1.0,0.8956338993313235,0.876120619396903,1.0,0.9500000000000001,0.7490419231215887,1.0,0.0,0.8076128466787705,0.831215759412519,0.45,0.8284761311994657,0.8318613235039748,0.45,0.8215654395540588,0.8318429915224712,0.45,0.8206219720373442,0.8318406692469282,0.45,0.8215654395540588,0.8318429915224712,0.45,0.8215654395540588,0.8318429915224712,0.45,0.8215654395540588,0.8318429915224712,0.45,0.6431308791081175,0.6636859830449425,0.45,0.46,0.7808316430020285,0.876120619396903,0.8940889559865288,0.7490419231215887,0.833631097395918,0.8076128466787705,0.8206219720373442,0.8215654395540588,0.8293948126801153,0.8343278343278343,0.8355591685054,0.8281268145395424,0.8324655790813376,0.831215759412519,0.8318406692469282,0.8318429915224712,0.8213764454923094,0.8442573662056524,0.8496109627220997,0.8152363256300081,0.8352551661148533,0.8294930875576036,0.8323741268362285,0.8324236441760539,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
(a) Monolingual and Mono-Domain,ES_quake,earthquake,es,1411,1411,earthquake,es,2507,2507,BERT,1.0,1.0,1.0,0.890810079603198,0.728427222403126,1.0,1.0,0.8923015556441962,1.0,0.0,0.8020795984223735,0.8104600114525672,0.55,0.7947334259210689,0.8127256795398945,0.65,0.7798165137614679,0.8105305145592341,0.6000000000000001,0.776994855390962,0.8104520721858741,0.6000000000000001,0.7798165137614679,0.8105305145592342,0.6000000000000001,0.7798165137614679,0.8105305145592342,0.6000000000000001,0.779816513761468,0.8105305145592342,0.6000000000000001,0.5596330275229358,0.6210610291184683,0.6000000000000001,0.61,0.8610396294390118,0.728427222403126,0.6673314718787395,0.8923015556441962,0.7519101123595505,0.8020795984223735,0.776994855390962,0.7798165137614679,0.798390187811422,0.8237006237006237,0.8308735540486637,0.7901874750698046,0.8143080531665363,0.8065960912052118,0.8104520721858741,0.8105305145592342,0.798390187811422,0.8237006237006237,0.8308735540486637,0.7901874750698046,0.8143080531665363,0.8065960912052118,0.8104520721858741,0.8105305145592342,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
(a) Monolingual and Mono-Domain,IT_quake,earthquake,it,760,760,earthquake,it,698,698,BERT,1.0,1.0,1.0,0.7856534429109778,0.5678793256433008,0.9473684210526315,0.9,0.9169054441260746,1.0,0.0,0.7013698630136987,0.7211131276467029,0.55,0.6761329713718363,0.7518117672025041,0.7000000000000001,0.6095988538681949,0.7156160458452722,0.65,0.5688855519825474,0.7133910503613046,0.65,0.6095988538681948,0.7156160458452722,0.65,0.6095988538681948,0.7156160458452722,0.65,0.6095988538681948,0.7156160458452722,0.65,0.2191977077363897,0.43123209169054444,0.65,0.64,0.7843866171003717,0.5678793256433008,0.3022922636103152,0.9169054441260746,0.4364012409513961,0.7013698630136987,0.5688855519825474,0.6095988538681948,0.6833130328867235,0.7617391304347826,0.8037249283667621,0.6275071633237822,0.7386438446346281,0.6881382560879811,0.7133910503613046,0.7156160458452722,0.6936708860759494,0.7524752475247525,0.7851002865329513,0.6532951289398281,0.7365591397849462,0.6993865030674846,0.7179728214262154,0.7191977077363897,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
(b) Monolingual and Cross-Domain,EN_expl,earthquake_flood,en,25831,25831,explosion,en,4415,4641,BERT,0.9999999999999999,1.0,1.0,0.9617291885828293,0.9582073137200989,1.0,1.0,0.7893544733861835,1.0,0.0,0.8656234475906607,0.8969938107869142,0.35000000000000003,0.8932944669726164,0.8994968374658114,0.4,0.8783014556114284,0.8990044175175079,0.4,0.879034387811235,0.8991766617504273,0.4,0.8805212014134276,0.8992932862190812,0.4,0.8805212014134276,0.8992932862190812,0.4,0.8805212014134276,0.8992932862190812,0.4,0.7598631631124657,0.7983698740705235,0.4,0.41,0.8283816202251338,0.9582073137200989,0.9672484378366731,0.7893544733861835,0.8924453280318092,0.8656234475906607,0.879034387811235,0.8805212014134276,0.8947702731314843,0.9042234018001385,0.9105796164619694,0.8874292185730465,0.9026057240495515,0.8957475994513032,0.8991766617504273,0.8992932862190812,0.8912588874947721,0.9113242863827796,0.9183365653953889,0.8822197055492639,0.9045951395521596,0.8965358499251928,0.9005654947386762,0.9007287985865724,0.5124779151943463,0.0,1.0,0.0,0.6776666423304374,0.0,0.3388333211652187,0.5124779151943463
(b) Monolingual and Cross-Domain,EN_flood,explosion_earthquake,en,17209,17209,flood,en,8272,8272,BERT,1.0,1.0,1.0,0.9227777345518333,0.8740983606557376,1.0,1.0,0.8057301740812379,1.0,0.0,0.8385229917594513,0.8472994796339494,0.45,0.8469606053755199,0.8469606053755199,0.5,0.844838007736944,0.8456842359767891,0.45,0.8446003359704709,0.8456669675034552,0.45,0.844838007736944,0.8456842359767892,0.45,0.844838007736944,0.8456842359767892,0.45,0.8448380077369441,0.8456842359767892,0.45,0.6896760154738878,0.6913684719535783,0.45,0.48,0.8198228500953022,0.8740983606557376,0.8839458413926499,0.8057301740812379,0.8506776801814905,0.8385229917594513,0.8446003359704709,0.844838007736944,0.8531554896875386,0.8385225523854622,0.8351063829787234,0.8562620889748549,0.844034455372961,0.8472994796339494,0.8456669675034552,0.8456842359767892,0.8354695875087392,0.8615925646822407,0.866779497098646,0.8293036750483559,0.8508365966536133,0.8451398299864482,0.8479882133200307,0.848041586073501,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
(b) Monolingual and Cross-Domain,EN_quake,explosion_flood,en,17860,17860,earthquake,en,8611,8611,BERT,1.0,1.0,1.0,0.939563613805715,0.8181726806714242,0.9655172413793104,1.0,0.9453025200325166,1.0,0.0,0.8771551724137931,0.8779381671367733,0.55,0.8767063045870527,0.8767063045870527,0.5,0.8676111949831611,0.8726048078039716,0.6000000000000001,0.8668072512786669,0.8725770907045254,0.6000000000000001,0.8676111949831611,0.8726048078039716,0.6000000000000001,0.8676111949831611,0.8726048078039716,0.6000000000000001,0.8676111949831611,0.8726048078039715,0.6000000000000001,0.7352223899663222,0.7452096156079433,0.6000000000000001,0.57,0.9352399285026811,0.8181726806714242,0.7899198699338056,0.9453025200325166,0.8564593301435406,0.8771551724137931,0.8668072512786669,0.8676111949831611,0.883929639822903,0.8619289340101522,0.857856230402973,0.8873533852049704,0.8706977840641207,0.8744563973449302,0.8725770907045254,0.8726048078039716,0.9048998614435068,0.8462781428417537,0.8342817326675183,0.9123214493090234,0.8681570996978851,0.8780596848105511,0.8731083922542181,0.8733015909882709,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
(b) Monolingual and Cross-Domain,ES_expl,earthquake,es,2091,2091,explosion,es,747,747,BERT,1.0,1.0,1.0,0.8619484631968302,0.8262839879154078,1.0,0.8,0.7322623828647925,1.0,0.0,0.7764371894960964,0.7854828256642903,0.45,0.7929496862653962,0.7962856387363706,0.55,0.7891566265060241,0.7891566265060241,0.5,0.7884719196372185,0.7884719196372185,0.5,0.7891566265060241,0.7891566265060241,0.5,0.7891566265060241,0.7891566265060241,0.5,0.7891566265060241,0.7891566265060241,0.5,0.5783132530120482,0.5783132530120482,0.5,0.52,0.7596153846153846,0.8262839879154078,0.8460508701472557,0.7322623828647925,0.8005066497783407,0.7764371894960964,0.7884719196372185,0.7891566265060241,0.7596153846153846,0.8262839879154078,0.8460508701472557,0.7322623828647925,0.8005066497783407,0.7764371894960964,0.7884719196372185,0.7891566265060241,0.7497155858930603,0.8569105691056911,0.8821954484605087,0.7054886211512718,0.8105781057810578,0.7738619676945669,0.7922200367378124,0.7938420348058902,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
(b) Monolingual and Cross-Domain,ES_quake,explosion,es,75,75,earthquake,es,2507,2507,BERT,1.0,1.0,1.0,0.8513605860511191,0.6321160042964554,0.9419354838709677,0.75,0.9389708815317112,1.0,0.0,0.7555769539399776,0.7911530094271211,0.55,0.7567556765668324,0.7815315483309009,0.55,0.6962504986039091,0.7702433187076188,0.55,0.6772354087582426,0.7679169302454754,0.55,0.6962504986039091,0.7702433187076186,0.55,0.6962504986039091,0.7702433187076186,0.55,0.6962504986039091,0.7702433187076186,0.55,0.39250099720781806,0.5404866374152373,0.55,0.58,0.8813953488372093,0.6321160042964554,0.4535301156761069,0.9389708815317112,0.5988938635765078,0.7555769539399776,0.6772354087582426,0.6962504986039091,0.8379052369077307,0.7251578597540711,0.6701236537694456,0.8703629836457918,0.7446808510638298,0.7911530094271211,0.7679169302454754,0.7702433187076186,0.7830264211369096,0.7810015898251192,0.7802153968887116,0.7838053450339051,0.7816183816183816,0.7824009556042205,0.7820096686113011,0.7820103709613083,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
(b) Monolingual and Cross-Domain,IT_flood,earthquake,it,1057,1057,flood,it,1759,1759,BERT,1.0,1.0,1.0,0.8469576265133331,0.6691081430417923,1.0,0.8,0.8828880045480386,1.0,0.0,0.7612745098039216,0.7697963800904978,0.55,0.7485056170513891,0.7846286432819904,0.6000000000000001,0.7231381466742467,0.7686185332575326,0.55,0.715887593196954,0.7686124757595346,0.55,0.7231381466742467,0.7686185332575327,0.55,0.7231381466742467,0.7686185332575327,0.55,0.7231381466742467,0.7686185332575327,0.55,0.4462762933484935,0.5372370665150654,0.55,0.57,0.8279030910609858,0.6691081430417923,0.5633882888004548,0.8828880045480386,0.6705006765899865,0.7612745098039216,0.715887593196954,0.7231381466742467,0.7713957495692131,0.7658975801913337,0.763501989766913,0.7737350767481523,0.7674285714285715,0.7697963800904978,0.7686124757595346,0.7686185332575327,0.7502564102564102,0.8112244897959183,0.831722569641842,0.7231381466742467,0.7888918846050148,0.7646528403967539,0.7767723625008843,0.7774303581580443,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5
