scenario,experiment,hazard_train,lang_train,train_1,train_0,hazard_test,lang_test,test_1,test_0,features,train_auc,train_f1,train_f1_macro,test_auc,test_prec,test_top_prec,test_th_prec,test_rec,test_top_rec,test_th_rec,test_f1,test_top_f1,test_th_top_f1,test_prec_macro,test_top_prec_macro,test_th_prec_macro,test_rec_macro,test_top_rec_macro,test_th_rec_macro,test_f1_macro,test_top_f1_macro,test_th_top_f1_macro,test_prec_micro,test_top_prec_micro,test_th_prec_micro,test_rec_micro,test_top_rec_micro,test_th_rec_micro,test_f1_micro,test_top_f1_micro,test_th_top_f1_micro,test_kappa,test_top_kappa,test_th_kappa,test_youden,prec_0,prec_1,rec_0,rec_1,f1_0,f1_1,f1_macro,accuracy,prec_kappa_0,prec_kappa_1,rec_kappa_0,rec_kappa_1,f1_kappa_0,f1_kappa_1,f1_kappa_macro,accuracy_kappa,prec_youden_0,prec_youden_1,rec_youden_0,rec_youden_1,f1_youden_0,f1_youden_1,f1_youden_macro,accuracy_youden,prec_dummy_0,prec_dummy_1,rec_dummy_0,rec_dummy_1,f1_dummy_0,f1_dummy_1,f1_dummy_macro,accuracy_dummy
(a) Monolingual and Mono-Domain,EN_flood,flood,en,5173,5173,flood,en,8272,5747,BERT,0.9999999999999999,1.0,1.0,0.9368220434747051,0.8781268524007113,1.0,1.0,0.8954303675048356,1.0,0.0,0.8866942000359131,0.8866942000359131,0.5,0.8616099878049401,0.8616099878049401,0.5,0.8582772161171298,0.8662598205303651,0.55,0.8598151963907392,0.8610043555699858,0.55,0.864968970682645,0.864968970682645,0.5,0.864968970682645,0.864968970682645,0.5,0.864968970682645,0.864968970682645,0.5,0.7196697367787668,0.7224091208954331,0.55,0.56,0.8450931232091691,0.8781268524007113,0.821124064729424,0.8954303675048356,0.8329361927455652,0.8866942000359131,0.8598151963907392,0.864968970682645,0.8058654765699713,0.91078114912847,0.8797633547938055,0.8527562862669246,0.8411945761583896,0.880814134981582,0.8610043555699858,0.8638276624580926,0.7985959438377536,0.9174661584965172,0.8907255959631112,0.843931334622824,0.8421485563872666,0.879163780618349,0.8606561685028078,0.8631143448177473,0.0,0.5900563520935873,0.0,1.0,0.0,0.7421829437889732,0.3710914718944866,0.5900563520935873
(a) Monolingual and Mono-Domain,EN_quake,earthquake,en,5607,5607,earthquake,en,8611,1225,BERT,0.9999999840959075,0.999910817800767,0.9999108257528133,0.7580889654665721,0.9434255517562947,1.0,0.9,0.704912321449309,1.0,0.0,0.8069125955466933,0.9335935382447011,0.0,0.5982559857546905,0.6545262478520975,0.15000000000000002,0.703884732153226,0.703884732153226,0.5,0.5895379921757672,0.6173036137704291,0.45,0.7046563643757625,0.8754575030500203,0.0,0.7046563643757625,0.8754575030500203,0.0,0.7046563643757625,0.8754575030500203,0.0,0.23140276141728244,0.2527665048620985,0.45,0.51,0.25308641975308643,0.9434255517562947,0.7028571428571428,0.704912321449309,0.3721633888048412,0.8069125955466933,0.5895379921757672,0.7046563643757625,0.28352649006622516,0.9272237196765498,0.5591836734693878,0.7989780513296946,0.376270255424334,0.8583369721165243,0.6173036137704291,0.7691134607564051,0.24560922063666302,0.9467054263565892,0.7306122448979592,0.6807571710602718,0.3676319572807558,0.7920016212929812,0.5798167892868685,0.686966246441643,0.0,0.8754575030500203,0.0,1.0,0.0,0.9335935382447011,0.4667967691223506,0.8754575030500203
(a) Monolingual and Mono-Domain,ES_quake,earthquake,es,1411,1411,earthquake,es,2507,453,BERT,1.0,1.0,1.0,0.8194362627908962,0.9030694668820679,1.0,0.9500000000000001,0.8919026725169525,1.0,0.0,0.8974513345374274,0.91965938541281,0.30000000000000004,0.6715760557550835,0.9240527740189446,0.2,0.6810506740068206,0.7624545312859095,0.65,0.6760469052623103,0.6760469052623103,0.5,0.8273648648648648,0.8533783783783784,0.30000000000000004,0.8273648648648648,0.8533783783783784,0.30000000000000004,0.8273648648648648,0.8533783783783784,0.30000000000000004,0.3522271367733669,0.3551821042171036,0.55,0.65,0.44008264462809915,0.9030694668820679,0.47019867549668876,0.8919026725169525,0.45464247598719315,0.8974513345374274,0.6760469052623103,0.8273648648648648,0.3967065868263473,0.9179755671902269,0.5849889624724062,0.8392500997207818,0.4727921498661909,0.8768493436132527,0.6748207467397218,0.8003378378378379,0.31389776357827476,0.9648711943793911,0.8675496688741722,0.6573593936976466,0.46099706744868035,0.7819691577698694,0.6214831126092749,0.6895270270270271,0.0,0.8469594594594595,0.0,1.0,0.0,0.9171391988293397,0.45856959941466985,0.8469594594594595
(a) Monolingual and Mono-Domain,IT_quake,earthquake,it,760,760,earthquake,it,698,198,BERT,1.0,1.0,1.0,0.7094548638244914,0.8106734434561627,1.0,0.8500000000000001,0.9140401146131805,1.0,0.0,0.8592592592592593,0.8757841907151819,0.0,0.6301073639299162,0.6436781609195402,0.4,0.5807574310439639,0.6516888078492663,0.65,0.5892387501508023,0.6244505707421308,0.6000000000000001,0.7667410714285714,0.7790178571428571,0.0,0.7667410714285714,0.7790178571428571,0.0,0.7667410714285713,0.7790178571428571,0.0,0.19250737361367432,0.25778661365142475,0.6000000000000001,0.68,0.44954128440366975,0.8106734434561627,0.2474747474747475,0.9140401146131805,0.3192182410423453,0.8592592592592593,0.5892387501508023,0.7667410714285714,0.3824561403508772,0.8543371522094927,0.5505050505050505,0.7478510028653295,0.4513457556935818,0.7975553857906799,0.6244505707421308,0.7042410714285714,0.3273942093541203,0.8859060402684564,0.7424242424242424,0.5673352435530086,0.45440494590417313,0.6917030567685589,0.5730540013363661,0.6060267857142857,0.0,0.7790178571428571,0.0,1.0,0.0,0.8757841907151819,0.43789209535759094,0.7790178571428571
(b) Monolingual and Cross-Domain,EN_expl,earthquake_flood,en,25831,25831,explosion,en,4415,4641,BERT,0.9999971869216147,0.9999612868259069,0.9999612868259069,0.9542888816821266,0.931425625161124,1.0,0.9,0.8183465458663647,1.0,0.0,0.8712322160598023,0.8847651775486827,0.45,0.8882548253292581,0.8891876612954276,0.45,0.8805156560402714,0.8885684563920524,0.45,0.8812262119207139,0.888769286706552,0.45,0.8820671378091873,0.8889134275618374,0.45,0.8820671378091873,0.8889134275618374,0.45,0.8820671378091873,0.8889134275618374,0.45,0.7632875721011929,0.7775657310529493,0.45,0.44,0.8450840254973924,0.931425625161124,0.942684766214178,0.8183465458663647,0.8912202077816257,0.8712322160598023,0.8812262119207139,0.8820671378091873,0.8833579413625817,0.8950173812282735,0.9023917259211377,0.8747451868629672,0.8927733958644212,0.8847651775486827,0.888769286706552,0.8889134275618374,0.8901523278266467,0.8880546075085324,0.8939883645765999,0.8840317100792752,0.8920662223177811,0.886038592508513,0.8890524074131471,0.8891342756183745,0.5124779151943463,0.0,1.0,0.0,0.6776666423304374,0.0,0.3388333211652187,0.5124779151943463
(b) Monolingual and Cross-Domain,EN_flood,explosion_earthquake,en,17209,17209,flood,en,8272,5747,BERT,0.999999988181652,0.9999709445913357,0.9999709454355035,0.9226851054069417,0.901391806722689,1.0,1.0,0.8299081237911026,1.0,0.0,0.8641742195367573,0.8719144103759489,0.45,0.8408255300988113,0.8431887921510528,0.45,0.8496156244499276,0.8496156244499276,0.5,0.8432805254062388,0.8432805254062388,0.5,0.8460660532134959,0.8471360296740138,0.45,0.8460660532134959,0.8471360296740138,0.45,0.8460660532134959,0.8471360296740138,0.45,0.6872582358392589,0.6872582358392589,0.5,0.49,0.7802592534749336,0.901391806722689,0.8693231251087524,0.8299081237911026,0.8223868312757202,0.8641742195367573,0.8432805254062388,0.8460660532134959,0.7802592534749336,0.901391806722689,0.8693231251087524,0.8299081237911026,0.8223868312757202,0.8641742195367573,0.8432805254062388,0.8460660532134959,0.7911189483808914,0.8956432335175427,0.8587088915956151,0.8424806576402321,0.8235294117647058,0.8682489254344983,0.8458891685996021,0.8491333190669805,0.0,0.5900563520935873,0.0,1.0,0.0,0.7421829437889732,0.3710914718944866,0.5900563520935873
(b) Monolingual and Cross-Domain,EN_quake,explosion_flood,en,17860,17860,earthquake,en,8611,1225,BERT,1.0,1.0,1.0,0.8163997165467045,0.9281291732426854,1.0,1.0,0.8878179073278365,1.0,0.0,0.9075261158594492,0.9353092360693388,0.15000000000000002,0.6620007967526748,0.8048603332993924,0.05,0.7022763006026937,0.7486581235676247,0.65,0.6779131995727841,0.6779131995727841,0.5,0.8416022773485157,0.8797275315168768,0.15000000000000002,0.8416022773485157,0.8797275315168768,0.15000000000000002,0.8416022773485157,0.8797275315168768,0.15000000000000002,0.3577146434302344,0.35816301641645865,0.55,0.65,0.39587242026266417,0.9281291732426854,0.516734693877551,0.8878179073278365,0.44830028328611893,0.9075261158594492,0.6779131995727841,0.8416022773485157,0.3681592039800995,0.9380270891898799,0.6040816326530613,0.8525142259900128,0.4574961360123648,0.8932286913670379,0.6753624136897013,0.8215738104920699,0.30669398907103823,0.9526635784597568,0.7330612244897959,0.7642550226454535,0.43245846376113656,0.8481216573232813,0.6402900605422089,0.7603700691337942,0.0,0.8754575030500203,0.0,1.0,0.0,0.9335935382447011,0.4667967691223506,0.8754575030500203
(b) Monolingual and Cross-Domain,ES_expl,earthquake,es,2091,2091,explosion,es,747,50,BERT,1.0,1.0,1.0,0.6696117804551539,0.9566854990583804,1.0,0.75,0.6800535475234271,1.0,0.0,0.7949921752738655,0.9676165803108808,0.0,0.5290946292284383,0.5748024425287357,0.30000000000000004,0.6100267737617135,0.6126104417670684,0.65,0.4829391256116163,0.5559625414888574,0.35000000000000003,0.671267252195734,0.9372647427854455,0.0,0.671267252195734,0.9372647427854455,0.0,0.671267252195734,0.9372647427854455,0.0,0.07297604460781704,0.1129555518719364,0.35000000000000003,0.47,0.10150375939849623,0.9566854990583804,0.54,0.6800535475234271,0.17088607594936708,0.7949921752738655,0.4829391256116163,0.671267252195734,0.15625,0.9454297407912687,0.2,0.927710843373494,0.17543859649122806,0.9364864864864866,0.5559625414888574,0.8820577164366374,0.1188118811881188,0.9563025210084034,0.48,0.7617135207496654,0.19047619047619047,0.8479880774962743,0.5192321339862324,0.7440401505646174,0.0,0.9372647427854455,0.0,1.0,0.0,0.9676165803108808,0.4838082901554404,0.9372647427854455
(b) Monolingual and Cross-Domain,ES_quake,explosion,es,75,75,earthquake,es,2507,453,BERT,1.0,1.0,1.0,0.7185113470362455,0.8750495834986116,1.0,0.8,0.879936178699641,1.0,0.0,0.8774860779634049,0.917444627494051,0.30000000000000004,0.5947001903825633,0.7988836265223275,0.30000000000000004,0.5922859701445224,0.6629362729170685,0.6000000000000001,0.5934515591610747,0.5967787906222516,0.55,0.7918918918918919,0.8476351351351351,0.30000000000000004,0.7918918918918919,0.8476351351351351,0.30000000000000004,0.791891891891892,0.8476351351351351,0.30000000000000004,0.18693865029033452,0.20884818438132724,0.55,0.62,0.3143507972665148,0.8750495834986116,0.304635761589404,0.879936178699641,0.3094170403587444,0.8774860779634049,0.5934515591610747,0.7918918918918919,0.28553299492385786,0.8950276243093923,0.4966887417218543,0.775428799361787,0.36261079774375504,0.8309467835007481,0.5967787906222516,0.7327702702702703,0.241869918699187,0.9353099730458221,0.7880794701986755,0.55364978061428,0.3701399688958009,0.6955650212979203,0.5328524950968606,0.589527027027027,0.0,0.8469594594594595,0.0,1.0,0.0,0.9171391988293397,0.45856959941466985,0.8469594594594595
(b) Monolingual and Cross-Domain,IT_flood,earthquake,it,1057,1057,flood,it,1759,138,BERT,1.0,1.0,1.0,0.6655214178016164,0.9393346379647749,1.0,0.7000000000000001,0.8186469584991473,1.0,0.0,0.8748481166464155,0.962253829321663,0.0,0.5314805057955743,0.5657049537289058,0.4,0.5723669575104432,0.6306448822206293,0.6000000000000001,0.527065492586156,0.5364125122189638,0.4,0.7828149710068529,0.9272535582498682,0.0,0.7828149710068529,0.9272535582498682,0.0,0.7828149710068529,0.9272535582498682,0.0,0.08248828991700219,0.08248828991700219,0.5,0.6,0.12362637362637363,0.9393346379647749,0.32608695652173914,0.8186469584991473,0.17928286852589642,0.8748481166464155,0.527065492586156,0.7828149710068529,0.12362637362637363,0.9393346379647749,0.32608695652173914,0.8186469584991473,0.17928286852589642,0.8748481166464155,0.527065492586156,0.7828149710068529,0.10847107438016529,0.9644779332615716,0.7608695652173914,0.5093803297328028,0.189873417721519,0.6666666666666667,0.42827004219409287,0.5276752767527675,0.0,0.9272535582498682,0.0,1.0,0.0,0.962253829321663,0.4811269146608315,0.9272535582498682
