scenario,experiment,hazard_train,lang_train,train_1,train_0,hazard_test,lang_test,test_1,test_0,features,train_auc,train_f1,train_f1_macro,test_auc,test_prec,test_top_prec,test_th_prec,test_rec,test_top_rec,test_th_rec,test_f1,test_top_f1,test_th_top_f1,test_prec_macro,test_top_prec_macro,test_th_prec_macro,test_rec_macro,test_top_rec_macro,test_th_rec_macro,test_f1_macro,test_top_f1_macro,test_th_top_f1_macro,test_prec_micro,test_top_prec_micro,test_th_prec_micro,test_rec_micro,test_top_rec_micro,test_th_rec_micro,test_f1_micro,test_top_f1_micro,test_th_top_f1_micro,test_kappa,test_top_kappa,test_th_kappa,test_youden,prec_0,prec_1,rec_0,rec_1,f1_0,f1_1,f1_macro,accuracy,prec_kappa_0,prec_kappa_1,rec_kappa_0,rec_kappa_1,f1_kappa_0,f1_kappa_1,f1_kappa_macro,accuracy_kappa,prec_youden_0,prec_youden_1,rec_youden_0,rec_youden_1,f1_youden_0,f1_youden_1,f1_youden_macro,accuracy_youden,prec_dummy_0,prec_dummy_1,rec_dummy_0,rec_dummy_1,f1_dummy_0,f1_dummy_1,f1_dummy_macro,accuracy_dummy
(a) Monolingual and Mono-Domain,EN_flood,flood,en,5173,5173,flood,en,8272,5747,LF,1.0,1.0,1.0,0.906132528484292,0.8417454711176939,0.9765886287625418,0.9500000000000001,0.8931334622823984,1.0,0.0,0.8666783975599741,0.869915014164306,0.4,0.8365537733306898,0.848667220257334,0.30000000000000004,0.8257210725367099,0.8292304827949928,0.6000000000000001,0.8299175953583836,0.8299175953583836,0.5,0.8378629003495256,0.8378629003495256,0.5,0.8378629003495256,0.8378629003495256,0.5,0.8378629003495256,0.8378629003495256,0.5,0.6602975976001171,0.6602975976001171,0.5,0.59,0.8313620755436856,0.8417454711176939,0.7583086827910214,0.8931334622823984,0.7931567931567931,0.8666783975599741,0.8299175953583836,0.8378629003495256,0.8313620755436856,0.8417454711176939,0.7583086827910214,0.8931334622823984,0.7931567931567931,0.8666783975599741,0.8299175953583836,0.8378629003495256,0.7783243154615511,0.8737373737373737,0.8259961719157821,0.8365570599613152,0.8014519669086612,0.8547430830039525,0.8280975249563068,0.8322276909907982,0.0,0.5900563520935873,0.0,1.0,0.0,0.7421829437889732,0.3710914718944866,0.5900563520935873
(a) Monolingual and Mono-Domain,EN_quake,earthquake,en,5607,5607,earthquake,en,8611,1225,LF,0.9999998568631678,0.9997324534023009,0.9997324772584397,0.696909126674709,0.9170724919994434,1.0,1.0,0.7654163279526187,1.0,0.0,0.8344094189137865,0.9339914302760753,0.1,0.5772602928098387,0.9377732587697001,0.05,0.6394428578538605,0.6533988562327729,0.55,0.5795691906133207,0.5998879198237643,0.4,0.7340382269215128,0.876270841805612,0.1,0.7340382269215128,0.876270841805612,0.1,0.7340382269215127,0.876270841805612,0.1,0.18610500827244003,0.20205107722452875,0.4,0.56,0.23744809362023406,0.9170724919994434,0.5134693877551021,0.7654163279526187,0.324728962312855,0.8344094189137865,0.5795691906133207,0.7340382269215128,0.2780916509730069,0.9051316268348902,0.3616326530612245,0.8664498896759958,0.3144073811213627,0.885368458526166,0.5998879198237643,0.8035786905246035,0.2196947883674057,0.9273927392739274,0.6228571428571429,0.6852862617582163,0.3248190719455087,0.7881661546680914,0.5564926133068,0.6775111834078894,0.0,0.8754575030500203,0.0,1.0,0.0,0.9335935382447011,0.4667967691223506,0.8754575030500203
(a) Monolingual and Mono-Domain,ES_quake,earthquake,es,1411,1411,earthquake,es,2507,453,LF,1.0,1.0,1.0,0.7009728169513882,0.8834991708126037,1.0,1.0,0.8500199441563622,1.0,0.0,0.8664362675340517,0.9193875668695811,0.1,0.5986838919756449,0.8371809478123563,0.05,0.6148554466918676,0.6398697333999019,0.7000000000000001,0.6050463055951977,0.6137031898581651,0.4,0.7780405405405405,0.8523648648648648,0.1,0.7780405405405405,0.8523648648648648,0.1,0.7780405405405405,0.8523648648648648,0.1,0.21153777541362717,0.22814579842103744,0.4,0.71,0.31386861313868614,0.8834991708126037,0.37969094922737306,0.8500199441563622,0.3436563436563436,0.8664362675340517,0.6050463055951977,0.7780405405405405,0.36503856041131105,0.8790353947880202,0.31346578366445915,0.9014758675708018,0.33729216152019004,0.8901142181961402,0.6137031898581651,0.8114864864864865,0.2527881040892193,0.9039278131634819,0.6004415011037527,0.679297965696051,0.355788096795291,0.7756775222045091,0.5657328094999001,0.6672297297297297,0.0,0.8469594594594595,0.0,1.0,0.0,0.9171391988293397,0.45856959941466985,0.8469594594594595
(a) Monolingual and Mono-Domain,IT_quake,earthquake,it,760,760,earthquake,it,698,198,LF,1.0,1.0,1.0,0.6185638621168708,0.7881136950904393,0.8888888888888888,0.9500000000000001,0.8739255014326648,1.0,0.0,0.8288043478260869,0.8757841907151819,0.0,0.5334011098403015,0.5721076583409681,0.75,0.5228213365749182,0.6042155075106365,0.75,0.5206521739130434,0.5526345028951896,0.7000000000000001,0.71875,0.7790178571428571,0.0,0.71875,0.7790178571428571,0.0,0.71875,0.7790178571428571,0.0,0.05291768732592872,0.15157852059705312,0.7000000000000001,0.76,0.2786885245901639,0.7881136950904393,0.1717171717171717,0.8739255014326648,0.21249999999999997,0.8288043478260869,0.5206521739130434,0.71875,0.3012658227848101,0.8423153692614771,0.601010101010101,0.6045845272206304,0.4013490725126475,0.7039199332777316,0.5526345028951896,0.6037946428571429,0.2891566265060241,0.864321608040201,0.7272727272727273,0.49283667621776506,0.4137931034482758,0.6277372262773722,0.520765164862824,0.5446428571428571,0.0,0.7790178571428571,0.0,1.0,0.0,0.8757841907151819,0.43789209535759094,0.7790178571428571
(b) Monolingual and Cross-Domain,EN_expl,earthquake_flood,en,25831,25831,explosion,en,4415,4641,LF,0.9999981401010782,0.9999032151913435,0.9999032170647308,0.9627637656683024,0.9204160619254959,1.0,1.0,0.8618346545866364,1.0,0.0,0.890162592116037,0.9041155866900175,0.35000000000000003,0.8982413507514517,0.9045353566373906,0.35000000000000003,0.8954723800836651,0.9040520468140214,0.35000000000000003,0.8959858239258425,0.9033759108122099,0.4,0.8963118374558304,0.9033789752650176,0.4,0.8963118374558304,0.9033789752650176,0.4,0.8963118374558304,0.9033789752650176,0.4,0.7921723751509293,0.8068239606548873,0.4,0.41,0.8760666395774076,0.9204160619254959,0.9291101055806938,0.8618346545866364,0.901809055735648,0.890162592116037,0.8959858239258425,0.8963118374558304,0.9216300940438872,0.8856209150326797,0.8868778280542986,0.9207248018120046,0.9039200614911607,0.9028317601332592,0.9033759108122099,0.9033789752650176,0.9191829484902309,0.8899384885764499,0.892049127343245,0.9175537938844847,0.9054127938764353,0.9035351845656294,0.9044739892210323,0.9044832155477032,0.5124779151943463,0.0,1.0,0.0,0.6776666423304374,0.0,0.3388333211652187,0.5124779151943463
(b) Monolingual and Cross-Domain,EN_flood,explosion_earthquake,en,17209,17209,flood,en,8272,5747,LF,0.9999982745211872,0.9998547229566784,0.9998547271775169,0.8982879891249291,0.8550796198000247,1.0,1.0,0.8374032882011605,1.0,0.0,0.8461491479875404,0.8581342434584756,0.4,0.8139034462636487,0.8339501452841146,0.30000000000000004,0.8165613970151444,0.8165613970151444,0.5,0.8151020064841259,0.8179946138319127,0.45,0.8203152863970326,0.8263071545759326,0.45,0.8203152863970326,0.8263071545759326,0.45,0.8203152863970326,0.8263071545759326,0.45,0.6302606205918884,0.6364192697015403,0.45,0.52,0.7727272727272727,0.8550796198000247,0.7957195058291282,0.8374032882011605,0.7840548649807114,0.8461491479875404,0.8151020064841259,0.8203152863970326,0.813874147081122,0.8338099050669107,0.7471724377936314,0.8812862669245648,0.7790982491154858,0.8568909785483397,0.8179946138319127,0.8263071545759326,0.7596949537562875,0.8644348268839104,0.814685923090308,0.8209622823984526,0.7862300587741394,0.8421378968253969,0.8141839777997681,0.8183893287681004,0.0,0.5900563520935873,0.0,1.0,0.0,0.7421829437889732,0.3710914718944866,0.5900563520935873
(b) Monolingual and Cross-Domain,EN_quake,explosion_flood,en,17860,17860,earthquake,en,8611,1225,LF,1.0,1.0,1.0,0.7143151498202347,0.9038031319910514,0.9654427645788337,1.0,0.938334688189525,1.0,0.0,0.920745256680531,0.9382309339482787,0.15000000000000002,0.6555846017098115,0.8850329055439703,0.05,0.6181469359314973,0.6453070230530954,0.9,0.6324612657754376,0.6328929009934144,0.55,0.8585807238714924,0.8856242374949166,0.15000000000000002,0.8585807238714924,0.8856242374949166,0.15000000000000002,0.8585807238714924,0.8856242374949166,0.15000000000000002,0.267053717810231,0.2698864363637693,0.45,0.85,0.40736607142857145,0.9038031319910514,0.2979591836734694,0.938334688189525,0.3441772748703442,0.920745256680531,0.6324612657754376,0.8585807238714924,0.44986449864498645,0.901846559683447,0.2710204081632653,0.9528510045290907,0.3382577687213449,0.926647467389463,0.632452618055404,0.867934119560797,0.20672703751617078,0.928655166638754,0.6522448979591837,0.6439437928231332,0.31394891944990183,0.7605266767247291,0.5372377980873154,0.6449776331842212,0.0,0.8754575030500203,0.0,1.0,0.0,0.9335935382447011,0.4667967691223506,0.8754575030500203
(b) Monolingual and Cross-Domain,ES_expl,earthquake,es,2091,2091,explosion,es,747,50,LF,1.0,1.0,1.0,0.5987416331994645,0.9448051948051948,1.0,0.9500000000000001,0.7791164658634538,1.0,0.0,0.8539985326485694,0.9676165803108808,0.0,0.5166014924302217,0.5319284802043422,0.9500000000000001,0.5495582329317269,0.5790763052208836,0.6000000000000001,0.49626333558835395,0.5305488621151272,0.35000000000000003,0.7503136762860728,0.9372647427854455,0.0,0.7503136762860728,0.9372647427854455,0.0,0.7503136762860727,0.9372647427854455,0.0,0.04460052889335997,0.06109772423025439,0.35000000000000003,0.7,0.08839779005524862,0.9448051948051948,0.32,0.7791164658634538,0.13852813852813853,0.8539985326485694,0.49626333558835395,0.7503136762860728,0.12,0.9410977242302544,0.12,0.9410977242302544,0.12,0.9410977242302544,0.5305488621151272,0.8895859473023839,0.07765151515151515,0.966542750929368,0.82,0.34805890227576974,0.14186851211072665,0.5118110236220473,0.326839767866387,0.37766624843161856,0.0,0.9372647427854455,0.0,1.0,0.0,0.9676165803108808,0.4838082901554404,0.9372647427854455
(b) Monolingual and Cross-Domain,ES_quake,explosion,es,75,75,earthquake,es,2507,453,LF,1.0,1.0,1.0,0.6308979449153848,0.8790322580645161,1.0,0.9500000000000001,0.782608695652174,1.0,0.0,0.828022789618063,0.9171391988293397,0.0,0.5652029422190712,0.5996869324804164,0.30000000000000004,0.5932911027929744,0.600692013796249,0.55,0.5689648241062373,0.5860033650054332,0.45,0.7246621621621622,0.8469594594594595,0.0,0.7246621621621622,0.8469594594594595,0.0,0.7246621621621622,0.8469594594594595,0.0,0.14942288815425753,0.17289385465623353,0.45,0.53,0.25137362637362637,0.8790322580645161,0.40397350993377484,0.782608695652174,0.30990685859441147,0.828022789618063,0.5689648241062373,0.7246621621621622,0.2876190476190476,0.8759753593429158,0.3333333333333333,0.8508177104108496,0.3087934560327198,0.8632132739781465,0.5860033650054332,0.7716216216216216,0.24130190796857465,0.8849685838569357,0.4746136865342163,0.7303550059832469,0.3199404761904762,0.8002622377622377,0.560101356976357,0.6912162162162162,0.0,0.8469594594594595,0.0,1.0,0.0,0.9171391988293397,0.45856959941466985,0.8469594594594595
(b) Monolingual and Cross-Domain,IT_flood,earthquake,it,1057,1057,flood,it,1759,138,LF,1.0,1.0,1.0,0.6219607649273715,0.9302857142857143,1.0,0.9500000000000001,0.9255258669698693,1.0,0.0,0.9278996865203761,0.962253829321663,0.0,0.5195646258503401,0.5471091133439098,0.25,0.5207339479776882,0.5844847615987344,0.7000000000000001,0.520090194137381,0.5272995298123209,0.55,0.8666315234580917,0.9272535582498682,0.0,0.8666315234580917,0.9272535582498682,0.0,0.8666315234580918,0.9272535582498682,0.0,0.040258122314142275,0.06937002976335471,0.6000000000000001,0.79,0.10884353741496598,0.9302857142857143,0.11594202898550725,0.9255258669698693,0.11228070175438597,0.9278996865203761,0.520090194137381,0.8666315234580917,0.11488250652741515,0.9379128137384413,0.3188405797101449,0.8072768618533257,0.1689059500959693,0.8677054689886954,0.5183057095423323,0.771744860305746,0.09166666666666666,0.9598278335724534,0.7971014492753623,0.3803297328027288,0.16442451420029894,0.5447882736156352,0.35460639390796705,0.4106483921982077,0.0,0.9272535582498682,0.0,1.0,0.0,0.962253829321663,0.4811269146608315,0.9272535582498682
(b) Monolingual and Cross-Domain,IT_quake,flood,it,207,207,earthquake,it,698,198,LF,1.0,1.0,1.0,0.5998849526786489,0.8008298755186722,1.0,0.9,0.829512893982808,1.0,0.0,0.8149190710767066,0.8763339610797237,0.25,0.5564843019211858,0.8899441340782123,0.25,0.5511200833550404,0.5710399120141241,0.55,0.5530120961852536,0.5550638640249421,0.55,0.7064732142857143,0.7801339285714286,0.25,0.7064732142857143,0.7801339285714286,0.25,0.7064732142857143,0.7801339285714286,0.25,0.10708277126877541,0.12180839185131886,0.55,0.59,0.31213872832369943,0.8008298755186722,0.2727272727272727,0.829512893982808,0.29110512129380056,0.8149190710767066,0.5530120961852536,0.7064732142857143,0.296551724137931,0.8151815181518152,0.43434343434343436,0.7077363896848138,0.3524590163934426,0.7576687116564416,0.5550638640249421,0.6473214285714286,0.2810126582278481,0.8263473053892215,0.5606060606060606,0.5931232091690545,0.37436762225969644,0.6905754795663053,0.5324715509130009,0.5859375,0.0,0.7790178571428571,0.0,1.0,0.0,0.8757841907151819,0.43789209535759094,0.7790178571428571
(c) Cross-lingual and Mono-Domain,ES_expl,explosion,en,4641,4641,explosion,es,747,50,LF,1.0,1.0,1.0,0.5600669344042837,0.9467455621301775,1.0,1.0,0.856760374832664,1.0,0.0,0.8995080815179198,0.9676165803108808,0.0,0.5312240207345102,0.5603747397640527,0.2,0.568380187416332,0.568768406961178,0.6000000000000001,0.5316253857881997,0.5407358156028368,0.35000000000000003,0.820577164366374,0.9372647427854455,0.0,0.820577164366374,0.9372647427854455,0.0,0.820577164366374,0.9372647427854455,0.0,0.08226303880438368,0.08226303880438368,0.5,0.59,0.11570247933884298,0.9467455621301775,0.28,0.856760374832664,0.16374269005847955,0.8995080815179198,0.5316253857881997,0.820577164366374,0.11570247933884298,0.9467455621301775,0.28,0.856760374832664,0.16374269005847955,0.8995080815179198,0.5316253857881997,0.820577164366374,0.10101010101010101,0.9499165275459098,0.4,0.7617135207496654,0.16129032258064518,0.8454680534918277,0.5033791880362365,0.739021329987453,0.0,0.9372647427854455,0.0,1.0,0.0,0.9676165803108808,0.4838082901554404,0.9372647427854455
(c) Cross-lingual and Mono-Domain,IT_flood,flood,en,13337,13337,flood,it,1759,138,LF,1.0,0.9999250149970006,0.9999250206189081,0.6351991002793089,0.9380748007357449,1.0,1.0,0.869812393405344,1.0,0.0,0.9026548672566371,0.962253829321663,0.0,0.5385862725483236,0.5548539477489637,0.15000000000000002,0.5689641677171647,0.6035811684834104,0.8,0.5429115920441602,0.5429115920441602,0.5,0.8260411175540326,0.9272535582498682,0.0,0.8260411175540326,0.9272535582498682,0.0,0.8260411175540326,0.9272535582498682,0.0,0.09663016687542925,0.09663016687542925,0.5,0.79,0.13909774436090225,0.9380748007357449,0.26811594202898553,0.869812393405344,0.1831683168316832,0.9026548672566371,0.5429115920441602,0.8260411175540326,0.13909774436090225,0.9380748007357449,0.26811594202898553,0.869812393405344,0.1831683168316832,0.9026548672566371,0.5429115920441602,0.8260411175540326,0.10245464247598719,0.95625,0.6956521739130435,0.5218874360432064,0.1786046511627907,0.6752482530342038,0.4269264520984972,0.5345282024248814,0.0,0.9272535582498682,0.0,1.0,0.0,0.962253829321663,0.4811269146608315,0.9272535582498682
(c) Cross-lingual and Mono-Domain,ES_quake,earthquake,en,9162,9162,earthquake,es,2507,453,LF,0.9999950620810184,0.9997816832223557,0.9997817070482617,0.6573431037686092,0.8928928928928929,0.9487179487179487,0.8500000000000001,0.7116074990027922,1.0,0.0,0.7920088790233074,0.9171391988293397,0.0,0.5706668206668206,0.6750170415814587,0.15000000000000002,0.6196006589936698,0.6196006589936698,0.5,0.5649090331512296,0.5957444632357409,0.4,0.683445945945946,0.8469594594594595,0.0,0.683445945945946,0.8469594594594595,0.0,0.683445945945946,0.8469594594594595,0.0,0.16380348935790456,0.1934817887630954,0.4,0.51,0.24844074844074845,0.8928928928928929,0.5275938189845475,0.7116074990027922,0.337809187279152,0.7920088790233074,0.5649090331512296,0.683445945945946,0.2978723404255319,0.8810517529215359,0.3708609271523179,0.8420422816114879,0.3303834808259587,0.8611054456455233,0.5957444632357409,0.7699324324324325,0.245,0.8938775510204081,0.5408388520971302,0.6988432389309932,0.3372333103922918,0.7844190732034921,0.560826191797892,0.6746621621621621,0.0,0.8469594594594595,0.0,1.0,0.0,0.9171391988293397,0.45856959941466985,0.8469594594594595
(c) Cross-lingual and Mono-Domain,IT_quake,earthquake,en,10213,10213,earthquake,it,698,198,LF,0.9999942141041657,0.9999020759890325,0.9999020855762668,0.6093781656102573,0.8405466970387244,1.0,0.8500000000000001,0.5286532951289399,1.0,0.0,0.6490765171503958,0.8757841907151819,0.0,0.5603171121955111,0.6401345291479821,0.15000000000000002,0.5875589707967932,0.5991505310989552,0.55,0.5199581059034422,0.541509959722023,0.4,0.5546875,0.7790178571428571,0.0,0.5546875,0.7790178571428571,0.0,0.5546875,0.7790178571428571,0.0,0.11924869674901706,0.11944006206036939,0.55,0.53,0.2800875273522976,0.8405466970387244,0.6464646464646465,0.5286532951289399,0.39083969465648855,0.6490765171503958,0.5199581059034422,0.5546875,0.2753108348134991,0.8708708708708709,0.7828282828282829,0.4154727793696275,0.4073587385019711,0.5625606207565471,0.4849596796292591,0.4966517857142857,0.2824427480916031,0.8655913978494624,0.7474747474747475,0.46131805157593125,0.4099722991689751,0.6018691588785047,0.5059207290237399,0.5245535714285714,0.0,0.7790178571428571,0.0,1.0,0.0,0.8757841907151819,0.43789209535759094,0.7790178571428571
(d) Cross-lingual and Cross-Domain,ES_expl,earthquake_flood,en,25831,25831,explosion,es,747,50,LF,0.9999986998692065,0.9999032114442787,0.9999032170644407,0.5162248995983936,0.942339373970346,0.9470802919708029,0.55,0.7657295850066934,1.0,0.0,0.8449039881831609,0.9676165803108808,0.0,0.5106433711956992,0.5157088206841967,0.55,0.5328647925033467,0.5573895582329317,0.55,0.48495199409158046,0.5104620143917147,0.4,0.7365119196988708,0.9372647427854455,0.0,0.7365119196988708,0.9372647427854455,0.0,0.7365119196988708,0.9372647427854455,0.0,0.02850011609008596,0.040177504533675745,0.55,0.56,0.07894736842105263,0.942339373970346,0.3,0.7657295850066934,0.125,0.8449039881831609,0.48495199409158046,0.7365119196988708,0.08433734939759036,0.9470802919708029,0.42,0.6947791164658634,0.14046822742474915,0.8015444015444015,0.47100631448457536,0.6775407779171895,0.0842911877394636,0.9477611940298507,0.44,0.6800535475234271,0.14147909967845662,0.7918939984411536,0.4666865490598051,0.6649937264742786,0.0,0.9372647427854455,0.0,1.0,0.0,0.9676165803108808,0.4838082901554404,0.9372647427854455
(d) Cross-lingual and Cross-Domain,IT_flood,explosion_earthquake,en,17209,17209,flood,it,1759,138,LF,0.9999992723274284,0.9998837817421117,0.9998837817421117,0.6481305254138138,0.9393539881344759,1.0,0.8500000000000001,0.8101193860147812,1.0,0.0,0.8699633699633701,0.962253829321663,0.0,0.5302033098567116,0.5408296586640535,0.25,0.5717263596740573,0.6192953835759778,0.6000000000000001,0.5237847737847738,0.5371693990412649,0.45,0.7754348972061149,0.9272535582498682,0.0,0.7754348972061149,0.9272535582498682,0.0,0.7754348972061149,0.9272535582498682,0.0,0.07934233041607908,0.08701138576396872,0.55,0.61,0.12105263157894737,0.9393539881344759,0.3333333333333333,0.8101193860147812,0.1776061776061776,0.8699633699633701,0.5237847737847738,0.7754348972061149,0.12056737588652482,0.9474868717179294,0.4927536231884058,0.7180216031836271,0.19373219373219372,0.816946959896507,0.5053395768143504,0.7016341591987348,0.11139240506329114,0.95483288166215,0.6376811594202898,0.6009096077316657,0.1896551724137931,0.7376133984647593,0.4636342854392762,0.6035846072746441,0.0,0.9272535582498682,0.0,1.0,0.0,0.962253829321663,0.4811269146608315,0.9272535582498682
(d) Cross-lingual and Cross-Domain,ES_quake,explosion_flood,en,17860,17860,earthquake,es,2507,453,LF,1.0,1.0,1.0,0.7225494883641478,0.8868149324861001,0.9338387319090282,0.8500000000000001,0.8907060231352214,1.0,0.0,0.8887562189054726,0.917417693581019,0.05,0.6334527151118283,0.7089306029579068,0.05,0.6307834751437696,0.6687530983885297,0.8,0.6320876066594402,0.635143415853584,0.6000000000000001,0.8111486486486487,0.8483108108108108,0.05,0.8111486486486487,0.8483108108108108,0.05,0.8111486486486487,0.8483108108108108,0.05,0.2641950098454784,0.2729694367620674,0.6000000000000001,0.83,0.38009049773755654,0.8868149324861001,0.3708609271523179,0.8907060231352214,0.37541899441340776,0.8887562189054726,0.6320876066594402,0.8111486486486487,0.3525423728813559,0.8966244725738397,0.45916114790286977,0.8476266453928999,0.39884947267497606,0.8714373590321919,0.635143415853584,0.7881756756756757,0.2620744259699129,0.9281084266352386,0.7306843267108167,0.6282409254088552,0.38578088578088576,0.7492863939105613,0.5675336398457236,0.643918918918919,0.0,0.8469594594594595,0.0,1.0,0.0,0.9171391988293397,0.45856959941466985,0.8469594594594595
(d) Cross-lingual and Cross-Domain,IT_quake,explosion_flood,en,17860,17860,earthquake,it,698,198,LF,1.0,1.0,1.0,0.6449560070620243,0.8534653465346534,1.0,1.0,0.6174785100286533,1.0,0.0,0.716541978387365,0.8757841907151819,0.0,0.5853004482033881,0.6709024380543293,0.05,0.6218705681456398,0.6372029753118578,0.6000000000000001,0.5687973049831562,0.5736801971275342,0.35000000000000003,0.6194196428571429,0.7823660714285714,0.05,0.6194196428571429,0.7823660714285714,0.05,0.6194196428571429,0.7823660714285714,0.05,0.18066654509959568,0.19037770325897063,0.6000000000000001,0.62,0.3171355498721228,0.8534653465346534,0.6262626262626263,0.6174785100286533,0.4210526315789474,0.716541978387365,0.5687973049831562,0.6194196428571429,0.3167420814479638,0.8722466960352423,0.7070707070707071,0.5673352435530086,0.4375,0.6875000000000001,0.5625,0.5982142857142857,0.3148558758314856,0.8741573033707866,0.7171717171717171,0.5573065902578797,0.43759630200308164,0.6806649168853894,0.5591306094442355,0.5926339285714286,0.0,0.7790178571428571,0.0,1.0,0.0,0.8757841907151819,0.43789209535759094,0.7790178571428571
(e) Cross-lingual and Multi-Domain,ES_expl,explosion_earthquake_flood,en,31730,31730,explosion,es,747,50,LF,0.9999995157891955,0.999936966182357,0.9999369681688628,0.5271084337349398,0.9403225806451613,1.0,0.9500000000000001,0.7804551539491299,1.0,0.0,0.8529626920263351,0.9676165803108808,0.0,0.5068844541643885,0.5315258511979823,0.9500000000000001,0.520227576974565,0.54809906291834,0.55,0.4837500684801279,0.5002090301003344,0.4,0.7478042659974906,0.9372647427854455,0.0,0.7478042659974906,0.9372647427854455,0.0,0.7478042659974906,0.9372647427854455,0.0,0.018515001317248703,0.03577669685398066,0.55,0.55,0.07344632768361582,0.9403225806451613,0.26,0.7804551539491299,0.11453744493392072,0.8529626920263351,0.4837500684801279,0.7478042659974906,0.08225108225108226,0.9452296819787986,0.38,0.7161981258366801,0.13523131672597866,0.8149276466108151,0.47507948166839686,0.6951066499372648,0.08225108225108226,0.9452296819787986,0.38,0.7161981258366801,0.13523131672597866,0.8149276466108151,0.47507948166839686,0.6951066499372648,0.0,0.9372647427854455,0.0,1.0,0.0,0.9676165803108808,0.4838082901554404,0.9372647427854455
