scenario,experiment,hazard_train,lang_train,train_1,train_0,hazard_test,lang_test,test_1,test_0,features,train_auc,train_f1,train_f1_macro,test_auc,test_prec,test_top_prec,test_th_prec,test_rec,test_top_rec,test_th_rec,test_f1,test_top_f1,test_th_top_f1,test_prec_macro,test_top_prec_macro,test_th_prec_macro,test_rec_macro,test_top_rec_macro,test_th_rec_macro,test_f1_macro,test_top_f1_macro,test_th_top_f1_macro,test_prec_micro,test_top_prec_micro,test_th_prec_micro,test_rec_micro,test_top_rec_micro,test_th_rec_micro,test_f1_micro,test_top_f1_micro,test_th_top_f1_micro,test_kappa,test_top_kappa,test_th_kappa,test_youden,prec_0,prec_1,rec_0,rec_1,f1_0,f1_1,f1_macro,accuracy,prec_kappa_0,prec_kappa_1,rec_kappa_0,rec_kappa_1,f1_kappa_0,f1_kappa_1,f1_kappa_macro,accuracy_kappa,prec_youden_0,prec_youden_1,rec_youden_0,rec_youden_1,f1_youden_0,f1_youden_1,f1_youden_macro,accuracy_youden,prec_dummy_0,prec_dummy_1,rec_dummy_0,rec_dummy_1,f1_dummy_0,f1_dummy_1,f1_dummy_macro,accuracy_dummy
(a) Monolingual and Mono-Domain,EN_flood,flood,en,5173,5173,flood,en,8272,5747,MT+GloVe,1.0,0.9999033536290712,0.9999033442867444,0.944143435444748,0.8999516090007259,0.9935897435897436,1.0,0.8992988394584139,1.0,0.0,0.8996251058169066,0.8996251058169066,0.5,0.8775787942448441,0.8775787942448441,0.5,0.8776988368163829,0.8790163184121966,0.55,0.877638639864975,0.877638639864975,0.5,0.8815892717026892,0.8815892717026892,0.5,0.8815892717026892,0.8815892717026892,0.5,0.8815892717026892,0.8815892717026892,0.5,0.7552773260528651,0.7552773260528651,0.5,0.55,0.8552059794889623,0.8999516090007259,0.8560988341743518,0.8992988394584139,0.8556521739130435,0.8996251058169066,0.877638639864975,0.8815892717026892,0.8552059794889623,0.8999516090007259,0.8560988341743518,0.8992988394584139,0.8556521739130435,0.8996251058169066,0.877638639864975,0.8815892717026892,0.8244114801676878,0.9188947166432135,0.8896815729946059,0.8683510638297872,0.8558038329567329,0.8929081981478028,0.8743560155522678,0.8770953705685142,0.0,0.5900563520935873,0.0,1.0,0.0,0.7421829437889732,0.3710914718944866,0.5900563520935873
(a) Monolingual and Mono-Domain,EN_quake,earthquake,en,5607,5607,earthquake,en,8611,1225,MT+GloVe,1.0,1.0,1.0,0.7691757339331042,0.9288719432027347,1.0,1.0,0.8204621995122517,1.0,0.0,0.871307886785472,0.9341798252753812,0.1,0.617799200300919,0.8550451551571943,0.1,0.6894147732255136,0.7151885936118728,0.6000000000000001,0.6336278941886839,0.6433695427025397,0.45,0.7878202521350143,0.8766775111834079,0.1,0.7878202521350143,0.8766775111834079,0.1,0.7878202521350143,0.8766775111834079,0.1,0.280230772359491,0.2895869685757384,0.45,0.58,0.30672645739910315,0.9288719432027347,0.5583673469387755,0.8204621995122517,0.3959479015918958,0.871307886785472,0.6336278941886839,0.7878202521350143,0.3397358943577431,0.9193390452876377,0.4620408163265306,0.872256416211822,0.3915600138360429,0.8951790715690363,0.6433695427025397,0.8211671411142741,0.27074235807860264,0.9461538461538461,0.7085714285714285,0.7284868191847637,0.39178515007898895,0.8231743323928876,0.6074797412359383,0.7260065067100447,0.0,0.8754575030500203,0.0,1.0,0.0,0.9335935382447011,0.4667967691223506,0.8754575030500203
(a) Monolingual and Mono-Domain,ES_quake,earthquake,es,1411,1411,earthquake,es,2507,453,MT+GloVe,1.0,1.0,1.0,0.7988788126138642,0.8972929936305732,1.0,1.0,0.8990825688073395,1.0,0.0,0.898186889818689,0.920073664825046,0.15000000000000002,0.6662804253867152,0.9240527740189446,0.05,0.66477307248314,0.7299622866129363,0.7000000000000001,0.6655196380281014,0.6655196380281014,0.5,0.8273648648648648,0.8543918918918919,0.25,0.8273648648648648,0.8543918918918919,0.25,0.8273648648648648,0.8543918918918919,0.25,0.33104297430599294,0.33577249747728477,0.6000000000000001,0.71,0.43526785714285715,0.8972929936305732,0.4304635761589404,0.8990825688073395,0.4328523862375139,0.898186889818689,0.6655196380281014,0.8273648648648648,0.3780313837375178,0.9167773351040284,0.5849889624724062,0.8260869565217391,0.4592720970537261,0.8690725975660932,0.6641723473099097,0.7891891891891892,0.32125834127740704,0.9392987964416536,0.7439293598233996,0.7159952134024731,0.44873501997336884,0.8125848800362155,0.6306599500047922,0.7202702702702702,0.0,0.8469594594594595,0.0,1.0,0.0,0.9171391988293397,0.45856959941466985,0.8469594594594595
(a) Monolingual and Mono-Domain,IT_quake,earthquake,it,760,760,earthquake,it,698,198,MT+GloVe,1.0,1.0,1.0,0.7184777575178721,0.8039950062421972,1.0,0.9500000000000001,0.9226361031518625,1.0,0.0,0.8592394929953301,0.8757841907151819,0.0,0.6177869768053091,0.6232617350014698,0.75,0.5648534051112848,0.6790035020694046,0.75,0.5695514871119995,0.6285676981329156,0.65,0.7645089285714286,0.7790178571428571,0.0,0.7645089285714286,0.7790178571428571,0.0,0.7645089285714286,0.7790178571428571,0.0,0.15940740213776294,0.26206842883453096,0.65,0.75,0.43157894736842106,0.8039950062421972,0.20707070707070707,0.9226361031518625,0.27986348122866894,0.8592394929953301,0.5695514871119995,0.7645089285714286,0.3931297709923664,0.8501577287066246,0.5202020202020202,0.7722063037249284,0.44782608695652176,0.8093093093093093,0.6285676981329156,0.7165178571428571,0.34451901565995524,0.9020044543429844,0.7777777777777778,0.5802292263610315,0.4775193798449613,0.7061900610287707,0.591854720436866,0.6238839285714286,0.0,0.7790178571428571,0.0,1.0,0.0,0.8757841907151819,0.43789209535759094,0.7790178571428571
(b) Monolingual and Cross-Domain,EN_expl,earthquake_flood,en,25831,25831,explosion,en,4415,4641,MT+GloVe,0.9999999977519353,0.9999806437876235,0.9999806434129461,0.9734284235516665,0.9600694444444444,0.996993987975952,0.9,0.8767836919592299,1.0,0.0,0.9165384160056825,0.9262304574406485,0.45,0.9258945948336872,0.9308044131886052,0.45,0.9210464462812741,0.9290783584101817,0.45,0.9217974025191372,0.9295075469644943,0.45,0.9221510600706714,0.9296598939929329,0.45,0.9221510600706714,0.9296598939929329,0.45,0.9221510600706714,0.9296598939929329,0.45,0.843875325626545,0.8590805736569999,0.45,0.44,0.89171974522293,0.9600694444444444,0.9653092006033183,0.8767836919592299,0.9270563890325919,0.9165384160056825,0.9217974025191372,0.9221510600706714,0.9139784946236559,0.9476303317535545,0.9523809523809523,0.9057757644394111,0.9327846364883402,0.9262304574406485,0.9295075469644943,0.9296598939929329,0.9189471485272613,0.9433122511126728,0.9478560655031243,0.9121177802944508,0.9331777683495969,0.9274527867342239,0.9303152775419103,0.9304328621908127,0.5124779151943463,0.0,1.0,0.0,0.6776666423304374,0.0,0.3388333211652187,0.5124779151943463
(b) Monolingual and Cross-Domain,EN_flood,explosion_earthquake,en,17209,17209,flood,en,8272,5747,MT+GloVe,1.0,1.0,1.0,0.9374700983508678,0.919211952928732,1.0,1.0,0.8404255319148937,1.0,0.0,0.8780549415850962,0.8865489957395009,0.45,0.8573754931929906,0.8620003920187623,0.45,0.8670545964777183,0.8670545964777183,0.5,0.8599075822405527,0.8629850423218524,0.45,0.8622583636493331,0.8670375918396462,0.45,0.8622583636493331,0.8670375918396462,0.45,0.8622583636493331,0.8670375918396461,0.45,0.7205421472365146,0.7259887563120098,0.45,0.5,0.7955390334572491,0.919211952928732,0.8936836610405429,0.8404255319148937,0.8417602228960093,0.8780549415850962,0.8599075822405527,0.8622583636493331,0.8312574645964852,0.8927433194410395,0.8477466504263094,0.8804400386847195,0.839421088904204,0.8865489957395009,0.8629850423218524,0.8670375918396462,0.7955390334572491,0.919211952928732,0.8936836610405429,0.8404255319148937,0.8417602228960093,0.8780549415850962,0.8599075822405527,0.8622583636493331,0.0,0.5900563520935873,0.0,1.0,0.0,0.7421829437889732,0.3710914718944866,0.5900563520935873
(b) Monolingual and Cross-Domain,EN_quake,explosion_flood,en,17860,17860,earthquake,en,8611,1225,MT+GloVe,1.0,0.9999720052630106,0.9999720044792614,0.7956349614517739,0.915318957771788,0.9752747252747253,1.0,0.9464638253396818,1.0,0.0,0.9306308878104482,0.9398558300775876,0.25,0.7103418823193703,0.8696371882086168,0.05,0.6654768106290245,0.7263200130824599,0.8,0.6836742756159334,0.6866287354036229,0.55,0.87647417649451,0.8893859292395283,0.30000000000000004,0.87647417649451,0.8893859292395283,0.30000000000000004,0.87647417649451,0.8893859292395283,0.30000000000000004,0.3687828965229327,0.3733628615471498,0.55,0.77,0.5053648068669528,0.915318957771788,0.38448979591836735,0.9464638253396818,0.43671766342141866,0.9306308878104482,0.6836742756159334,0.87647417649451,0.4649737302977233,0.9201748332183115,0.433469387755102,0.929044245732203,0.4486692015209125,0.9245882692863334,0.6866287354036229,0.8673241154941033,0.27838258164852253,0.9501585863162664,0.7306122448979592,0.7305771687376611,0.40315315315315314,0.8260241596638654,0.6145886564085092,0.7305815372102481,0.0,0.8754575030500203,0.0,1.0,0.0,0.9335935382447011,0.4667967691223506,0.8754575030500203
(b) Monolingual and Cross-Domain,ES_expl,earthquake,es,2091,2091,explosion,es,747,50,MT+GloVe,1.0,1.0,1.0,0.6603078982597055,0.9538461538461539,1.0,0.9,0.7469879518072289,1.0,0.0,0.8378378378378377,0.9682436811406351,0.1,0.5311683599419449,0.9692211055276382,0.1,0.6034939759036144,0.6248995983935743,0.65,0.5067051784609036,0.5281949800419458,0.25,0.7289836888331243,0.9385194479297365,0.1,0.7289836888331243,0.9385194479297365,0.1,0.7289836888331243,0.9385194479297365,0.1,0.08241389235344909,0.08241389235344909,0.5,0.57,0.10849056603773585,0.9538461538461539,0.46,0.7469879518072289,0.17557251908396948,0.8378378378378377,0.5067051784609036,0.7289836888331243,0.10849056603773585,0.9538461538461539,0.46,0.7469879518072289,0.17557251908396948,0.8378378378378377,0.5067051784609036,0.7289836888331243,0.1038961038961039,0.9631901840490797,0.64,0.6305220883534136,0.17877094972067037,0.7621359223300971,0.4704534360253837,0.6311166875784191,0.0,0.9372647427854455,0.0,1.0,0.0,0.9676165803108808,0.4838082901554404,0.9372647427854455
(b) Monolingual and Cross-Domain,ES_quake,explosion,es,75,75,earthquake,es,2507,453,MT+GloVe,1.0,1.0,1.0,0.6890714828502269,0.8929564411492122,0.9523809523809523,0.8,0.7686477861986438,1.0,0.0,0.8261521972132905,0.9171391988293397,0.0,0.5848822105995438,0.6674603174603174,0.35000000000000003,0.6293570056821034,0.6474947409945311,0.55,0.5899685288855298,0.5984416513648247,0.45,0.7260135135135135,0.8469594594594595,0.0,0.7260135135135135,0.8469594594594595,0.0,0.7260135135135135,0.8469594594594595,0.0,0.1966502776933713,0.1969135362463469,0.45,0.53,0.27680798004987534,0.8929564411492122,0.4900662251655629,0.7686477861986438,0.353784860557769,0.8261521972132905,0.5899685288855298,0.7260135135135135,0.32272727272727275,0.8765873015873016,0.31346578366445915,0.8811328280813722,0.3180291153415453,0.8788541873881043,0.5984416513648247,0.7942567567567568,0.25884543761638734,0.9072110286320254,0.6136865342163356,0.6824890307140008,0.36411263916175507,0.7789665376735716,0.5715395884176633,0.6719594594594595,0.0,0.8469594594594595,0.0,1.0,0.0,0.9171391988293397,0.45856959941466985,0.8469594594594595
(b) Monolingual and Cross-Domain,IT_flood,earthquake,it,1057,1057,flood,it,1759,138,MT+GloVe,1.0,1.0,1.0,0.6182675433175965,0.9364659166115156,1.0,0.9,0.8044343376918703,1.0,0.0,0.8654434250764527,0.962253829321663,0.0,0.522637103383478,0.5637949260042283,0.2,0.5543910818894134,0.5956941938354302,0.65,0.5128743842939515,0.5298366993459361,0.4,0.7680548234053769,0.9272535582498682,0.0,0.7680548234053769,0.9272535582498682,0.0,0.768054823405377,0.9272535582498682,0.0,0.05950701527450386,0.06378017678297543,0.45,0.65,0.10880829015544041,0.9364659166115156,0.30434782608695654,0.8044343376918703,0.1603053435114504,0.8654434250764527,0.5128743842939515,0.7680548234053769,0.1171875,0.9341864716636198,0.21739130434782608,0.8715179079022172,0.15228426395939088,0.901764705882353,0.527024484920872,0.8239325250395361,0.09766022380467955,0.9540481400437637,0.6956521739130435,0.49573621375781696,0.1712756467439786,0.652450430228208,0.4118630384860933,0.5102793885081708,0.0,0.9272535582498682,0.0,1.0,0.0,0.962253829321663,0.4811269146608315,0.9272535582498682
