scenario,experiment,hazard_train,lang_train,train_1,train_0,hazard_test,lang_test,test_1,test_0,features,train_auc,train_f1,train_f1_macro,test_auc,test_prec,test_top_prec,test_th_prec,test_rec,test_top_rec,test_th_rec,test_f1,test_top_f1,test_th_top_f1,test_prec_macro,test_top_prec_macro,test_th_prec_macro,test_rec_macro,test_top_rec_macro,test_th_rec_macro,test_f1_macro,test_top_f1_macro,test_th_top_f1_macro,test_prec_micro,test_top_prec_micro,test_th_prec_micro,test_rec_micro,test_top_rec_micro,test_th_rec_micro,test_f1_micro,test_top_f1_micro,test_th_top_f1_micro,test_kappa,test_top_kappa,test_th_kappa,test_youden,prec_0,prec_1,rec_0,rec_1,f1_0,f1_1,f1_macro,accuracy,prec_kappa_0,prec_kappa_1,rec_kappa_0,rec_kappa_1,f1_kappa_0,f1_kappa_1,f1_kappa_macro,accuracy_kappa,prec_youden_0,prec_youden_1,rec_youden_0,rec_youden_1,f1_youden_0,f1_youden_1,f1_youden_macro,accuracy_youden,prec_dummy_0,prec_dummy_1,rec_dummy_0,rec_dummy_1,f1_dummy_0,f1_dummy_1,f1_dummy_macro,accuracy_dummy
(a) Monolingual and Mono-Domain,EN_flood,flood,en,5173,5173,flood,en,8272,5747,MUSE+LF,1.0,1.0,1.0,0.9583832255092977,0.9108098465929362,1.0,0.9500000000000001,0.925894584139265,1.0,0.0,0.918290270367484,0.918290270367484,0.5,0.9007703421912987,0.9011373273700507,0.45,0.8976958565380508,0.9006205912158693,0.55,0.8991380910699796,0.8991380910699796,0.5,0.902774805620943,0.902774805620943,0.5,0.902774805620943,0.902774805620943,0.5,0.902774805620943,0.902774805620943,0.5,0.798296165549114,0.798296165549114,0.5,0.53,0.8907308377896613,0.9108098465929362,0.8694971289368366,0.925894584139265,0.8799859117724751,0.918290270367484,0.8991380910699796,0.902774805620943,0.8907308377896613,0.9108098465929362,0.8694971289368366,0.925894584139265,0.8799859117724751,0.918290270367484,0.8991380910699796,0.902774805620943,0.8727644353602453,0.9235395189003437,0.8915956151035322,0.9096953578336557,0.8820795317610605,0.9165651644336176,0.899322348097339,0.9022754832727014,0.0,0.5900563520935873,0.0,1.0,0.0,0.7421829437889732,0.3710914718944866,0.5900563520935873
(a) Monolingual and Mono-Domain,EN_quake,earthquake,en,5607,5607,earthquake,en,8611,1225,MUSE+LF,1.0,1.0,1.0,0.7838736879027537,0.9310435931307794,1.0,0.9500000000000001,0.8184879804900709,1.0,0.0,0.8711451702614178,0.9337310195227766,0.05,0.6206409492573579,0.7950816098135256,0.05,0.6961827657552395,0.7248104109835782,0.55,0.6369475493243497,0.6371463700377697,0.45,0.7880235868239122,0.876270841805612,0.15000000000000002,0.7880235868239122,0.876270841805612,0.15000000000000002,0.7880235868239122,0.876270841805612,0.15000000000000002,0.2875627184759584,0.2875627184759584,0.5,0.56,0.31023830538393643,0.9310435931307794,0.5738775510204082,0.8184879804900709,0.4027499283872816,0.8711451702614178,0.6369475493243497,0.7880235868239122,0.31023830538393643,0.9310435931307794,0.5738775510204082,0.8184879804900709,0.4027499283872816,0.8711451702614178,0.6369475493243497,0.7880235868239122,0.26925373134328356,0.9502004316990441,0.7363265306122448,0.7157124608059459,0.3943169398907103,0.8164536000529907,0.6053852699718505,0.7182797885319235,0.0,0.8754575030500203,0.0,1.0,0.0,0.9335935382447011,0.4667967691223506,0.8754575030500203
(a) Monolingual and Mono-Domain,ES_quake,earthquake,es,1411,1411,earthquake,es,2507,453,MUSE+LF,0.9999999999999999,1.0,1.0,0.8117764739964304,0.8994793752503003,0.9870848708487084,0.8500000000000001,0.8958915037893898,1.0,0.0,0.8976818545163869,0.9190581309786607,0.2,0.6678822362212624,0.9237660581473969,0.1,0.6709038092898384,0.7402372694204571,0.7000000000000001,0.6693649447254424,0.6717909319806955,0.55,0.827027027027027,0.8530405405405406,0.30000000000000004,0.827027027027027,0.8530405405405406,0.30000000000000004,0.827027027027027,0.8530405405405406,0.30000000000000004,0.33874431580683473,0.34692787505218436,0.55,0.68,0.43628509719222464,0.8994793752503003,0.445916114790287,0.8958915037893898,0.44104803493449785,0.8976818545163869,0.6693649447254424,0.827027027027027,0.400974025974026,0.9121160409556314,0.5452538631346578,0.8528121260470682,0.46211412535079516,0.8814677386105958,0.6717909319806955,0.8057432432432432,0.3102880658436214,0.9564469914040115,0.8322295805739515,0.6657359393697646,0.45203836930455643,0.7850423330197553,0.6185403511621559,0.6912162162162162,0.0,0.8469594594594595,0.0,1.0,0.0,0.9171391988293397,0.45856959941466985,0.8469594594594595
(a) Monolingual and Mono-Domain,IT_quake,earthquake,it,760,760,earthquake,it,698,198,MUSE+LF,1.0,1.0,1.0,0.7431297212815837,0.7961399276236429,1.0,0.9500000000000001,0.9455587392550143,1.0,0.0,0.8644400785854617,0.8771266540642723,0.30000000000000004,0.6144878742595826,0.7485939257592801,0.30000000000000004,0.5460116928598304,0.6815938757199502,0.65,0.5416540015568818,0.6527939238936682,0.65,0.7689732142857143,0.7823660714285714,0.30000000000000004,0.7689732142857143,0.7823660714285714,0.30000000000000004,0.7689732142857143,0.7823660714285714,0.30000000000000004,0.12060234794317892,0.31380271828150585,0.65,0.66,0.43283582089552236,0.7961399276236429,0.14646464646464646,0.9455587392550143,0.21886792452830187,0.8644400785854617,0.5416540015568818,0.7689732142857143,0.41754385964912283,0.8707037643207856,0.601010101010101,0.7621776504297995,0.4927536231884059,0.8128342245989305,0.6527939238936682,0.7265625,0.4065573770491803,0.8747884940778342,0.6262626262626263,0.7406876790830945,0.49304174950298213,0.8021722265321956,0.6476069880175889,0.7154017857142857,0.0,0.7790178571428571,0.0,1.0,0.0,0.8757841907151819,0.43789209535759094,0.7790178571428571
(b) Monolingual and Cross-Domain,EN_expl,earthquake_flood,en,25831,25831,explosion,en,4415,4641,MUSE+LF,1.0,0.9999806437876235,0.9999806434129461,0.9712273026642488,0.9562483625884203,1.0,0.9500000000000001,0.8267270668176671,1.0,0.0,0.8867832847424684,0.9135466303607898,0.4,0.9051140648597761,0.9158389160907449,0.4,0.8953717212993744,0.9157603349729124,0.4,0.8962256504684002,0.9157967610827394,0.4,0.8970848056537103,0.9158568904593639,0.4,0.8970848056537103,0.9158568904593639,0.4,0.8970848056537104,0.915856890459364,0.4,0.793359863299397,0.831594048224913,0.4,0.41,0.8539797671311319,0.9562483625884203,0.9640163757810817,0.8267270668176671,0.905668016194332,0.8867832847424684,0.8962256504684002,0.8970848056537103,0.9164698303628945,0.9152080018185952,0.9196293902176255,0.9118912797281993,0.9180468918046891,0.9135466303607898,0.9157967610827394,0.9158568904593639,0.9125265392781317,0.9210768522779568,0.9260935143288085,0.9066817667044168,0.9192599721954872,0.9138226229882435,0.9165412975918653,0.9166298586572438,0.5124779151943463,0.0,1.0,0.0,0.6776666423304374,0.0,0.3388333211652187,0.5124779151943463
(b) Monolingual and Cross-Domain,EN_flood,explosion_earthquake,en,17209,17209,flood,en,8272,5747,MUSE+LF,1.0,1.0,1.0,0.9383338069075818,0.9057059346803914,1.0,1.0,0.8615812379110251,1.0,0.0,0.8830927451830741,0.8862197503106325,0.45,0.8597635364458868,0.8613091699453304,0.45,0.8662351987362678,0.8662351987362678,0.5,0.8622406652703637,0.8622406652703637,0.5,0.8653969612668522,0.8653969612668522,0.5,0.8653969612668522,0.8653969612668522,0.5,0.8653969612668522,0.8653969612668522,0.5,0.7247141536453834,0.7247141536453834,0.5,0.5,0.8138211382113821,0.9057059346803914,0.8708891595615104,0.8615812379110251,0.8413885853576533,0.8830927451830741,0.8622406652703637,0.8653969612668522,0.8138211382113821,0.9057059346803914,0.8708891595615104,0.8615812379110251,0.8413885853576533,0.8830927451830741,0.8622406652703637,0.8653969612668522,0.8138211382113821,0.9057059346803914,0.8708891595615104,0.8615812379110251,0.8413885853576533,0.8830927451830741,0.8622406652703637,0.8653969612668522,0.0,0.5900563520935873,0.0,1.0,0.0,0.7421829437889732,0.3710914718944866,0.5900563520935873
(b) Monolingual and Cross-Domain,EN_quake,explosion_flood,en,17860,17860,earthquake,en,8611,1225,MUSE+LF,1.0,1.0,1.0,0.7986830797816745,0.9135760845133738,0.9738805970149254,0.9500000000000001,0.9440250841946348,1.0,0.0,0.9285510308983952,0.9398013499423805,0.25,0.6998584047300345,0.9395610005104645,0.05,0.6581349910769092,0.7255891491424116,0.7000000000000001,0.6750938233548841,0.6843912988726187,0.55,0.8728141520943473,0.8892842618950793,0.35000000000000003,0.8728141520943473,0.8892842618950793,0.35000000000000003,0.8728141520943473,0.8892842618950793,0.35000000000000003,0.35159787803954734,0.3688827465035909,0.55,0.69,0.4861407249466951,0.9135760845133738,0.3722448979591837,0.9440250841946348,0.42163661581137307,0.9285510308983952,0.6750938233548841,0.8728141520943473,0.43577981651376146,0.9231941838649156,0.46530612244897956,0.9142956683312042,0.4500592183181997,0.9187233794270377,0.6843912988726187,0.8583773891825945,0.29296740994854203,0.9463950296199971,0.6971428571428572,0.7606549761932412,0.41256038647342996,0.8434200360545969,0.6279902112640134,0.752745018300122,0.0,0.8754575030500203,0.0,1.0,0.0,0.9335935382447011,0.4667967691223506,0.8754575030500203
(b) Monolingual and Cross-Domain,ES_expl,earthquake,es,2091,2091,explosion,es,747,50,MUSE+LF,1.0,1.0,1.0,0.6721686746987952,0.9639278557114228,1.0,0.7000000000000001,0.643908969210174,1.0,0.0,0.7720706260032103,0.9676165803108808,0.0,0.5356552030234967,0.5470922882427307,0.4,0.6419544846050871,0.6419544846050871,0.5,0.4779893359901109,0.5532232949236998,0.4,0.64366373902133,0.9372647427854455,0.0,0.64366373902133,0.9372647427854455,0.0,0.64366373902133,0.9372647427854455,0.0,0.08566950508167848,0.12376927023527395,0.4,0.5,0.10738255033557047,0.9639278557114228,0.64,0.643908969210174,0.1839080459770115,0.7720706260032103,0.4779893359901109,0.64366373902133,0.14285714285714285,0.9513274336283186,0.34,0.8634538152610441,0.20118343195266272,0.9052631578947369,0.5532232949236998,0.8306148055207027,0.10738255033557047,0.9639278557114228,0.64,0.643908969210174,0.1839080459770115,0.7720706260032103,0.4779893359901109,0.64366373902133,0.0,0.9372647427854455,0.0,1.0,0.0,0.9676165803108808,0.4838082901554404,0.9372647427854455
(b) Monolingual and Cross-Domain,ES_quake,explosion,es,75,75,earthquake,es,2507,453,MUSE+LF,1.0,1.0,1.0,0.7456415634457514,0.8989637305699482,1.0,0.8500000000000001,0.83047467092142,1.0,0.0,0.8633630520422974,0.9171391988293397,0.0,0.6195129211855952,0.6571379071379071,0.35000000000000003,0.6569591897653457,0.691011305210752,0.55,0.6313168952098451,0.6313168952098451,0.5,0.7773648648648649,0.8469594594594595,0.0,0.7773648648648649,0.8469594594594595,0.0,0.7773648648648649,0.8469594594594595,0.0,0.2676832143490001,0.2676832143490001,0.5,0.55,0.34006211180124224,0.8989637305699482,0.48344370860927155,0.83047467092142,0.39927073837739285,0.8633630520422974,0.6313168952098451,0.7773648648648649,0.34006211180124224,0.8989637305699482,0.48344370860927155,0.83047467092142,0.39927073837739285,0.8633630520422974,0.6313168952098451,0.7773648648648649,0.3002008032128514,0.9215885947046843,0.6600441501103753,0.7219784603111289,0.41269841269841273,0.8096622679490046,0.6111803403237087,0.7125,0.0,0.8469594594594595,0.0,1.0,0.0,0.9171391988293397,0.45856959941466985,0.8469594594594595
(b) Monolingual and Cross-Domain,IT_flood,earthquake,it,1057,1057,flood,it,1759,138,MUSE+LF,1.0,1.0,1.0,0.6807433406662218,0.9379354021532615,1.0,0.8500000000000001,0.8419556566230812,1.0,0.0,0.8873576992210904,0.962253829321663,0.0,0.531860782837637,0.5637949260042283,0.25,0.5659053645434247,0.652324278452019,0.6000000000000001,0.5313981478561592,0.5313981478561592,0.5,0.8017923036373221,0.9272535582498682,0.0,0.8017923036373221,0.9272535582498682,0.0,0.8017923036373221,0.9272535582498682,0.0,0.08232981329380995,0.10030708413151357,0.55,0.6,0.12578616352201258,0.9379354021532615,0.2898550724637681,0.8419556566230812,0.1754385964912281,0.8873576992210904,0.5313981478561592,0.8017923036373221,0.12849162011173185,0.9492647058823529,0.5,0.7339397384877772,0.20444444444444443,0.82782943251042,0.5161369384774321,0.716921454928835,0.12029161603888214,0.9636871508379888,0.717391304347826,0.588402501421262,0.2060353798126951,0.7306741969643488,0.46835478838852196,0.5977859778597786,0.0,0.9272535582498682,0.0,1.0,0.0,0.962253829321663,0.4811269146608315,0.9272535582498682
