scenario,experiment,hazard_train,lang_train,train_1,train_0,hazard_test,lang_test,test_1,test_0,features,train_auc,train_f1,train_f1_macro,test_auc,test_prec,test_top_prec,test_th_prec,test_rec,test_top_rec,test_th_rec,test_f1,test_top_f1,test_th_top_f1,test_prec_macro,test_top_prec_macro,test_th_prec_macro,test_rec_macro,test_top_rec_macro,test_th_rec_macro,test_f1_macro,test_top_f1_macro,test_th_top_f1_macro,test_prec_micro,test_top_prec_micro,test_th_prec_micro,test_rec_micro,test_top_rec_micro,test_th_rec_micro,test_f1_micro,test_top_f1_micro,test_th_top_f1_micro,test_kappa,test_top_kappa,test_th_kappa,test_youden,prec_0,prec_1,rec_0,rec_1,f1_0,f1_1,f1_macro,accuracy,prec_kappa_0,prec_kappa_1,rec_kappa_0,rec_kappa_1,f1_kappa_0,f1_kappa_1,f1_kappa_macro,accuracy_kappa,prec_youden_0,prec_youden_1,rec_youden_0,rec_youden_1,f1_youden_0,f1_youden_1,f1_youden_macro,accuracy_youden,prec_dummy_0,prec_dummy_1,rec_dummy_0,rec_dummy_1,f1_dummy_0,f1_dummy_1,f1_dummy_macro,accuracy_dummy
(a) Monolingual and Mono-Domain,EN_flood,flood,en,5173,5173,flood,en,8272,5747,MUSE,1.0,1.0,1.0,0.9460440570456573,0.8942778640544737,1.0,1.0,0.9049806576402321,1.0,0.0,0.8995974283482545,0.8995974283482545,0.5,0.8775567790527325,0.8775567790527325,0.5,0.8754936348928497,0.8848966254868826,0.55,0.8764770818792611,0.8781204310475678,0.55,0.8808046222983095,0.8808046222983095,0.5,0.8808046222983095,0.8808046222983095,0.5,0.8808046222983094,0.8808046222983094,0.5,0.7529669304846281,0.7567700245530746,0.55,0.55,0.8608356940509915,0.8942778640544737,0.8460066121454672,0.9049806576402321,0.8533567354102677,0.8995974283482545,0.8764770818792611,0.8808046222983095,0.8181391712275216,0.9324501573976915,0.9103880285366278,0.8594052224371374,0.8618020095536155,0.89443885254152,0.8781204310475678,0.8803052999500678,0.8181391712275216,0.9324501573976915,0.9103880285366278,0.8594052224371374,0.8618020095536155,0.89443885254152,0.8781204310475678,0.8803052999500678,0.0,0.5900563520935873,0.0,1.0,0.0,0.7421829437889732,0.3710914718944866,0.5900563520935873
(a) Monolingual and Mono-Domain,EN_quake,earthquake,en,5607,5607,earthquake,en,8611,1225,MUSE,0.9998765365301576,0.9994646680942185,0.9994649543679648,0.7902289193461615,0.9380699605281068,0.9924242424242424,0.8500000000000001,0.8003716176982929,1.0,0.0,0.8637673893971677,0.9337169534770099,0.1,0.6237155748803651,0.8128559804719284,0.05,0.7144715231348607,0.7379262405229192,0.55,0.6392073349786054,0.6411010677565581,0.45,0.7789751931679545,0.876270841805612,0.15000000000000002,0.7789751931679545,0.876270841805612,0.15000000000000002,0.7789751931679545,0.876270841805612,0.15000000000000002,0.29735594302131496,0.29735594302131496,0.5,0.535,0.30936118923262357,0.9380699605281068,0.6285714285714286,0.8003716176982929,0.4146472805600431,0.8637673893971677,0.6392073349786054,0.7789751931679545,0.30936118923262357,0.9380699605281068,0.6285714285714286,0.8003716176982929,0.4146472805600431,0.8637673893971677,0.6392073349786054,0.7789751931679545,0.2841191066997519,0.9532667876588021,0.7477551020408163,0.7319707351062594,0.41177792762418525,0.8280890757406555,0.6199335016824203,0.7339365595770638,0.0,0.8754575030500203,0.0,1.0,0.0,0.9335935382447011,0.4667967691223506,0.8754575030500203
(a) Monolingual and Mono-Domain,ES_quake,earthquake,es,1411,1411,earthquake,es,2507,453,MUSE,1.0,1.0,1.0,0.832051271891243,0.908316430020284,0.9869281045751634,0.9,0.8930993218986837,1.0,0.0,0.9006436041834271,0.9194172966992439,0.25,0.6834511443030713,0.8747457627118644,0.15000000000000002,0.6971015373290328,0.7699377724710765,0.65,0.6897732788849625,0.6912316927293778,0.55,0.8331081081081081,0.8523648648648648,0.25,0.8331081081081081,0.8523648648648648,0.25,0.8331081081081081,0.8523648648648648,0.25,0.3797786741657866,0.3881818567605101,0.55,0.65,0.4585858585858586,0.908316430020284,0.5011037527593819,0.8930993218986837,0.4789029535864979,0.9006436041834271,0.6897732788849625,0.8331081081081081,0.4174041297935103,0.9255039439088519,0.6247240618101545,0.8424411647387315,0.5004420866489832,0.8820212988097724,0.6912316927293778,0.8091216216216216,0.3374888691006233,0.95971692977681,0.8366445916114791,0.7032309533306741,0.4809644670050762,0.8116942909760589,0.6463293789905675,0.7236486486486486,0.0,0.8469594594594595,0.0,1.0,0.0,0.9171391988293397,0.45856959941466985,0.8469594594594595
(a) Monolingual and Mono-Domain,IT_quake,earthquake,it,760,760,earthquake,it,698,198,MUSE,0.9999991343490305,0.9993425378040763,0.9993421049784041,0.7511794159358629,0.8290366350067843,1.0,0.9,0.8753581661891118,1.0,0.0,0.8515679442508711,0.8757841907151819,0.0,0.6409334118430148,0.642369020501139,0.25,0.6194972649127377,0.6910219675262655,0.7000000000000001,0.6274646443943431,0.637045115626878,0.65,0.7622767857142857,0.7790178571428571,0.0,0.7622767857142857,0.7790178571428571,0.0,0.7622767857142857,0.7790178571428571,0.0,0.25713484982951096,0.29489086443668056,0.65,0.6666666666666665,0.4528301886792453,0.8290366350067843,0.36363636363636365,0.8753581661891118,0.40336134453781514,0.8515679442508711,0.6274646443943431,0.7622767857142857,0.3893805309734513,0.881508078994614,0.6666666666666666,0.7034383954154728,0.49162011173184356,0.7824701195219125,0.637045115626878,0.6953125,0.37789203084832906,0.8994082840236687,0.7424242424242424,0.6532951289398281,0.5008517887563885,0.7568464730290456,0.6288491308927171,0.6729910714285714,0.0,0.7790178571428571,0.0,1.0,0.0,0.8757841907151819,0.43789209535759094,0.7790178571428571
(b) Monolingual and Cross-Domain,EN_expl,earthquake_flood,en,25831,25831,explosion,en,4415,4641,MUSE,0.9999908039163704,0.9997870321968596,0.9997870775328346,0.942008998041241,0.9325459317585302,1.0,0.9500000000000001,0.8047565118912797,1.0,0.0,0.863951367781155,0.8729626632759219,0.45,0.8841151313386627,0.8841151313386627,0.5,0.8746902576694062,0.8780747842302703,0.45,0.875386222982314,0.8784007904689513,0.45,0.8764355123674912,0.8786439929328622,0.45,0.8764355123674912,0.8786439929328622,0.45,0.8764355123674912,0.8786439929328623,0.45,0.7518891960248071,0.7568967494924715,0.45,0.46,0.8356843309187952,0.9325459317585302,0.9446240034475328,0.8047565118912797,0.8868210781834731,0.863951367781155,0.875386222982314,0.8764355123674912,0.8674273858921162,0.8914069877242682,0.900883430295195,0.8552661381653455,0.8838389176619807,0.8729626632759219,0.8784007904689513,0.8786439929328622,0.8615009151921904,0.9021502778448901,0.9127343244990304,0.845753114382786,0.8863779033270559,0.8730418517652561,0.879709877546156,0.8800795053003534,0.5124779151943463,0.0,1.0,0.0,0.6776666423304374,0.0,0.3388333211652187,0.5124779151943463
(b) Monolingual and Cross-Domain,EN_flood,explosion_earthquake,en,17209,17209,flood,en,8272,5747,MUSE,0.999980464270701,0.9997093699139735,0.9997094543307523,0.9209662601697161,0.8931800568328597,0.9924741298212606,0.8500000000000001,0.8359526112185687,1.0,0.0,0.8636193330835519,0.8671884264200165,0.45,0.8384969903409161,0.8384969903409161,0.5,0.8460257226964603,0.8460257226964603,0.5,0.8409913032683228,0.8409913032683228,0.5,0.8442114273485983,0.8442114273485983,0.5,0.8442114273485983,0.8442114273485983,0.5,0.8442114273485983,0.8442114273485983,0.5,0.6824458621852927,0.6824458621852927,0.5,0.5121052631578947,0.7838139238489724,0.8931800568328597,0.8560988341743518,0.8359526112185687,0.8183632734530938,0.8636193330835519,0.8409913032683228,0.8442114273485983,0.7838139238489724,0.8931800568328597,0.8560988341743518,0.8359526112185687,0.8183632734530938,0.8636193330835519,0.8409913032683228,0.8442114273485983,0.7668323542702215,0.9111111111111111,0.8858534887767531,0.812862669245648,0.8220571613111578,0.8591873243036033,0.8406222428073806,0.8427847920679078,0.0,0.5900563520935873,0.0,1.0,0.0,0.7421829437889732,0.3710914718944866,0.5900563520935873
(b) Monolingual and Cross-Domain,EN_quake,explosion_flood,en,17860,17860,earthquake,en,8611,1225,MUSE,0.9999999592450426,0.9999440120933878,0.9999440089583911,0.8164309058892398,0.9302521008403362,1.0,1.0,0.8998954825223551,1.0,0.0,0.9148220293961395,0.936235371322323,0.15000000000000002,0.6789374714029038,0.8089471875790563,0.05,0.7128048841183203,0.7512215746825963,0.6000000000000001,0.6932220729185019,0.6932220729185019,0.5,0.8532940219601464,0.8814558763725091,0.15000000000000002,0.8532940219601464,0.8814558763725091,0.15000000000000002,0.8532940219601464,0.8814558763725091,0.15000000000000002,0.38748950476290434,0.38748950476290434,0.5,0.638,0.42762284196547146,0.9302521008403362,0.5257142857142857,0.8998954825223551,0.47162211644086416,0.9148220293961395,0.6932220729185019,0.8532940219601464,0.42762284196547146,0.9302521008403362,0.5257142857142857,0.8998954825223551,0.47162211644086416,0.9148220293961395,0.6932220729185019,0.8532940219601464,0.3031496062992126,0.9556570418385386,0.7542857142857143,0.7533387527581001,0.4324830329978938,0.8425222417040067,0.6375026373509503,0.7534566897112648,0.0,0.8754575030500203,0.0,1.0,0.0,0.9335935382447011,0.4667967691223506,0.8754575030500203
(b) Monolingual and Cross-Domain,ES_expl,earthquake,es,2091,2091,explosion,es,747,50,MUSE,0.9999999999999999,1.0,1.0,0.6787817938420347,0.9690265486725663,1.0,0.7000000000000001,0.5863453815261044,1.0,0.0,0.7306088407005839,0.9676165803108808,0.0,0.5366871873797614,0.5408688412926663,0.30000000000000004,0.6531726907630522,0.6531726907630522,0.5,0.456443660856621,0.5462906158633307,0.30000000000000004,0.5947302383939774,0.9372647427854455,0.0,0.5947302383939774,0.9372647427854455,0.0,0.5947302383939774,0.9372647427854455,0.0,0.08163673010720074,0.10605748873388066,0.4,0.5,0.10434782608695652,0.9690265486725663,0.72,0.5863453815261044,0.1822784810126582,0.7306088407005839,0.456443660856621,0.5947302383939774,0.12578616352201258,0.9529780564263323,0.4,0.8139223560910308,0.19138755980861244,0.8779783393501804,0.5346829495793964,0.7879548306148055,0.10434782608695652,0.9690265486725663,0.72,0.5863453815261044,0.1822784810126582,0.7306088407005839,0.456443660856621,0.5947302383939774,0.0,0.9372647427854455,0.0,1.0,0.0,0.9676165803108808,0.4838082901554404,0.9372647427854455
(b) Monolingual and Cross-Domain,ES_quake,explosion,es,75,75,earthquake,es,2507,453,MUSE,0.9999999999999999,1.0,1.0,0.7743871244400887,0.9050042408821035,0.9644268774703557,0.7000000000000001,0.8512165935380933,1.0,0.0,0.8772867420349435,0.9185873605947955,0.35000000000000003,0.6427014559892246,0.7290637844105559,0.30000000000000004,0.6783676786675015,0.7157310523910534,0.55,0.6557049823918794,0.6557049823918794,0.5,0.7983108108108108,0.852027027027027,0.35000000000000003,0.7983108108108108,0.852027027027027,0.35000000000000003,0.7983108108108109,0.852027027027027,0.35000000000000003,0.3143756392130328,0.3143756392130328,0.5,0.55,0.3803986710963455,0.9050042408821035,0.5055187637969095,0.8512165935380933,0.43412322274881515,0.8772867420349435,0.6557049823918794,0.7983108108108108,0.3803986710963455,0.9050042408821035,0.5055187637969095,0.8512165935380933,0.43412322274881515,0.8772867420349435,0.6557049823918794,0.7983108108108108,0.32601880877742945,0.9296055916125812,0.6887417218543046,0.7427203829278022,0.4425531914893617,0.825720620842572,0.6341369061659669,0.7344594594594595,0.0,0.8469594594594595,0.0,1.0,0.0,0.9171391988293397,0.45856959941466985,0.8469594594594595
(b) Monolingual and Cross-Domain,IT_flood,earthquake,it,1057,1057,flood,it,1759,138,MUSE,0.9999991049443768,0.9995267392333176,0.9995269629972734,0.6788936401611588,0.9426172148355494,1.0,0.8,0.7657760090960773,1.0,0.0,0.8450439146800502,0.962253829321663,0.0,0.5311376672468345,0.6307068570421294,0.2,0.5857865552726764,0.6478359739970834,0.6000000000000001,0.5149311982641176,0.5312303907685987,0.45,0.7395888244596732,0.9272535582498682,0.0,0.7395888244596732,0.9272535582498682,0.0,0.7395888244596733,0.9272535582498682,0.0,0.08162961307861316,0.08691046287181592,0.55,0.5933333333333334,0.11965811965811966,0.9426172148355494,0.4057971014492754,0.7657760090960773,0.18481848184818483,0.8450439146800502,0.5149311982641176,0.7395888244596732,0.11821974965229486,0.9550084889643463,0.6159420289855072,0.6395679363274588,0.19836639439906653,0.7660878447395302,0.48222711956929837,0.6378492356352135,0.1111111111111111,0.9699331848552338,0.8043478260869565,0.49516770892552586,0.19525065963060684,0.6556266465939029,0.42543865311225487,0.5176594623089088,0.0,0.9272535582498682,0.0,1.0,0.0,0.962253829321663,0.4811269146608315,0.9272535582498682
